Orthogroup	MHP_MHP679_genes	MHP_98_genes
OG0000000	DR086_RS04585, DR086_RS03600	GOM18_RS04450
OG0000000	DR086_RS04250	GOM18_RS03685
OG0000000	DR086_RS04245	GOM18_RS00685
OG0000001	DR086_RS03435	GOM18_RS03240
OG0000001	DR086_RS01010	GOM18_RS03125
OG0000001	DR086_RS03200	GOM18_RS04130
OG0000002	DR086_RS04310	GOM18_RS02350
OG0000002	DR086_RS04880	GOM18_RS04550
OG0000003	DR086_RS05085	GOM18_RS03375
OG0000004	DR086_RS03630	GOM18_RS00895, GOM18_RS00890
OG0000004	DR086_RS03555	GOM18_RS00880
OG0000005	DR086_RS03245	GOM18_RS03145
OG0000005	DR086_RS03255	GOM18_RS03600
OG0000005	DR086_RS05035	GOM18_RS04540
OG0000006	DR086_RS04315	GOM18_RS01950
OG0000006	DR086_RS04535	GOM18_RS02495
OG0000008	DR086_RS02140	GOM18_RS03975
OG0000010	DR086_RS00810	GOM18_RS03360
OG0000011	DR086_RS00450	GOM18_RS03250
OG0000011	DR086_RS00445	GOM18_RS03255
OG0000012	DR086_RS03950	GOM18_RS03340
OG0000013	DR086_RS03105	GOM18_RS02545
OG0000013	DR086_RS04005	GOM18_RS03935
OG0000015	DR086_RS03700	GOM18_RS04215, GOM18_RS00005
OG0000015	DR086_RS00690, DR086_RS03685	GOM18_RS02565
OG0000016	DR086_RS01050	GOM18_RS01215
OG0000016	DR086_RS00030	GOM18_RS01280
OG0000017	DR086_RS00015	GOM18_RS01265
OG0000017	DR086_RS01060	GOM18_RS01205
OG0000019	DR086_RS04570	GOM18_RS04575
OG0000020	DR086_RS02470	GOM18_RS03770
OG0000021	DR086_RS00630	GOM18_RS03485
OG0000021	DR086_RS03665	GOM18_RS03345
OG0000022	DR086_RS01645	GOM18_RS03040
OG0000022	DR086_RS04885	GOM18_RS04500
OG0000024	DR086_RS03190	GOM18_RS03075
OG0000025	DR086_RS04890	GOM18_RS04510
OG0000025	DR086_RS01595	GOM18_RS04505
OG0000026	DR086_RS01970	GOM18_RS02790
OG0000026	DR086_RS01615	GOM18_RS03010
OG0000027	DR086_RS05030	GOM18_RS04335
OG0000027	DR086_RS04870	GOM18_RS04320
OG0000029	DR086_RS02730	GOM18_RS01705
OG0000030	DR086_RS05025	GOM18_RS04340
OG0000030	DR086_RS04875	GOM18_RS04325
OG0000031	DR086_RS00745	GOM18_RS00085
OG0000032	DR086_RS03980	GOM18_RS00745, GOM18_RS02560
OG0000032	DR086_RS03870	GOM18_RS04565
OG0000036	DR086_RS03265	GOM18_RS03585
OG0000037	DR086_RS04510	GOM18_RS04545
OG0000037	DR086_RS03325	GOM18_RS02550
OG0000039	DR086_RS03295	GOM18_RS03565
OG0000040	DR086_RS02360	GOM18_RS00810
OG0000041	DR086_RS03635	GOM18_RS00100
OG0000041	DR086_RS02480	GOM18_RS02975
OG0000042	DR086_RS02970	GOM18_RS01120
OG0000043	DR086_RS00750, DR086_RS00415	GOM18_RS03285
OG0000044	DR086_RS05095	GOM18_RS04585
OG0000045	DR086_RS03290	GOM18_RS03555
OG0000047	DR086_RS00730	GOM18_RS00015
OG0000048	DR086_RS00610	GOM18_RS02325
OG0000049	DR086_RS01430	GOM18_RS01035
OG0000050	DR086_RS02195	GOM18_RS01900
OG0000051	DR086_RS00855	GOM18_RS02100
OG0000052	DR086_RS01150	GOM18_RS00655
OG0000053	DR086_RS04905	GOM18_RS04480
OG0000054	DR086_RS02170	GOM18_RS01925
OG0000055	DR086_RS03270	GOM18_RS01245
OG0000056	DR086_RS02455	GOM18_RS00495
OG0000057	DR086_RS01130	GOM18_RS01135
OG0000058	DR086_RS00765	GOM18_RS00090
OG0000059	DR086_RS04120	GOM18_RS03660
OG0000062	DR086_RS01260	GOM18_RS00545
OG0000063	DR086_RS04835	GOM18_RS04295
OG0000064	DR086_RS01275	GOM18_RS00530
OG0000065	DR086_RS02080	GOM18_RS02395
OG0000066	DR086_RS01980	GOM18_RS02800
OG0000067	DR086_RS02240	GOM18_RS01630
OG0000068	DR086_RS01570	GOM18_RS03445
OG0000069	DR086_RS01025	GOM18_RS01240, GOM18_RS03140
OG0000070	DR086_RS02165	GOM18_RS01930
OG0000071	DR086_RS02350	GOM18_RS00820
OG0000072	DR086_RS04935	GOM18_RS04355
OG0000073	DR086_RS03040	GOM18_RS00135
OG0000074	DR086_RS04990	GOM18_RS04260
OG0000075	DR086_RS00210	GOM18_RS01450
OG0000076	DR086_RS00225	GOM18_RS01465
OG0000077	DR086_RS00315	GOM18_RS01550
OG0000078	DR086_RS01625	GOM18_RS03020
OG0000079	DR086_RS00950	GOM18_RS02005
OG0000080	DR086_RS04145	GOM18_RS03980
OG0000081	DR086_RS00205	GOM18_RS01445
OG0000083	DR086_RS00520	GOM18_RS02245
OG0000084	DR086_RS00545	GOM18_RS02275
