#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQQX01000002.1:185-976|-     -            264 1679at2085           -            265   6.4e-79  260.4  12.3   1   1   6.7e-81     7e-79  260.2  12.3    12   256     1   255     1   263 0.90 NZ_QQQX01000002.1_1 # 185 # 976 # -1 # ID=22_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.270
NZ_QQQX01000002.1:19557-20858|- -            434 1679at2085           -            265   4.5e-23   77.3  12.0   1   3   1.3e-11   1.4e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_QQQX01000002.1_18 # 19557 # 20858 # -1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_QQQX01000002.1:19557-20858|- -            434 1679at2085           -            265   4.5e-23   77.3  12.0   2   3   1.6e-12   1.7e-10   36.1   0.6    22   173    78   228    71   240 0.77 NZ_QQQX01000002.1_18 # 19557 # 20858 # -1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_QQQX01000002.1:19557-20858|- -            434 1679at2085           -            265   4.5e-23   77.3  12.0   3   3   6.2e-06   0.00066   14.4   1.1    24   139   251   380   245   386 0.62 NZ_QQQX01000002.1_18 # 19557 # 20858 # -1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_QQQX01000016.1:5083-5679|-   -            199 1679at2085           -            265   3.2e-13   45.0   5.6   1   2   7.7e-13   8.1e-11   37.1   0.1   123   172    41    91    31   105 0.91 NZ_QQQX01000016.1_2 # 5083 # 5679 # -1 # ID=7_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_QQQX01000016.1:5083-5679|-   -            199 1679at2085           -            265   3.2e-13   45.0   5.6   2   2   0.00017     0.018    9.7   1.9    24    97   117   195   102   198 0.78 NZ_QQQX01000016.1_2 # 5083 # 5679 # -1 # ID=7_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_QQQX01000001.1:11221-12552|- -            444 1679at2085           -            265     8e-13   43.7  16.5   1   3      0.93        98   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_QQQX01000001.1_11 # 11221 # 12552 # -1 # ID=11_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_QQQX01000001.1:11221-12552|- -            444 1679at2085           -            265     8e-13   43.7  16.5   2   3     6e-14   6.3e-12   40.7   0.3    96   174   193   275   184   288 0.79 NZ_QQQX01000001.1_11 # 11221 # 12552 # -1 # ID=11_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_QQQX01000001.1:11221-12552|- -            444 1679at2085           -            265     8e-13   43.7  16.5   3   3   0.00018     0.018    9.7   6.6    21   110   291   372   283   388 0.68 NZ_QQQX01000001.1_11 # 11221 # 12552 # -1 # ID=11_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_QQQX01000003.1:49285-50166|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   1   2   1.8e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_QQQX01000003.1_47 # 49285 # 50166 # -1 # ID=32_47;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NZ_QQQX01000003.1:49285-50166|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   2   2    0.0013      0.14    6.8   4.0    47   103   108   169    77   190 0.77 NZ_QQQX01000003.1_47 # 49285 # 50166 # -1 # ID=32_47;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NZ_QQQX01000028.1:1940-3043|+   -            368 1679at2085           -            265   1.7e-05   19.7   0.2   1   1   3.6e-07   3.8e-05   18.5   0.2   119   155     2    37     1    47 0.84 NZ_QQQX01000028.1_4 # 1940 # 3043 # 1 # ID=20_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
