#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_AFCG01000005.1:69085-71541|+ -            819 56at2085             -           1080         0 1070.1  11.4   1   1         0         0 1063.8  11.4   336  1080     2   817     1   817 0.91 NZ_AFCG01000005.1_50 # 69085 # 71541 # 1 # ID=5_50;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.322
NZ_AFCG01000005.1:67130-68683|+ -            518 56at2085             -           1080   2.8e-57  189.4  10.4   1   2      0.18        26   -2.5   3.2   289   370   137   221   128   293 0.67 NZ_AFCG01000005.1_49 # 67130 # 68683 # 1 # ID=5_49;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.261
NZ_AFCG01000005.1:67130-68683|+ -            518 56at2085             -           1080   2.8e-57  189.4  10.4   2   2   1.9e-59   2.8e-57  189.4  10.4    49   227   319   514   280   517 0.85 NZ_AFCG01000005.1_49 # 67130 # 68683 # 1 # ID=5_49;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.261
NZ_AFCG01000006.1:16268-19213|- -            982 56at2085             -           1080   3.7e-30   99.6  31.8   1   6   1.6e-07   2.4e-05   17.5   0.0    52   118     2    69     1    74 0.93 NZ_AFCG01000006.1_17 # 16268 # 19213 # -1 # ID=6_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.284
NZ_AFCG01000006.1:16268-19213|- -            982 56at2085             -           1080   3.7e-30   99.6  31.8   2   6     1e-12   1.5e-10   34.7   3.0   436   566   186   320    85   324 0.71 NZ_AFCG01000006.1_17 # 16268 # 19213 # -1 # ID=6_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.284
NZ_AFCG01000006.1:16268-19213|- -            982 56at2085             -           1080   3.7e-30   99.6  31.8   3   6   7.2e-06    0.0011   12.0   0.1   606   678   323   395   321   404 0.89 NZ_AFCG01000006.1_17 # 16268 # 19213 # -1 # ID=6_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.284
NZ_AFCG01000006.1:16268-19213|- -            982 56at2085             -           1080   3.7e-30   99.6  31.8   4   6   0.00074      0.11    5.3   0.0   675   757   438   516   427   556 0.75 NZ_AFCG01000006.1_17 # 16268 # 19213 # -1 # ID=6_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.284
NZ_AFCG01000006.1:16268-19213|- -            982 56at2085             -           1080   3.7e-30   99.6  31.8   5   6   2.7e-07   4.1e-05   16.7   6.9   904   943   682   721   614   731 0.77 NZ_AFCG01000006.1_17 # 16268 # 19213 # -1 # ID=6_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.284
NZ_AFCG01000006.1:16268-19213|- -            982 56at2085             -           1080   3.7e-30   99.6  31.8   6   6   4.1e-10   6.1e-08   26.1   0.1   982  1074   729   823   718   830 0.84 NZ_AFCG01000006.1_17 # 16268 # 19213 # -1 # ID=6_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.284
NZ_AFCG01000010.1:19282-19551|+ -             90 56at2085             -           1080   0.00072   12.6   0.0   1   1   6.2e-06   0.00092   12.2   0.0   522   557    13    47     3    50 0.85 NZ_AFCG01000010.1_14 # 19282 # 19551 # 1 # ID=10_14;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.304
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_flocculare/strains/ATCC27716/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/56at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_flocculare/strains/ATCC27716/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_flocculare/strains/ATCC27716/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/56at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_flocculare/strains/ATCC27716/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/56at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_flocculare/strains/ATCC27716/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_flocculare/strains/ATCC27716/Use
# Date:            Sun Dec  1 18:42:43 2024
# [ok]
