# BUSCO version is: 5.8.0 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2024-01-08, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
17at2085	Missing
53at2085	Complete	CP098241.1	830422	826760	-	1724.4	1198	https://v10-1.orthodb.org/?query=53at2085	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
56at2085	Complete	CP098241.1	718721	714312	-	1364.2	1032	https://v10-1.orthodb.org/?query=56at2085	DNA polymerase III PolC-type
78at2085	Complete	CP098241.1	881793	884732	+	940.0	777	https://v10-1.orthodb.org/?query=78at2085	SMCs flexible hinge
111at2085	Complete	CP098241.1	115295	112452	-	1167.5	770	https://v10-1.orthodb.org/?query=111at2085	UvrABC system protein A
118at2085	Complete	CP098241.1	545453	543561	-	255.9	370	https://v10-1.orthodb.org/?query=118at2085	Domain of unknown functionDUF2779
147at2085	Complete	CP098241.1	706567	703955	-	647.0	456	https://v10-1.orthodb.org/?query=147at2085	Lon protease
148at2085	Complete	CP098241.1	93062	90978	-	1036.6	579	https://v10-1.orthodb.org/?query=148at2085	Elongation factor G
157at2085	Complete	CP098241.1	34623	31963	-	772.3	627	https://v10-1.orthodb.org/?query=157at2085	Isoleucine--tRNA ligase
163at2085	Complete	CP098241.1	247122	249773	+	821.2	620	https://v10-1.orthodb.org/?query=163at2085	Alanine--tRNA ligase
218at2085	Complete	CP098241.1	538154	540415	+	435.9	495	https://v10-1.orthodb.org/?query=218at2085	DNA helicase
244at2085	Complete	CP098241.1	356545	354635	-	553.5	463	https://v10-1.orthodb.org/?query=244at2085	DNA topoisomerase I, type IA
406at2085	Fragmented	CP098241.1	117758	116520	-	575.2	357	https://v10-1.orthodb.org/?query=406at2085	Ribonuclease J
462at2085	Complete	CP098241.1	871619	869247	-	736.7	609	https://v10-1.orthodb.org/?query=462at2085	Leucine--tRNA ligase
482at2085	Complete	CP098241.1	44741	42657	-	511.6	500	https://v10-1.orthodb.org/?query=482at2085	Ribonuclease R
492at2085	Fragmented	CP098241.1	82073	83134	+	593.0	328	https://v10-1.orthodb.org/?query=492at2085	Chaperone protein DnaK
501at2085	Complete	CP098241.1	87847	89643	+	822.4	526	https://v10-1.orthodb.org/?query=501at2085	Elongation factor 4
533at2085	Complete	CP098241.1	2777	4636	+	789.8	515	https://v10-1.orthodb.org/?query=533at2085	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
534at2085	Complete	CP098241.1	912787	915255	+	871.3	665	https://v10-1.orthodb.org/?query=534at2085	Valine--tRNA ligase
539at2085	Complete	CP098241.1	788982	787243	-	814.3	541	https://v10-1.orthodb.org/?query=539at2085	Threonine--tRNA ligase
543at2085	Fragmented	CP098241.1	777902	775740	-	533.6	431	https://v10-1.orthodb.org/?query=543at2085	DNA-directed DNA polymerase
