Orthogroup	MHP_NCTC10127_genes	MHP_7422_genes
OG0000000	EXC50_RS01165	MHL_RS02380
OG0000000	EXC50_RS01170	MHL_RS04190
OG0000000	EXC50_RS00675	MHL_RS03710
OG0000001	EXC50_RS01640	MHL_RS02845
OG0000001	EXC50_RS04045	MHL_RS03875
OG0000001	EXC50_RS01590	MHL_RS04080
OG0000002	EXC50_RS04010	MHL_RS04055
OG0000002	EXC50_RS03900	MHL_RS03865
OG0000002	EXC50_RS00680	MHL_RS01800
OG0000004	EXC50_RS02030	MHL_RS03205
OG0000004	EXC50_RS02050	MHL_RS03215
OG0000005	EXC50_RS00100	MHL_RS00105
OG0000005	EXC50_RS00120	MHL_RS00125
OG0000005	EXC50_RS00105	MHL_RS04205
OG0000005	EXC50_RS00110	MHL_RS00115
OG0000005	EXC50_RS00125	MHL_RS00130
OG0000006	EXC50_RS04025	MHL_RS03635
OG0000006	EXC50_RS01175, EXC50_RS01210	MHL_RS02420
OG0000008	EXC50_RS01160, EXC50_RS04015	MHL_RS02375
OG0000008	EXC50_RS00595	MHL_RS04180
OG0000008	EXC50_RS04030	MHL_RS04065
OG0000009	EXC50_RS03420	MHL_RS00755
OG0000009	EXC50_RS00085	MHL_RS00090
OG0000009	EXC50_RS03405	MHL_RS00770
OG0000010	EXC50_RS00795	MHL_RS01930
OG0000010	EXC50_RS00095	MHL_RS00100
OG0000011	EXC50_RS00895	MHL_RS04185
OG0000011	EXC50_RS00890	MHL_RS02020
OG0000012	EXC50_RS01855	MHL_RS03845
OG0000013	EXC50_RS01255	MHL_RS02470
OG0000013	EXC50_RS03965	MHL_RS03925
OG0000014	EXC50_RS04120	MHL_RS00590
OG0000014	EXC50_RS03000	MHL_RS01170
OG0000014	EXC50_RS03480	MHL_RS00695
OG0000016	EXC50_RS01680	MHL_RS02885
OG0000016	EXC50_RS00170	MHL_RS00175
OG0000017	EXC50_RS00155	MHL_RS00160
OG0000017	EXC50_RS01690	MHL_RS02895
OG0000020	EXC50_RS02390	MHL_RS03545
OG0000020	EXC50_RS02395	MHL_RS03550
OG0000022	EXC50_RS00615	MHL_RS01740
OG0000022	EXC50_RS00670	MHL_RS01790
OG0000024	EXC50_RS01585	MHL_RS02790
OG0000024	EXC50_RS02815	MHL_RS01355
OG0000025	EXC50_RS00620	MHL_RS01745
OG0000025	EXC50_RS00665	MHL_RS01785
OG0000026	EXC50_RS02725	MHL_RS01445
OG0000027	EXC50_RS02185	MHL_RS03755
OG0000027	EXC50_RS02200	MHL_RS03360
OG0000029	EXC50_RS03005	MHL_RS01165
OG0000029	EXC50_RS03475	MHL_RS00700
OG0000030	EXC50_RS02175	MHL_RS03335
OG0000030	EXC50_RS02195	MHL_RS03355
OG0000032	EXC50_RS04070	MHL_RS03350
OG0000035	EXC50_RS02045	MHL_RS03210
OG0000035	EXC50_RS02025	MHL_RS03195
OG0000036	EXC50_RS00115	MHL_RS00120
OG0000036	EXC50_RS00130	MHL_RS00135
OG0000039	EXC50_RS03975, EXC50_RS00560	MHL_RS01705
OG0000041	EXC50_RS03415	MHL_RS00760
OG0000042	EXC50_RS01780	MHL_RS02985
OG0000043	EXC50_RS00860	MHL_RS00625
OG0000044	EXC50_RS04255	MHL_RS04220
OG0000045	EXC50_RS00570	MHL_RS01710
OG0000046	EXC50_RS02130	MHL_RS04100
OG0000047	EXC50_RS03955, EXC50_RS03735	MHL_RS01655
OG0000048	EXC50_RS01040	MHL_RS02170
OG0000049	EXC50_RS01890	MHL_RS03060
OG0000050	EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	MHL_RS02510
OG0000052	EXC50_RS00075	MHL_RS00080
OG0000053	EXC50_RS02640	MHL_RS01530
OG0000054	EXC50_RS04250	MHL_RS02535
OG0000055	EXC50_RS00135	MHL_RS00140
OG0000056	EXC50_RS02375	MHL_RS03530
OG0000057	EXC50_RS01765	MHL_RS02970
OG0000059	EXC50_RS02510	MHL_RS00620
OG0000061	EXC50_RS00525	MHL_RS01940
OG0000062	EXC50_RS02425	MHL_RS03580
OG0000063	EXC50_RS02420	MHL_RS03575
OG0000064	EXC50_RS02410	MHL_RS03565
OG0000065	EXC50_RS01100	MHL_RS02310
OG0000066	EXC50_RS02735	MHL_RS01435
OG0000067	EXC50_RS03560	MHL_RS00525
OG0000068	EXC50_RS03440	MHL_RS00735
OG0000069	EXC50_RS01655	MHL_RS02860
OG0000070	EXC50_RS03840, EXC50_RS01325	MHL_RS02540
OG0000071	EXC50_RS02110	MHL_RS03275
OG0000072	EXC50_RS02115	MHL_RS03280
OG0000073	EXC50_RS03380	MHL_RS00795
OG0000074	EXC50_RS03185	MHL_RS03950, MHL_RS04210
OG0000075	EXC50_RS00355	MHL_RS00345
OG0000076	EXC50_RS00370	MHL_RS00360
OG0000077	EXC50_RS03640	MHL_RS00450
OG0000078	EXC50_RS00635	MHL_RS01755
OG0000079	EXC50_RS01405	MHL_RS02615
OG0000080	EXC50_RS03930	MHL_RS03870
OG0000081	EXC50_RS00350	MHL_RS00340
OG0000082	EXC50_RS01250	MHL_RS02460
OG0000083	EXC50_RS00965	MHL_RS02095
OG0000084	EXC50_RS00990	MHL_RS02120
OG0000085	EXC50_RS00995	MHL_RS02125
OG0000086	EXC50_RS01005	MHL_RS02135
OG0000087	EXC50_RS01020	MHL_RS02150
OG0000088	EXC50_RS01025	MHL_RS02155
OG0000089	EXC50_RS01035	MHL_RS02165
OG0000090	EXC50_RS00070	MHL_RS00075
OG0000091	EXC50_RS00055	MHL_RS00060
OG0000092	EXC50_RS00040	MHL_RS00045
OG0000093	EXC50_RS00035	MHL_RS00040
OG0000094	EXC50_RS00030	MHL_RS00035
OG0000095	EXC50_RS00005	MHL_RS00010
OG0000096	EXC50_RS02460	MHL_RS03615
OG0000097	EXC50_RS02440	MHL_RS03595
OG0000098	EXC50_RS02430	MHL_RS03585
OG0000099	EXC50_RS02380	MHL_RS03535
OG0000100	EXC50_RS02365	MHL_RS03520
OG0000101	EXC50_RS02360	MHL_RS03515
OG0000102	EXC50_RS00660	MHL_RS01780
OG0000103	EXC50_RS01065	MHL_RS02275
OG0000104	EXC50_RS01070	MHL_RS02280
OG0000105	EXC50_RS01085	MHL_RS02295
OG0000106	EXC50_RS01095	MHL_RS02305
OG0000107	EXC50_RS01105	MHL_RS02315
OG0000108	EXC50_RS01110	MHL_RS02320
OG0000109	EXC50_RS01115	MHL_RS02325
OG0000110	EXC50_RS01240	MHL_RS02450
OG0000111	EXC50_RS01235	MHL_RS02445
OG0000112	EXC50_RS01225	MHL_RS02435
OG0000113	EXC50_RS01205	MHL_RS02415
OG0000114	EXC50_RS01195	MHL_RS02405
OG0000115	EXC50_RS01180	MHL_RS02395
OG0000116	EXC50_RS02790	MHL_RS01380
OG0000117	EXC50_RS02785	MHL_RS01385
OG0000118	EXC50_RS02750	MHL_RS01420
OG0000119	EXC50_RS02745	MHL_RS01425
OG0000120	EXC50_RS02730	MHL_RS01440
OG0000121	EXC50_RS02705	MHL_RS01465
OG0000122	EXC50_RS02700	MHL_RS01470
OG0000123	EXC50_RS02680	MHL_RS01490
OG0000124	EXC50_RS02675	MHL_RS01495
OG0000125	EXC50_RS02670	MHL_RS01500
OG0000126	EXC50_RS02660	MHL_RS01510
OG0000127	EXC50_RS02650	MHL_RS01520
OG0000128	EXC50_RS02635	MHL_RS01535
OG0000129	EXC50_RS02630	MHL_RS01540
OG0000130	EXC50_RS02620	MHL_RS01550
OG0000131	EXC50_RS02590	MHL_RS01580
OG0000132	EXC50_RS02575	MHL_RS01595
OG0000133	EXC50_RS03555	MHL_RS00530
OG0000134	EXC50_RS03550	MHL_RS00535
OG0000135	EXC50_RS03535	MHL_RS00550
OG0000136	EXC50_RS03530	MHL_RS00555
OG0000137	EXC50_RS03500	MHL_RS00585
OG0000138	EXC50_RS03465	MHL_RS00710
OG0000139	EXC50_RS03435	MHL_RS00740
OG0000140	EXC50_RS03430	MHL_RS00745
OG0000141	EXC50_RS01775	MHL_RS02980
OG0000142	EXC50_RS01770	MHL_RS02975
OG0000143	EXC50_RS01745	MHL_RS02950
OG0000144	EXC50_RS01735	MHL_RS02940
OG0000145	EXC50_RS01725	MHL_RS02930
OG0000146	EXC50_RS01715	MHL_RS02920
OG0000147	EXC50_RS01710	MHL_RS02915
OG0000148	EXC50_RS01695	MHL_RS02900
OG0000149	EXC50_RS01685	MHL_RS02890
OG0000150	EXC50_RS01670	MHL_RS02875
OG0000151	EXC50_RS01625	MHL_RS02830
OG0000152	EXC50_RS01620	MHL_RS02825
OG0000153	EXC50_RS01615	MHL_RS02820
OG0000154	EXC50_RS01605	MHL_RS02810
OG0000155	EXC50_RS01565	MHL_RS02770
OG0000156	EXC50_RS01555	MHL_RS02760
OG0000157	EXC50_RS01550	MHL_RS02755
OG0000158	EXC50_RS04235	MHL_RS04195
OG0000159	EXC50_RS03825	MHL_RS02525
OG0000160	EXC50_RS03820	MHL_RS02520
OG0000161	EXC50_RS03815	MHL_RS02515
OG0000162	EXC50_RS01290	MHL_RS02505
OG0000163	EXC50_RS01285	MHL_RS02500
OG0000164	EXC50_RS00550	MHL_RS01690
OG0000165	EXC50_RS00885	MHL_RS02015
OG0000166	EXC50_RS00905	MHL_RS02035
OG0000167	EXC50_RS00920	MHL_RS02050
OG0000168	EXC50_RS00925	MHL_RS04040
OG0000169	EXC50_RS01885	MHL_RS03055
OG0000170	EXC50_RS01900	MHL_RS03070
OG0000171	EXC50_RS01910	MHL_RS03080
OG0000172	EXC50_RS01915	MHL_RS03085
OG0000173	EXC50_RS01920	MHL_RS03090
OG0000174	EXC50_RS01925	MHL_RS03095
OG0000175	EXC50_RS01940	MHL_RS03110
OG0000176	EXC50_RS01990	MHL_RS03160
OG0000177	EXC50_RS01995	MHL_RS03165
OG0000178	EXC50_RS02000	MHL_RS03170
OG0000179	EXC50_RS02010	MHL_RS03180
OG0000180	EXC50_RS02015	MHL_RS03185
OG0000181	EXC50_RS02060	MHL_RS03225
OG0000182	EXC50_RS02070	MHL_RS03235
OG0000183	EXC50_RS02105	MHL_RS03270
OG0000184	EXC50_RS02150	MHL_RS03310
OG0000185	EXC50_RS02135	MHL_RS03295
OG0000186	EXC50_RS02565	MHL_RS01605
OG0000187	EXC50_RS02550	MHL_RS01620
OG0000188	EXC50_RS02540	MHL_RS01630
OG0000189	EXC50_RS01150	MHL_RS02365
OG0000190	EXC50_RS01145	MHL_RS02360
OG0000191	EXC50_RS01125	MHL_RS02340
OG0000192	EXC50_RS02870	MHL_RS01300
OG0000193	EXC50_RS02880	MHL_RS01290
OG0000194	EXC50_RS03395	MHL_RS00780
OG0000195	EXC50_RS03390	MHL_RS00785
OG0000196	EXC50_RS03370	MHL_RS00805
OG0000197	EXC50_RS03365	MHL_RS00810
OG0000198	EXC50_RS03350	MHL_RS00825
OG0000199	EXC50_RS03345	MHL_RS00830
OG0000200	EXC50_RS03330	MHL_RS00840
OG0000201	EXC50_RS03320	MHL_RS00850
OG0000202	EXC50_RS03265	MHL_RS00905
OG0000203	EXC50_RS03260	MHL_RS00910
OG0000204	EXC50_RS03255	MHL_RS00915
OG0000205	EXC50_RS03250	MHL_RS00920
OG0000206	EXC50_RS03230	MHL_RS00940
OG0000207	EXC50_RS03215	MHL_RS00955
OG0000208	EXC50_RS03210	MHL_RS00960
OG0000209	EXC50_RS03205	MHL_RS00965
OG0000210	EXC50_RS03160	MHL_RS01010
OG0000211	EXC50_RS03150	MHL_RS01020
OG0000212	EXC50_RS03140	MHL_RS01030
OG0000213	EXC50_RS03135	MHL_RS01035
OG0000214	EXC50_RS03130	MHL_RS01040
OG0000215	EXC50_RS03125	MHL_RS01045
OG0000216	EXC50_RS03120	MHL_RS01050
OG0000217	EXC50_RS03115	MHL_RS01055
OG0000218	EXC50_RS03105	MHL_RS01065
OG0000219	EXC50_RS03100	MHL_RS01070
OG0000220	EXC50_RS03095	MHL_RS01075
OG0000221	EXC50_RS03090	MHL_RS01080
OG0000222	EXC50_RS03085	MHL_RS01085
OG0000223	EXC50_RS03080	MHL_RS01090
OG0000224	EXC50_RS03070	MHL_RS01100
OG0000225	EXC50_RS03060	MHL_RS01110
OG0000226	EXC50_RS03055	MHL_RS01115
OG0000227	EXC50_RS03050	MHL_RS01120
OG0000228	EXC50_RS03045	MHL_RS04215
OG0000229	EXC50_RS03040	MHL_RS01130
OG0000230	EXC50_RS03035	MHL_RS01135
OG0000231	EXC50_RS03025	MHL_RS01145
OG0000232	EXC50_RS03015	MHL_RS01155
OG0000233	EXC50_RS02995	MHL_RS01175
OG0000234	EXC50_RS02960	MHL_RS01210
OG0000235	EXC50_RS02950	MHL_RS01220
OG0000236	EXC50_RS02945	MHL_RS01225
OG0000237	EXC50_RS02940	MHL_RS01230
OG0000238	EXC50_RS02930	MHL_RS01240
OG0000239	EXC50_RS01785	MHL_RS02990
OG0000240	EXC50_RS01790	MHL_RS02995
OG0000241	EXC50_RS01800	MHL_RS03005
OG0000242	EXC50_RS01805	MHL_RS03010
OG0000243	EXC50_RS01810	MHL_RS03015
OG0000244	EXC50_RS01820	MHL_RS03025
OG0000245	EXC50_RS01830	MHL_RS03035
OG0000246	EXC50_RS00140	MHL_RS00145
OG0000247	EXC50_RS00150	MHL_RS00155
OG0000248	EXC50_RS00160	MHL_RS00165
OG0000249	EXC50_RS00165	MHL_RS00170
OG0000250	EXC50_RS00180	MHL_RS00185
OG0000251	EXC50_RS00215	MHL_RS00210
OG0000252	EXC50_RS00225	MHL_RS00220
OG0000253	EXC50_RS00230	MHL_RS00225
OG0000254	EXC50_RS00240	MHL_RS00235
