Orthogroup	MHP_J_genes	MFC_ATCC27716_genes
OG0000000	MHJ_RS02155	MFC_RS01410
OG0000000	MHJ_RS03645	MFC_RS02935
OG0000000	MHJ_RS01665	MFC_RS00365
OG0000001	MHJ_RS01255, MHJ_RS01250, MHJ_RS02765, MHJ_RS03940, MHJ_RS02710	MFC_RS03350
OG0000002	MHJ_RS03585, MHJ_RS03670	MFC_RS00395
OG0000002	MHJ_RS02080	MFC_RS02940
OG0000002	MHJ_RS01675	MFC_RS00370
OG0000003	MHJ_RS03890	MFC_RS02995
OG0000004	MHJ_RS02995	MFC_RS00155
OG0000007	MHJ_RS02140	MFC_RS02975
OG0000007	MHJ_RS02135	MFC_RS02970
OG0000007	MHJ_RS02130	MFC_RS02965
OG0000008	MHJ_RS03850	MFC_RS03380
OG0000011	MHJ_RS04005, MHJ_RS01900	MFC_RS03510, MFC_RS03505
OG0000011	MHJ_RS01895	MFC_RS01350
OG0000013	MHJ_RS02355	MFC_RS03175, MFC_RS02880
OG0000013	MHJ_RS03825	MFC_RS03420
OG0000014	MHJ_RS01060, MHJ_RS00590	MFC_RS00870
OG0000016	MHJ_RS02810	MFC_RS01050
OG0000017	MHJ_RS00130	MFC_RS03155
OG0000017	MHJ_RS02820	MFC_RS01040
OG0000018	MHJ_RS01295	MFC_RS00540
OG0000020	MHJ_RS03515	MFC_RS00305
OG0000020	MHJ_RS03995	MFC_RS00300
OG0000022	MHJ_RS01660	MFC_RS00360
OG0000024	MHJ_RS02705, MHJ_RS01245	MFC_RS01110
OG0000025	MHJ_RS01655	MFC_RS00355
OG0000026	MHJ_RS01335, MHJ_RS01635	MFC_RS00580
OG0000027	MHJ_RS03330	MFC_RS02850
OG0000028	MHJ_RS02365, MHJ_RS02370	MFC_RS01205, MFC_RS01200
OG0000029	MHJ_RS01055, MHJ_RS00595	MFC_RS00875
OG0000030	MHJ_RS03310, MHJ_RS03325	MFC_RS02855
OG0000031	MHJ_RS01560	MFC_RS01295
OG0000032	MHJ_RS03320	MFC_RS02860
OG0000037	MHJ_RS03820	MFC_RS03185
OG0000039	MHJ_RS01575	MFC_RS03135, MFC_RS00935
OG0000040	MHJ_RS03260	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	MHJ_RS02920	MFC_RS00930, MFC_RS01085
OG0000043	MHJ_RS01865	MFC_RS01320
OG0000045	MHJ_RS01580	MFC_RS00950
OG0000048	MHJ_RS02050	MFC_RS00140
OG0000049	MHJ_RS03010	MFC_RS03220, MFC_RS03365
OG0000050	MHJ_RS02400	MFC_RS01260
OG0000051	MHJ_RS02615	MFC_RS02240
OG0000052	MHJ_RS00075	MFC_RS00160
OG0000053	MHJ_RS01420	MFC_RS00665
OG0000054	MHJ_RS02425	MFC_RS01235
OG0000055	MHJ_RS00110	MFC_RS03415, MFC_RS03540
OG0000056	MHJ_RS03500	MFC_RS00325
OG0000057	MHJ_RS02900	MFC_RS00965
OG0000062	MHJ_RS03545	MFC_RS00270
OG0000063	MHJ_RS03540	MFC_RS00275
OG0000064	MHJ_RS03530	MFC_RS00285
OG0000065	MHJ_RS02200	MFC_RS00440
OG0000066	MHJ_RS01325	MFC_RS00570
OG0000068	MHJ_RS00630	MFC_RS00910
