#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:765808-767547|- -            580 539at2085            -            541    3e-246  813.6  15.1   1   1    2e-248  3.5e-246  813.4  15.1     1   541     8   574     8   574 0.97 scf00000000_601 # 765808 # 767547 # -1 # ID=1_601;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297
scf00000000:70240-71607|+   -            456 539at2085            -            541   2.8e-10   34.8   0.7   1   3      0.21        37   -1.9   0.0   197   228    56    87    40   101 0.74 scf00000000_60 # 70240 # 71607 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
scf00000000:70240-71607|+   -            456 539at2085            -            541   2.8e-10   34.8   0.7   2   3   1.3e-08   2.3e-06   21.9   0.1   235   346   157   268   150   272 0.88 scf00000000_60 # 70240 # 71607 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
scf00000000:70240-71607|+   -            456 539at2085            -            541   2.8e-10   34.8   0.7   3   3     4e-05    0.0071   10.4   0.1   451   540   354   449   348   450 0.82 scf00000000_60 # 70240 # 71607 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
scf00000000:489332-490771|- -            480 539at2085            -            541   6.1e-08   27.1   4.7   1   2     0.014       2.4    2.0   0.0   186   317    43   184    34   196 0.65 scf00000000_403 # 489332 # 490771 # -1 # ID=1_403;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.309
scf00000000:489332-490771|- -            480 539at2085            -            541   6.1e-08   27.1   4.7   2   2   1.3e-09   2.4e-07   25.1   2.0   408   525   237   366   230   382 0.78 scf00000000_403 # 489332 # 490771 # -1 # ID=1_403;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.309
scf00000000:314288-315529|+ -            414 539at2085            -            541   0.00011   16.4   0.7   1   3      0.17        30   -1.6   0.2    99   142     9    52     3    89 0.64 scf00000000_270 # 314288 # 315529 # 1 # ID=1_270;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:314288-315529|+ -            414 539at2085            -            541   0.00011   16.4   0.7   2   3   1.6e-05    0.0029   11.7   0.0   153   362   133   347   128   353 0.81 scf00000000_270 # 314288 # 315529 # 1 # ID=1_270;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:314288-315529|+ -            414 539at2085            -            541   0.00011   16.4   0.7   3   3     0.014       2.5    1.9   0.0   411   458   361   406   355   409 0.76 scf00000000_270 # 314288 # 315529 # 1 # ID=1_270;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use
# Date:            Sun Dec  1 19:25:37 2024
# [ok]
