Orthogroup	MHP_UFV01_genes	MHP_ES2_genes
OG0000000	FEF30_RS02570	E5E95_RS02310
OG0000000	FEF30_RS02505	E5E95_RS02240
OG0000000	FEF30_RS04350	E5E95_RS04075
OG0000000	FEF30_RS02495	E5E95_RS02230
OG0000000	FEF30_RS02690	E5E95_RS02430
OG0000000	FEF30_RS02695	E5E95_RS04240
OG0000000	FEF30_RS02035	E5E95_RS01830
OG0000001	FEF30_RS01595	E5E95_RS01300
OG0000001	FEF30_RS01590	E5E95_RS01295
OG0000001	FEF30_RS03180	E5E95_RS03000
OG0000001	FEF30_RS03125	E5E95_RS04150
OG0000002	FEF30_RS02580	E5E95_RS02320
OG0000002	FEF30_RS02575	E5E95_RS02315
OG0000002	FEF30_RS04340	E5E95_RS02250
OG0000002	FEF30_RS04295	E5E95_RS01840
OG0000003	FEF30_RS02165	E5E95_RS01870
OG0000003	FEF30_RS04200	E5E95_RS01915
OG0000003	FEF30_RS04345	E5E95_RS04070
OG0000004	FEF30_RS03540	E5E95_RS03410
OG0000004	FEF30_RS03550	E5E95_RS03425
OG0000005	FEF30_RS00415	E5E95_RS00090
OG0000005	FEF30_RS00435	E5E95_RS00110
OG0000005	FEF30_RS04180	E5E95_RS00095
OG0000005	FEF30_RS00425	E5E95_RS00100
OG0000005	FEF30_RS04185	E5E95_RS00115
OG0000006	FEF30_RS02880	E5E95_RS02705
OG0000006	FEF30_RS02730	E5E95_RS04120, E5E95_RS04115
OG0000007	FEF30_RS02555	E5E95_RS02300
OG0000007	FEF30_RS02545	E5E95_RS02295
OG0000007	FEF30_RS02540	E5E95_RS02290
OG0000008	FEF30_RS02685	E5E95_RS03925, E5E95_RS04080
OG0000008	FEF30_RS01955	E5E95_RS03905
OG0000008	FEF30_RS02885	E5E95_RS03930, E5E95_RS04135
OG0000009	FEF30_RS00980	E5E95_RS00665
OG0000009	FEF30_RS01500	E5E95_RS01210
OG0000009	FEF30_RS00990	E5E95_RS00680
OG0000010	FEF30_RS02240	E5E95_RS01970
OG0000010	FEF30_RS04280	E5E95_RS01575
OG0000011	FEF30_RS02330	E5E95_RS02070
OG0000011	FEF30_RS02325	E5E95_RS02060
OG0000012	FEF30_RS03655	E5E95_RS02435, E5E95_RS03230
OG0000013	FEF30_RS02775	E5E95_RS02610
OG0000013	FEF30_RS00500	E5E95_RS03955
OG0000014	FEF30_RS00910	E5E95_RS00595
OG0000014	FEF30_RS01400	E5E95_RS01105
OG0000014	FEF30_RS04210	E5E95_RS00605
OG0000015	FEF30_RS01950	E5E95_RS01745
OG0000016	FEF30_RS03220	E5E95_RS03040
OG0000016	FEF30_RS00485	E5E95_RS00160
OG0000017	FEF30_RS00470	E5E95_RS00145
OG0000017	FEF30_RS03230	E5E95_RS03050
OG0000020	FEF30_RS00265	E5E95_RS03770
OG0000022	FEF30_RS01975	E5E95_RS01770
OG0000022	FEF30_RS04290	E5E95_RS01825
OG0000024	FEF30_RS03120	E5E95_RS02945
OG0000024	FEF30_RS01585	E5E95_RS01290
OG0000025	FEF30_RS04285	E5E95_RS01775
OG0000025	FEF30_RS02025	E5E95_RS01820
OG0000026	FEF30_RS01680	E5E95_RS01380
OG0000026	FEF30_RS02005	E5E95_RS01800
OG0000027	FEF30_RS00060	E5E95_RS03560
OG0000027	FEF30_RS04125	E5E95_RS03575
OG0000028	FEF30_RS02785, FEF30_RS02790	E5E95_RS02625
OG0000029	FEF30_RS01390	E5E95_RS01100
OG0000029	FEF30_RS00925	E5E95_RS00610
OG0000030	FEF30_RS04110	E5E95_RS03550
OG0000030	FEF30_RS04120	E5E95_RS03570
OG0000032	FEF30_RS00065	E5E95_RS03565
OG0000034	FEF30_RS02525	E5E95_RS04045
OG0000035	FEF30_RS03545	E5E95_RS03405
OG0000036	FEF30_RS00445	E5E95_RS00120
OG0000038	FEF30_RS02160	E5E95_RS01865
OG0000039	FEF30_RS01930	E5E95_RS01650, E5E95_RS01645
OG0000040	FEF30_RS03620	E5E95_RS03495
OG0000041	FEF30_RS00985	E5E95_RS00670
OG0000042	FEF30_RS03315	E5E95_RS03140
OG0000043	FEF30_RS02295, FEF30_RS02105	E5E95_RS02030
OG0000044	FEF30_RS04460	E5E95_RS04290
OG0000045	FEF30_RS01935, FEF30_RS01940	E5E95_RS01655
OG0000046	FEF30_RS04495	E5E95_RS03505
OG0000048	FEF30_RS02480	E5E95_RS02215
OG0000049	FEF30_RS03400	E5E95_RS03260
OG0000050	FEF30_RS02820	E5E95_RS02655
OG0000051	FEF30_RS03030	E5E95_RS02855
OG0000052	FEF30_RS00405	E5E95_RS00075
OG0000053	FEF30_RS04260	E5E95_RS01465
OG0000054	FEF30_RS02845	E5E95_RS02680
OG0000055	FEF30_RS00450	E5E95_RS00125
OG0000056	FEF30_RS00250	E5E95_RS03750
OG0000057	FEF30_RS03300	E5E95_RS03125
OG0000058	FEF30_RS02120	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530
OG0000059	FEF30_RS02110	E5E95_RS02510
OG0000060	FEF30_RS01505	E5E95_RS01215
OG0000061	FEF30_RS01900	E5E95_RS01980
OG0000062	FEF30_RS00295	E5E95_RS03805
OG0000063	FEF30_RS04165	E5E95_RS03800
OG0000064	FEF30_RS00280	E5E95_RS03790
OG0000065	FEF30_RS02625	E5E95_RS02365
OG0000066	FEF30_RS01670	E5E95_RS01370
OG0000067	FEF30_RS00835	E5E95_RS00525
OG0000068	FEF30_RS00960	E5E95_RS00645
OG0000069	FEF30_RS03195	E5E95_RS03015
OG0000070	FEF30_RS02850	E5E95_RS02685
OG0000071	FEF30_RS03610	E5E95_RS03485
OG0000072	FEF30_RS04405	E5E95_RS03490
OG0000073	FEF30_RS01015	E5E95_RS00705
OG0000074	FEF30_RS04230	E5E95_RS00900
OG0000076	FEF30_RS00670	E5E95_RS00355
OG0000077	FEF30_RS00755	E5E95_RS00445
OG0000079	FEF30_RS02935	E5E95_RS02760
OG0000080	FEF30_RS02980	E5E95_RS03935
OG0000081	FEF30_RS00650	E5E95_RS00335
OG0000082	FEF30_RS02770	E5E95_RS02605
OG0000083	FEF30_RS02400	E5E95_RS02140
OG0000084	FEF30_RS02430	E5E95_RS02165
OG0000085	FEF30_RS02435	E5E95_RS02170
OG0000086	FEF30_RS02445	E5E95_RS02180
OG0000087	FEF30_RS02460	E5E95_RS02195
OG0000088	FEF30_RS02465	E5E95_RS02200
OG0000089	FEF30_RS02475	E5E95_RS02210
OG0000090	FEF30_RS00400	E5E95_RS00070
OG0000091	FEF30_RS00385	E5E95_RS00055
OG0000092	FEF30_RS00370	E5E95_RS00040
OG0000093	FEF30_RS00365	E5E95_RS00035
OG0000094	FEF30_RS00360	E5E95_RS00030
OG0000095	FEF30_RS00335	E5E95_RS00005
OG0000096	FEF30_RS00330	E5E95_RS03840
OG0000097	FEF30_RS00310	E5E95_RS03820
OG0000098	FEF30_RS00300	E5E95_RS03810
OG0000099	FEF30_RS04160	E5E95_RS03760
OG0000100	FEF30_RS00240	E5E95_RS03740
OG0000101	FEF30_RS00235	E5E95_RS03735
OG0000102	FEF30_RS02020	E5E95_RS01815
OG0000103	FEF30_RS02590	E5E95_RS02330
OG0000104	FEF30_RS02595	E5E95_RS02335
OG0000105	FEF30_RS02610	E5E95_RS02350
OG0000106	FEF30_RS02620	E5E95_RS02360
OG0000107	FEF30_RS02630	E5E95_RS02370
OG0000108	FEF30_RS02635	E5E95_RS02375
OG0000109	FEF30_RS02640	E5E95_RS02380
OG0000110	FEF30_RS02760	E5E95_RS02595
OG0000111	FEF30_RS02755	E5E95_RS02590
OG0000112	FEF30_RS02745	E5E95_RS02580
OG0000113	FEF30_RS02725	E5E95_RS02560
OG0000114	FEF30_RS02715	E5E95_RS04300
OG0000115	FEF30_RS02705	E5E95_RS02535
OG0000116	FEF30_RS01610	E5E95_RS01315
OG0000117	FEF30_RS01615	E5E95_RS01320
OG0000118	FEF30_RS01650	E5E95_RS01355
OG0000119	FEF30_RS01655	E5E95_RS01360
OG0000120	FEF30_RS01675	E5E95_RS01375
OG0000121	FEF30_RS01700	E5E95_RS01400
OG0000122	FEF30_RS01705	E5E95_RS01405
OG0000123	FEF30_RS01725	E5E95_RS01425
OG0000124	FEF30_RS01730	E5E95_RS01430
