#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP034597.1:764927-766666|- -            580 539at2085            -            541  9.1e-247  815.3  14.2   1   1  6.1e-249    1e-246  815.1  14.2     1   541     8   574     8   574 0.97 NZ_CP034597.1_601 # 764927 # 766666 # -1 # ID=1_601;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.299
NZ_CP034597.1:70902-72269|+   -            456 539at2085            -            541   4.1e-10   34.2   1.0   1   3      0.16        28   -1.5   0.0   197   228    56    87    39   101 0.72 NZ_CP034597.1_61 # 70902 # 72269 # 1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP034597.1:70902-72269|+   -            456 539at2085            -            541   4.1e-10   34.2   1.0   2   3   1.3e-08   2.2e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_CP034597.1_61 # 70902 # 72269 # 1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP034597.1:70902-72269|+   -            456 539at2085            -            541   4.1e-10   34.2   1.0   3   3   5.9e-05      0.01    9.8   0.1   451   540   354   449   348   450 0.83 NZ_CP034597.1_61 # 70902 # 72269 # 1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP034597.1:407483-408922|+ -            480 539at2085            -            541   2.5e-07   25.0   6.1   1   2     0.014       2.4    2.0   0.0   186   317    43   184    34   196 0.65 NZ_CP034597.1_345 # 407483 # 408922 # 1 # ID=1_345;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NZ_CP034597.1:407483-408922|+ -            480 539at2085            -            541   2.5e-07   25.0   6.1   2   2   2.7e-09   4.6e-07   24.2   2.2   408   525   237   366   226   382 0.78 NZ_CP034597.1_345 # 407483 # 408922 # 1 # ID=1_345;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NZ_CP034597.1:315076-316317|+ -            414 539at2085            -            541     9e-05   16.6   0.5   1   3      0.17        29   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_CP034597.1_270 # 315076 # 316317 # 1 # ID=1_270;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_CP034597.1:315076-316317|+ -            414 539at2085            -            541     9e-05   16.6   0.5   2   3   1.5e-05    0.0025   11.8   0.0   153   362   133   347   119   353 0.81 NZ_CP034597.1_270 # 315076 # 316317 # 1 # ID=1_270;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_CP034597.1:315076-316317|+ -            414 539at2085            -            541     9e-05   16.6   0.5   3   3     0.014       2.3    2.0   0.0   411   458   361   406   353   409 0.77 NZ_CP034597.1_270 # 315076 # 316317 # 1 # ID=1_270;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/F72C/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/F72C/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/F72C/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/F72C/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/F72C/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/F72C/Use
# Date:            Sun Dec  1 19:03:29 2024
# [ok]
