	MFC_RS00005			
	seqID	strand	start	end
MFC_RS00005	IDATCC27716	-	374341	374715
seqID	MFC_RS00010			
IDATCC27716	seqID	strand	start	end
MFC_RS00010	IDATCC27716	-	372468	374288
seqID	MFC_RS00020			
IDATCC27716	seqID	strand	start	end
MFC_RS00020	IDATCC27716	-	369871	372102
seqID	MFC_RS00025			
IDATCC27716	seqID	strand	start	end
MFC_RS00025	IDATCC27716	-	367740	369839
seqID	MFC_RS00030			
IDATCC27716	seqID	strand	start	end
MFC_RS00030	IDATCC27716	-	366746	367714
seqID	MFC_RS00035			
IDATCC27716	seqID	strand	start	end
MFC_RS00035	IDATCC27716	-	364591	366768
seqID	MFC_RS00040			
IDATCC27716	seqID	strand	start	end
MFC_RS00040	IDATCC27716	-	363581	364591
seqID	MFC_RS00045			
IDATCC27716	seqID	strand	start	end
MFC_RS00045	IDATCC27716	-	362653	363618
seqID	MFC_RS03300			
IDATCC27716	seqID	strand	start	end
MFC_RS03300	IDATCC27716	-	362482	362649
seqID	MFC_RS00050			
IDATCC27716	seqID	strand	start	end
MFC_RS00050	IDATCC27716	-	359586	362381
seqID	MFC_RS00055			
IDATCC27716	seqID	strand	start	end
MFC_RS00055	IDATCC27716	-	356747	359560
seqID	MFC_RS00065			
IDATCC27716	seqID	strand	start	end
MFC_RS00065	IDATCC27716	-	356021	356500
seqID	MFC_RS00070			
IDATCC27716	seqID	strand	start	end
MFC_RS00070	IDATCC27716	-	355705	355995
seqID	MFC_RS00075			
IDATCC27716	seqID	strand	start	end
MFC_RS00075	IDATCC27716	-	353729	355498
seqID	MFC_RS00080			
IDATCC27716	seqID	strand	start	end
MFC_RS00080	IDATCC27716	-	352586	353638
seqID	MFC_RS00085			
IDATCC27716	seqID	strand	start	end
MFC_RS00085	IDATCC27716	-	350541	352403
seqID	MFC_RS00090			
IDATCC27716	seqID	strand	start	end
MFC_RS00090	IDATCC27716	-	349230	350390
seqID	MFC_RS00095			
IDATCC27716	seqID	strand	start	end
MFC_RS00095	IDATCC27716	-	348320	349243
seqID	MFC_RS03320			
IDATCC27716	seqID	strand	start	end
MFC_RS03320	IDATCC27716	-	347805	348326
seqID	MFC_RS03325			
IDATCC27716	seqID	strand	start	end
MFC_RS03325	IDATCC27716	-	347491	347688
seqID	MFC_RS00105			
IDATCC27716	seqID	strand	start	end
MFC_RS00105	IDATCC27716	-	346915	347481
seqID	MFC_RS00110			
IDATCC27716	seqID	strand	start	end
MFC_RS00110	IDATCC27716	-	344516	346816
seqID	MFC_RS00115			
IDATCC27716	seqID	strand	start	end
MFC_RS00115	IDATCC27716	-	344068	344400
seqID	MFC_RS00120			
IDATCC27716	seqID	strand	start	end
MFC_RS00120	IDATCC27716	-	342574	344013
seqID	MFC_RS00125			
IDATCC27716	seqID	strand	start	end
MFC_RS00125	IDATCC27716	-	342453	342527
seqID	MFC_RS00130			
IDATCC27716	seqID	strand	start	end
MFC_RS00130	IDATCC27716	-	342366	342449
seqID	MFC_RS00135			
IDATCC27716	seqID	strand	start	end
MFC_RS00135	IDATCC27716	-	341862	342185
seqID	MFC_RS00140			
IDATCC27716	seqID	strand	start	end
MFC_RS00140	IDATCC27716	+	770946	771141
seqID	MFC_RS03330			
IDATCC27716	seqID	strand	start	end
MFC_RS03330	IDATCC27716	+	771113	772555
seqID	MFC_RS00155			
IDATCC27716	seqID	strand	start	end
MFC_RS00155	IDATCC27716	+	773256	775025
seqID	MFC_RS00160			
IDATCC27716	seqID	strand	start	end
MFC_RS00160	IDATCC27716	-	769540	770412
seqID	MFC_RS00165			
IDATCC27716	seqID	strand	start	end
MFC_RS00165	IDATCC27716	-	768670	769533
seqID	MFC_RS00170			
IDATCC27716	seqID	strand	start	end
MFC_RS00170	IDATCC27716	-	768395	768640
seqID	MFC_RS00175			
IDATCC27716	seqID	strand	start	end
MFC_RS00175	IDATCC27716	-	766787	768391
seqID	MFC_RS00180			
IDATCC27716	seqID	strand	start	end
MFC_RS00180	IDATCC27716	-	766048	766803
seqID	MFC_RS00185			
IDATCC27716	seqID	strand	start	end
MFC_RS00185	IDATCC27716	-	765038	766045
seqID	MFC_RS00190			
IDATCC27716	seqID	strand	start	end
MFC_RS00190	IDATCC27716	-	762911	764932
seqID	MFC_RS00195			
IDATCC27716	seqID	strand	start	end
MFC_RS00195	IDATCC27716	-	761771	762772
seqID	MFC_RS00200			
IDATCC27716	seqID	strand	start	end
MFC_RS00200	IDATCC27716	-	761117	761686
seqID	MFC_RS00205			
IDATCC27716	seqID	strand	start	end
MFC_RS00205	IDATCC27716	-	760027	761001
seqID	MFC_RS03335			
IDATCC27716	seqID	strand	start	end
MFC_RS03335	IDATCC27716	-	759735	760040
seqID	MFC_RS00210			
IDATCC27716	seqID	strand	start	end
MFC_RS00210	IDATCC27716	-	759034	759747
seqID	MFC_RS00215			
IDATCC27716	seqID	strand	start	end
MFC_RS00215	IDATCC27716	-	758562	759020
seqID	MFC_RS00220			
IDATCC27716	seqID	strand	start	end
MFC_RS00220	IDATCC27716	-	756703	758562
seqID	MFC_RS00225			
IDATCC27716	seqID	strand	start	end
MFC_RS00225	IDATCC27716	-	755456	756592
seqID	MFC_RS00230			
IDATCC27716	seqID	strand	start	end
MFC_RS00230	IDATCC27716	-	753913	755304
seqID	MFC_RS00235			
IDATCC27716	seqID	strand	start	end
MFC_RS00235	IDATCC27716	-	753559	753702
seqID	MFC_RS00240			
IDATCC27716	seqID	strand	start	end
MFC_RS00240	IDATCC27716	-	753205	753543
seqID	MFC_RS00245			
IDATCC27716	seqID	strand	start	end
MFC_RS00245	IDATCC27716	-	751386	753215
seqID	MFC_RS00250			
IDATCC27716	seqID	strand	start	end
MFC_RS00250	IDATCC27716	-	748920	751271
seqID	MFC_RS00255			
IDATCC27716	seqID	strand	start	end
MFC_RS00255	IDATCC27716	-	747795	748856
seqID	MFC_RS00260			
IDATCC27716	seqID	strand	start	end
MFC_RS00260	IDATCC27716	-	745312	747783
seqID	MFC_RS00265			
IDATCC27716	seqID	strand	start	end
MFC_RS00265	IDATCC27716	-	743386	745302
seqID	MFC_RS00270			
IDATCC27716	seqID	strand	start	end
MFC_RS00270	IDATCC27716	-	742400	743365
seqID	MFC_RS00275			
IDATCC27716	seqID	strand	start	end
MFC_RS00275	IDATCC27716	-	740750	742312
seqID	MFC_RS00280			
IDATCC27716	seqID	strand	start	end
MFC_RS00280	IDATCC27716	-	740268	740750
seqID	MFC_RS00285			
IDATCC27716	seqID	strand	start	end
MFC_RS00285	IDATCC27716	-	739614	740252
seqID	MFC_RS00290			
IDATCC27716	seqID	strand	start	end
MFC_RS00290	IDATCC27716	-	737505	739045
seqID	MFC_RS00295			
IDATCC27716	seqID	strand	start	end
MFC_RS00295	IDATCC27716	-	734213	737116
seqID	MFC_RS00300			
IDATCC27716	seqID	strand	start	end
MFC_RS00300	IDATCC27716	-	732469	734070
seqID	MFC_RS00305			
IDATCC27716	seqID	strand	start	end
MFC_RS00305	IDATCC27716	-	730878	732485
seqID	MFC_RS00310			
IDATCC27716	seqID	strand	start	end
MFC_RS00310	IDATCC27716	-	730455	730856
seqID	MFC_RS00315			
IDATCC27716	seqID	strand	start	end
MFC_RS00315	IDATCC27716	-	726405	730049
seqID	MFC_RS00320			
IDATCC27716	seqID	strand	start	end
MFC_RS00320	IDATCC27716	-	722869	726390
seqID	MFC_RS00325			
IDATCC27716	seqID	strand	start	end
