Orthogroup	MHP_168L_protein	MHP_UFV01_protein
OG0000000	WP_014579809.1	WP_243216150.1
OG0000000	WP_014579826.1	WP_243216186.1
OG0000000	WP_081632348.1	WP_160587900.1
OG0000001	WP_014579584.1	WP_243215969.1
OG0000001	WP_014579780.1	WP_233688742.1
OG0000002	WP_233417357.1	WP_243215939.1
OG0000002	WP_233417349.1	WP_243216215.1
OG0000003	WP_044889040.1	WP_052269173.1
OG0000003	WP_044889037.1	WP_094521686.1
OG0000004	WP_016340224.1	WP_243216199.1
OG0000004	WP_233417351.1	WP_243216238.1
OG0000005	WP_318023915.1	WP_308705306.1
OG0000006	WP_014579660.1	WP_308705305.1
OG0000006	WP_014579661.1	WP_243216008.1
OG0000008	WP_014579984.1	WP_233688544.1
OG0000008	WP_014579982.1	WP_243216334.1
OG0000009	WP_044889041.1	WP_243216220.1
OG0000010	WP_014579924.1	WP_243216277.1
OG0000010	WP_228365417.1	WP_243216042.1
OG0000012	WP_014579691.1	WP_243216099.1
OG0000013	WP_014579886.1	WP_228366101.1
OG0000013	WP_044278021.1	WP_243216228.1
OG0000014	WP_014579925.1	WP_228366104.1
OG0000014	WP_014579709.1	WP_243216044.1
OG0000016	WP_016340229.1	WP_243216218.1
OG0000017	WP_014579983.1	WP_179695901.1
OG0000018	WP_016340243.1	WP_243216302.1
OG0000019	WP_044889029.1	WP_243215926.1, WP_011289946.1
OG0000020	WP_081632345.1, WP_081450695.1, WP_081450698.1	WP_243216349.1
OG0000021	WP_014579684.1	WP_020835556.1
OG0000022	WP_228365387.1	WP_243216212.1
OG0000023	WP_014579993.1	WP_044272644.1
OG0000024	WP_014579653.1	WP_011206100.1
OG0000024	WP_233417359.1	WP_243215989.1
OG0000025	WP_228365422.1	WP_243216072.1, WP_243216073.1
OG0000026	WP_016340231.1	WP_044272534.1
OG0000028	WP_014579781.1	WP_014579781.1
OG0000028	WP_014579585.1, WP_014579767.1	WP_014579585.1
OG0000029	WP_187286318.1	WP_179221095.1
OG0000030	WP_014579910.1	WP_243216261.1
OG0000031	WP_014579531.1	WP_011205867.1
OG0000032	WP_014579779.1, WP_016340186.1	WP_243216117.1
OG0000033	WP_044277998.1	WP_081430780.1, WP_011206179.1
OG0000034	WP_014579883.1	WP_243216226.1
OG0000035	WP_014579762.1	WP_243216087.1
OG0000036	WP_014579882.1	WP_041361671.1
OG0000037	WP_014579688.1	WP_243216105.1
OG0000037	WP_011206365.1, WP_052293599.1	WP_243216103.1
OG0000038	WP_014579652.1	WP_243215987.1
OG0000039	WP_014579821.1	WP_011206214.1
OG0000040	WP_014579844.1	WP_243216165.1
OG0000041	WP_187286313.1	WP_279288053.1
OG0000042	WP_016340255.1	WP_243215895.1
OG0000043	WP_014580027.1	WP_243215892.1
OG0000044	WP_014579753.1	WP_243216098.1
OG0000045	WP_233417347.1, WP_016340219.1	WP_160601112.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_228365394.1	WP_225972996.1
OG0000048	WP_014579936.1	WP_014579936.1
OG0000049	WP_011284269.1	WP_011284269.1
OG0000050	WP_014579884.1	WP_011206292.1
OG0000051	WP_081632352.1	WP_044272532.1
OG0000052	WP_014579877.1	WP_243216224.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_014579964.1	WP_020835862.1
OG0000055	WP_014579969.1	WP_011206429.1
OG0000056	WP_014579991.1	WP_044272640.1
OG0000057	WP_011206089.1	WP_011206089.1
OG0000058	WP_014579626.1	WP_011283954.1
OG0000059	WP_014579624.1	WP_014579624.1
OG0000060	WP_014579617.1	WP_020835589.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_014579663.1	WP_243216013.1
OG0000063	WP_014579535.1	WP_014579535.1
OG0000064	WP_014579536.1	WP_243216353.1, WP_243215934.1
OG0000065	WP_014579568.1	WP_243215955.1
OG0000066	WP_014579581.1	WP_243215965.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_044278116.1	WP_243215866.1
OG0000069	WP_014579888.1	WP_179221160.1
OG0000070	WP_011206305.1	WP_233688475.1
OG0000071	WP_014579934.1	WP_243216282.1
OG0000072	WP_044278039.1	WP_243215853.1
OG0000073	WP_179695988.1	WP_179695988.1
OG0000074	WP_014579950.1	WP_011290343.1
OG0000075	WP_044277983.1	WP_243216040.1
OG0000076	WP_014579641.1	WP_243215998.1
OG0000077	WP_044889031.1	WP_243215952.1
OG0000078	WP_014580002.1	WP_243215860.1
OG0000079	WP_233417346.1	WP_243216159.1
OG0000080	WP_016340217.1	WP_243216161.1
OG0000081	WP_014579823.1	WP_014579823.1
OG0000082	WP_016340223.1	WP_243216163.1
OG0000083	WP_014579846.1	WP_020835728.1
OG0000084	WP_014579845.1	WP_011284142.1
OG0000085	WP_011206224.1	WP_146379594.1
OG0000086	WP_014579843.1	WP_243216167.1
OG0000087	WP_044278006.1	WP_220190703.1
OG0000088	WP_014579840.1	WP_044272477.1
OG0000089	WP_014579839.1	WP_044272480.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_014579524.1	WP_094521536.1
OG0000092	WP_016340175.1	WP_011283835.1
OG0000093	WP_011283833.1	WP_011283833.1
OG0000094	WP_014579522.1	WP_243215921.1
OG0000095	WP_011205849.1	WP_243215919.1
OG0000096	WP_016340174.1	WP_160588116.1
OG0000097	WP_011205847.1	WP_243215917.1
OG0000098	WP_011205846.1	WP_243215915.1
OG0000099	WP_014579519.1	WP_233688588.1
OG0000100	WP_014579518.1	WP_243215911.1
OG0000101	WP_044277943.1	WP_243215909.1
OG0000102	WP_014579516.1	WP_243215907.1
OG0000103	WP_011206529.1	WP_243215905.1
OG0000104	WP_014580049.1	WP_243215901.1
OG0000105	WP_014580048.1	WP_243215900.1
OG0000106	WP_014580047.1	WP_243215899.1
OG0000107	WP_014580046.1	WP_243215898.1
OG0000108	WP_014580045.1	WP_094521530.1
OG0000109	WP_016340258.1	WP_011206521.1
OG0000110	WP_014580043.1	WP_160615736.1
