MHP7448_RS00005 WP_044272251.1
MHP7448_RS00010 WP_011289927.1
MHP7448_RS00015 WP_044272256.1
MHP7448_RS00020 WP_044272260.1
MHP7448_RS00025 WP_011289930.1
MHP7448_RS00030 WP_020835483.1
MHP7448_RS00035 WP_044272266.1
MHP7448_RS00040 WP_011205847.1
MHP7448_RS00045 WP_020835486.1
MHP7448_RS00050 WP_011205849.1
MHP7448_RS00055 WP_020835487.1
MHP7448_RS00060 WP_011289935.1
MHP7448_RS00065 WP_011283834.1
MHP7448_RS00070 WP_011289936.1
MHP7448_RS00075 WP_011289937.1
MHP7448_RS00080 WP_020835489.1
MHP7448_RS00085 WP_041361519.1
MHP7448_RS00090 WP_225973003.1
MHP7448_RS00095 WP_228366119.1
MHP7448_RS00100 WP_011289941.1
MHP7448_RS00105 WP_011289942.1
MHP7448_RS00110 WP_011289943.1
MHP7448_RS00115 WP_020835495.1
MHP7448_RS00120 WP_011289945.1
MHP7448_RS00125 WP_011289946.1
MHP7448_RS00130 WP_020835498.1
MHP7448_RS00135 WP_011205867.1
MHP7448_RS00140 WP_041361522.1
MHP7448_RS00145 WP_020835499.1
MHP7448_RS00150 WP_011289951.1
MHP7448_RS00155 WP_020835500.1
MHP7448_RS00160 WP_014579535.1
MHP7448_RS00165 WP_020835502.1
MHP7448_RS00170 WP_011289955.1
MHP7448_RS00175 WP_011289956.1
MHP7448_RS00180 WP_011289957.1
MHP7448_RS03945 WP_228366120.1
MHP7448_RS00190 WP_044272282.1
MHP7448_RS03685 WP_011205878.1
MHP7448_RS00195 WP_228366121.1
MHP7448_RS00200 WP_011205880.1
MHP7448_RS00205 WP_020835507.1
MHP7448_RS00210 WP_011289963.1
MHP7448_RS00215 WP_011205883.1
MHP7448_RS00220 WP_011289964.1
MHP7448_RS00225 WP_020835509.1
MHP7448_RS00230 WP_044272285.1
MHP7448_RS00240 WP_020835511.1
MHP7448_RS00245 WP_011289968.1
MHP7448_RS00250 WP_044272682.1
MHP7448_RS00255 WP_044272289.1
MHP7448_RS00260 WP_014579553.1
MHP7448_RS00265 WP_011289972.1
MHP7448_RS00270 WP_011289973.1
MHP7448_RS00275 WP_225973008.1
MHP7448_RS00280 WP_011289974.1
MHP7448_RS00285 WP_020835518.1
MHP7448_RS00290 WP_011289976.1
MHP7448_RS00295 WP_011289977.1
MHP7448_RS00300 WP_020835519.1
MHP7448_RS00305 WP_011289979.1
MHP7448_RS00310 WP_228366122.1
MHP7448_RS00315 WP_011289981.1
MHP7448_RS00320 WP_011289982.1
MHP7448_RS00325 WP_011289983.1
MHP7448_RS00330 WP_044272293.1
MHP7448_RS00335 WP_011289985.1
MHP7448_RS00340 WP_014579568.1
MHP7448_RS00345 WP_041361531.1
MHP7448_RS00350 WP_011289986.1
MHP7448_RS00355 WP_011289987.1
MHP7448_RS00360 WP_011283885.1
MHP7448_RS00365 WP_044272294.1
MHP7448_RS00370 WP_041361533.1
MHP7448_RS00375 WP_011283887.1
MHP7448_RS00380 WP_011289989.1
MHP7448_RS00385 WP_044272298.1
MHP7448_RS00390 WP_011205921.1
MHP7448_RS00395 WP_011205922.1
MHP7448_RS00400 WP_011205923.1
MHP7448_RS00405 WP_011289991.1
MHP7448_RS00410 WP_014579576.1
MHP7448_RS00415 WP_020835532.1
MHP7448_RS00420 WP_011289993.1
MHP7448_RS00425 WP_011289994.1
MHP7448_RS00430 WP_011206135.1
MHP7448_RS00435 WP_011206134.1
MHP7448_RS00445 WP_011289996.1
MHP7448_RS00495 WP_011289997.1
MHP7448_RS00500 WP_044272304.1
MHP7448_RS00505 WP_044272308.1
MHP7448_RS03950 WP_020835536.1
MHP7448_RS00515 WP_041361727.1
MHP7448_RS00520 WP_044272311.1
MHP7448_RS00525 WP_044272314.1
MHP7448_RS00530 WP_014579589.1
MHP7448_RS00535 WP_228366123.1
MHP7448_RS00540 WP_011290004.1
MHP7448_RS00550 WP_011206120.1
MHP7448_RS00555 WP_011290005.1
MHP7448_RS00560 WP_011206118.1
MHP7448_RS00565 WP_011290006.1
MHP7448_RS00570 WP_044272317.1
MHP7448_RS00575 WP_052269168.1
MHP7448_RS00580 WP_011290009.1
MHP7448_RS00585 WP_011206113.1
MHP7448_RS00590 WP_011206113.1
MHP7448_RS00600 WP_011290010.1
MHP7448_RS00605 WP_011290011.1
MHP7448_RS00610 WP_011290012.1
MHP7448_RS00615 WP_011290013.1
MHP7448_RS00625 WP_011284103.1
MHP7448_RS00630 WP_011290014.1
MHP7448_RS00645 WP_228366124.1
MHP7448_RS00650 WP_052269169.1
MHP7448_RS00655 WP_011206103.1
MHP7448_RS00660 WP_011290017.1
MHP7448_RS00665 WP_011206101.1
MHP7448_RS00675 WP_011290018.1
MHP7448_RS00680 WP_011290019.1
MHP7448_RS04080 WP_269076320.1
MHP7448_RS00690 WP_011290021.1
MHP7448_RS00695 WP_044272325.1
MHP7448_RS00700 WP_011290023.1
MHP7448_RS00705 WP_011290024.1
MHP7448_RS00710 WP_011206094.1
MHP7448_RS00715 WP_011206093.1
MHP7448_RS00720 WP_020835572.1
MHP7448_RS00725 WP_179695841.1
MHP7448_RS00730 WP_044272328.1
MHP7448_RS00735 WP_011290028.1
MHP7448_RS00740 WP_011290029.1
MHP7448_RS00745 WP_011283930.1
MHP7448_RS00750 WP_011206086.1
MHP7448_RS00755 WP_020835574.1
MHP7448_RS00760 WP_044272334.1
MHP7448_RS00765 WP_020835576.1
MHP7448_RS00770 WP_011283934.1
MHP7448_RS00780 WP_228366125.1
MHP7448_RS00785 WP_011290034.1
MHP7448_RS00790 WP_020835579.1
MHP7448_RS00795 WP_020835580.1
MHP7448_RS00800 WP_044272340.1
MHP7448_RS00805 WP_011206076.1
MHP7448_RS00810 WP_225973015.1
MHP7448_RS00820 WP_044272343.1
MHP7448_RS00825 WP_011290039.1
MHP7448_RS00830 WP_011206072.1
MHP7448_RS00835 WP_011206071.1
MHP7448_RS00840 WP_020835584.1
MHP7448_RS03850 WP_011206069.1
MHP7448_RS00850 WP_020835585.1
MHP7448_RS00855 WP_011290043.1
MHP7448_RS00860 WP_011290044.1
MHP7448_RS00865 WP_011206065.1
MHP7448_RS00870 WP_011290045.1
MHP7448_RS00875 WP_011206063.1
MHP7448_RS00880 WP_011290046.1
MHP7448_RS00885 WP_011206061.1
MHP7448_RS00890 WP_041361583.1
MHP7448_RS00895 WP_011290048.1
MHP7448_RS00900 WP_011283955.1
MHP7448_RS03660 WP_228366126.1
MHP7448_RS00910 WP_225973017.1
MHP7448_RS00915 WP_011290050.1
MHP7448_RS00920 WP_011206054.1
MHP7448_RS00925 WP_044272348.1
MHP7448_RS00930 WP_011206052.1
MHP7448_RS00935 WP_011290053.1
MHP7448_RS00940 WP_011290054.1
MHP7448_RS00945 WP_011206049.1
MHP7448_RS00950 WP_011206048.1
MHP7448_RS00955 WP_011283963.1
MHP7448_RS00960 WP_011206047.1
MHP7448_RS00965 WP_011290055.1
MHP7448_RS00970 WP_011290056.1
MHP7448_RS00975 WP_011206044.1
MHP7448_RS00980 WP_044272353.1
MHP7448_RS00985 WP_011290058.1
MHP7448_RS00990 WP_011206041.1
MHP7448_RS00995 WP_011290060.1
MHP7448_RS01000 WP_011206039.1
MHP7448_RS01005 WP_011206038.1
MHP7448_RS01010 WP_041361589.1
MHP7448_RS01015 WP_011290062.1
MHP7448_RS01020 WP_011206035.1
MHP7448_RS01025 WP_014579611.1
MHP7448_RS01030 WP_020835596.1
MHP7448_RS01035 WP_011206032.1
MHP7448_RS01040 WP_011290064.1
MHP7448_RS04115 WP_041361593.1
MHP7448_RS01050 WP_011206028.1
MHP7448_RS01055 WP_011206027.1
MHP7448_RS01060 WP_011290066.1
MHP7448_RS01065 WP_011206025.1
MHP7448_RS01070 WP_011290067.1
MHP7448_RS01075 WP_014579601.1
MHP7448_RS01080 WP_011290068.1
MHP7448_RS01085 WP_011290069.1
MHP7448_RS01090 WP_011290070.1
MHP7448_RS01095 WP_011290071.1
MHP7448_RS01100 WP_044272360.1
MHP7448_RS01105 WP_011206016.1
MHP7448_RS01110 WP_011290073.1
MHP7448_RS01115 WP_011290074.1
MHP7448_RS01120 WP_020835607.1
MHP7448_RS01125 WP_020835608.1
MHP7448_RS01130 WP_011290076.1
MHP7448_RS01135 WP_011290077.1
MHP7448_RS01140 WP_011290078.1
MHP7448_RS01145 WP_011283989.1
MHP7448_RS01150 WP_044272366.1
MHP7448_RS01160 WP_011283991.1
MHP7448_RS01165 WP_011206005.1
MHP7448_RS01170 WP_044272370.1
MHP7448_RS01175 WP_044272373.1
MHP7448_RS01180 WP_044272375.1
MHP7448_RS01185 WP_044272377.1
MHP7448_RS01190 WP_011290084.1
MHP7448_RS01195 WP_228366127.1
MHP7448_RS01205 WP_044272382.1
MHP7448_RS01210 WP_011283999.1
MHP7448_RS01215 WP_081420839.1
MHP7448_RS03855 WP_158209054.1
MHP7448_RS01225 WP_011284103.1
MHP7448_RS01230 WP_011290088.1
MHP7448_RS01235 WP_011290089.1
MHP7448_RS01240 WP_011290090.1
MHP7448_RS01245 WP_020835624.1
MHP7448_RS01250 WP_044272385.1
MHP7448_RS01255 WP_011290093.1
MHP7448_RS01260 WP_011205986.1
MHP7448_RS01265 WP_228366128.1
MHP7448_RS03955 WP_228366129.1
MHP7448_RS01275 WP_011205983.1
MHP7448_RS01280 WP_011290097.1
MHP7448_RS01285 WP_011284103.1
MHP7448_RS01290 WP_011290098.1
MHP7448_RS01295 WP_228366130.1
MHP7448_RS01300 WP_187145661.1
MHP7448_RS03960 WP_041361605.1
MHP7448_RS01310 WP_011290102.1
MHP7448_RS01315 WP_011290103.1
MHP7448_RS01320 WP_044272388.1
MHP7448_RS01325 WP_011284018.1
MHP7448_RS01330 WP_011205973.1
MHP7448_RS01335 WP_044272391.1
MHP7448_RS01340 WP_020835635.1
MHP7448_RS01345 WP_011290107.1
MHP7448_RS01350 WP_011205969.1
MHP7448_RS01355 WP_011290108.1
MHP7448_RS01360 WP_011290109.1
MHP7448_RS01365 WP_020835639.1
MHP7448_RS01370 WP_011205965.1
MHP7448_RS01375 WP_011284027.1
MHP7448_RS01380 WP_044272393.1
MHP7448_RS01385 WP_011205962.1
MHP7448_RS01390 WP_044272395.1
MHP7448_RS01395 WP_011205960.1
MHP7448_RS01400 WP_011290114.1
MHP7448_RS01405 WP_044272399.1
MHP7448_RS01410 WP_044272699.1
MHP7448_RS01415 WP_011205956.1
MHP7448_RS01420 WP_011290117.1
MHP7448_RS01425 WP_011205954.1
MHP7448_RS01430 WP_011290118.1
MHP7448_RS01435 WP_011205952.1
MHP7448_RS01440 WP_020835646.1
MHP7448_RS01445 WP_011290120.1
MHP7448_RS01450 WP_044272402.1
MHP7448_RS01455 WP_011290122.1
MHP7448_RS01460 WP_269076322.1
MHP7448_RS01465 WP_044272405.1
MHP7448_RS01470 WP_044272408.1
MHP7448_RS01475 WP_014579732.1
MHP7448_RS01480 WP_011290126.1
MHP7448_RS01485 WP_011284046.1
MHP7448_RS01515 WP_011284047.1
MHP7448_RS01520 WP_014579735.1
MHP7448_RS01525 WP_011290127.1
MHP7448_RS01530 WP_044272410.1
MHP7448_RS01535 WP_011290129.1
MHP7448_RS01540 WP_020835656.1
MHP7448_RS01545 WP_011290131.1
MHP7448_RS01550 WP_020835657.1
MHP7448_RS01555 WP_011284055.1
MHP7448_RS01560 WP_011284056.1
MHP7448_RS01565 WP_011205932.1
MHP7448_RS01570 WP_011205931.1
MHP7448_RS03965 WP_135618763.1
MHP7448_RS01580 WP_044272413.1
MHP7448_RS01585 WP_041361748.1
MHP7448_RS01590 WP_044272416.1
MHP7448_RS01595 WP_011290135.1
MHP7448_RS03970 WP_081420841.1
MHP7448_RS03725 WP_081420842.1
MHP7448_RS01610 WP_011290136.1
MHP7448_RS01615 WP_011206141.1
MHP7448_RS01620 WP_011290137.1
MHP7448_RS01625 WP_011290138.1
MHP7448_RS01635 WP_011290139.1
MHP7448_RS01640 WP_020835667.1
MHP7448_RS01645 WP_011290141.1
MHP7448_RS01650 WP_041361615.1
MHP7448_RS01660 WP_148174328.1
MHP7448_RS01665 WP_044272707.1
MHP7448_RS01670 WP_011290144.1
MHP7448_RS01675 WP_011290145.1
MHP7448_RS03735 WP_011290145.1
MHP7448_RS01680 WP_011290146.1
MHP7448_RS01685 WP_011290147.1
MHP7448_RS01690 WP_228366131.1
MHP7448_RS04120 WP_225973034.1
MHP7448_RS01695 WP_044272427.1
MHP7448_RS01700 WP_011290150.1
MHP7448_RS01705 WP_011290151.1
MHP7448_RS01710 WP_020835676.1
MHP7448_RS01715 WP_011290153.1
MHP7448_RS01720 WP_044272430.1
MHP7448_RS01725 WP_011290155.1
MHP7448_RS01730 WP_011290156.1
MHP7448_RS01735 WP_044272432.1
MHP7448_RS01740 WP_081420845.1
MHP7448_RS01745 WP_020835682.1
MHP7448_RS01750 WP_044272436.1
MHP7448_RS01755 WP_020835684.1
MHP7448_RS01760 WP_044272437.1
MHP7448_RS01765 WP_041361626.1
MHP7448_RS01770 WP_041361626.1
MHP7448_RS01775 WP_011290162.1
MHP7448_RS01780 WP_011290162.1
MHP7448_RS01785 WP_044272440.1
MHP7448_RS04125 WP_041361759.1
MHP7448_RS01795 WP_020835689.1
MHP7448_RS01800 WP_020835690.1
MHP7448_RS01805 WP_011290167.1
MHP7448_RS01815 WP_020835692.1
MHP7448_RS04130 WP_308704619.1
MHP7448_RS04075 WP_041361634.1
MHP7448_RS01825 WP_044272443.1
MHP7448_RS01830 WP_044272444.1
MHP7448_RS01835 WP_011290172.1
MHP7448_RS01840 WP_020835695.1
MHP7448_RS01845 WP_011284100.1
MHP7448_RS01850 WP_020835696.1
MHP7448_RS03865 WP_187145663.1
MHP7448_RS01860 WP_011290175.1
MHP7448_RS01865 WP_228366133.1
MHP7448_RS03985 WP_228366134.1
MHP7448_RS03870 WP_052269171.1
MHP7448_RS03875 WP_187145664.1
MHP7448_RS01885 WP_011290178.1
MHP7448_RS01890 WP_228366135.1
MHP7448_RS01895 WP_011290180.1
MHP7448_RS03880 WP_179221115.1
MHP7448_RS01900 WP_011290181.1
MHP7448_RS03820 WP_143826160.1
MHP7448_RS04085 WP_258555257.1
MHP7448_RS01905 WP_044272453.1
MHP7448_RS01910 WP_044272456.1
MHP7448_RS03890 WP_160585604.1
MHP7448_RS01925 WP_020835708.1
MHP7448_RS01935 WP_014579804.1
MHP7448_RS01940 WP_011206196.1
MHP7448_RS01945 WP_011290187.1
MHP7448_RS01950 WP_044272458.1
MHP7448_RS01955 WP_011290189.1
MHP7448_RS01960 WP_011206200.1
MHP7448_RS01965 WP_044272461.1
MHP7448_RS01970 WP_011290191.1
MHP7448_RS01975 WP_011290192.1
MHP7448_RS01980 WP_011290193.1
MHP7448_RS01985 WP_011290194.1
MHP7448_RS01990 WP_011290195.1
MHP7448_RS01995 WP_011206207.1
MHP7448_RS02000 WP_044272464.1
MHP7448_RS02005 WP_011290197.1
MHP7448_RS02010 WP_228366136.1
MHP7448_RS02015 WP_014579818.1
MHP7448_RS02020 WP_228366137.1
MHP7448_RS02025 WP_044272470.1
MHP7448_RS02030 WP_011290200.1
MHP7448_RS02035 WP_011290201.1
MHP7448_RS02040 WP_014579823.1
MHP7448_RS02045 WP_011290203.1
MHP7448_RS03895 WP_011206218.1
MHP7448_RS02050 WP_011290204.1
MHP7448_RS02055 WP_044272715.1
MHP7448_RS02060 WP_011290206.1
MHP7448_RS02065 WP_011284142.1
MHP7448_RS02070 WP_011206223.1
MHP7448_RS02075 WP_011206224.1
MHP7448_RS02080 WP_011290207.1
MHP7448_RS02085 WP_044272474.1
MHP7448_RS02090 WP_011206227.1
MHP7448_RS02095 WP_044272477.1
MHP7448_RS02100 WP_044272480.1
MHP7448_RS02105 WP_011290211.1
MHP7448_RS02110 WP_011290212.1
MHP7448_RS02115 WP_011290213.1
MHP7448_RS03990 WP_044272483.1
MHP7448_RS02135 WP_228366139.1
MHP7448_RS03900 WP_011206235.1
MHP7448_RS03995 WP_020835748.1
MHP7448_RS02145 WP_011290214.1
MHP7448_RS02150 WP_011206239.1
MHP7448_RS02155 WP_011284163.1
MHP7448_RS02160 WP_044272490.1
MHP7448_RS02165 WP_011290216.1
MHP7448_RS02170 WP_044272492.1
MHP7448_RS02175 WP_011290218.1
MHP7448_RS02180 WP_011290219.1
MHP7448_RS02185 WP_011284169.1
MHP7448_RS02190 WP_011206247.1
MHP7448_RS02195 WP_020835754.1
MHP7448_RS02200 WP_011290222.1
MHP7448_RS02205 WP_020835755.1
MHP7448_RS02210 WP_020835756.1
MHP7448_RS02215 WP_011290225.1
MHP7448_RS02220 WP_011290226.1
MHP7448_RS02225 WP_011206256.1
MHP7448_RS02230 WP_044272496.1
MHP7448_RS02235 WP_011290228.1
MHP7448_RS02240 WP_011290229.1
MHP7448_RS02245 WP_148174330.1
MHP7448_RS03825 WP_052269173.1
MHP7448_RS02255 WP_225972978.1
MHP7448_RS04000 WP_228366093.1
MHP7448_RS04005 WP_228366094.1
MHP7448_RS03905 WP_187145657.1
MHP7448_RS04010 WP_228366095.1
MHP7448_RS02270 WP_011290233.1
MHP7448_RS02275 WP_044272499.1
MHP7448_RS04015 WP_228366096.1
MHP7448_RS02280 WP_228366097.1
MHP7448_RS02285 WP_014579686.1
MHP7448_RS02290 WP_020835556.1
MHP7448_RS02300 WP_014579683.1
MHP7448_RS02305 WP_011290237.1
