Orthogroup	MHP_J_genes	MHP_MHP691_genes
OG0000000	MHJ_RS03645	DR087_RS03480, DR087_RS03475
OG0000000	MHJ_RS01670	DR087_RS03570
OG0000001	MHJ_RS01255	DR087_RS03325
OG0000001	MHJ_RS01250	DR087_RS03335
OG0000001	MHJ_RS02765	DR087_RS04015
OG0000001	MHJ_RS03940	DR087_RS04300
OG0000001	MHJ_RS02710	DR087_RS03255
OG0000002	MHJ_RS03585	DR087_RS03810
OG0000002	MHJ_RS02080	DR087_RS04740
OG0000002	MHJ_RS01675	DR087_RS04755
OG0000003	MHJ_RS00485	DR087_RS01665
OG0000003	MHJ_RS03880	DR087_RS04345
OG0000003	MHJ_RS03890	DR087_RS04750
OG0000004	MHJ_RS03175	DR087_RS00850
OG0000004	MHJ_RS03165	DR087_RS00860
OG0000004	MHJ_RS03190	DR087_RS00840
OG0000005	MHJ_RS00090	DR087_RS00530
OG0000005	MHJ_RS00095	DR087_RS00540
OG0000005	MHJ_RS00100	DR087_RS04465
OG0000007	MHJ_RS02140	DR087_RS03535
OG0000007	MHJ_RS02135	DR087_RS03530
OG0000007	MHJ_RS02130	DR087_RS03525
OG0000008	MHJ_RS03925	DR087_RS04355
OG0000010	MHJ_RS01805	DR087_RS01605
OG0000010	MHJ_RS00085	DR087_RS03875
OG0000011	MHJ_RS04005	DR087_RS04590
OG0000011	MHJ_RS01895	DR087_RS01515
OG0000012	MHJ_RS01775	DR087_RS03620
OG0000012	MHJ_RS02990	DR087_RS03740
OG0000013	MHJ_RS02355	DR087_RS01680
OG0000013	MHJ_RS03825	DR087_RS04185
OG0000014	MHJ_RS00590	DR087_RS03520
OG0000015	MHJ_RS03980	DR087_RS04110
OG0000016	MHJ_RS02810	DR087_RS01400
OG0000016	MHJ_RS00145	DR087_RS02395
OG0000017	MHJ_RS00130	DR087_RS02410
OG0000017	MHJ_RS02820	DR087_RS01410
OG0000018	MHJ_RS01295	DR087_RS04550, DR087_RS04435
OG0000020	MHJ_RS03515	DR087_RS04440
OG0000020	MHJ_RS03995	DR087_RS04445
OG0000021	MHJ_RS00495	DR087_RS03470
OG0000022	MHJ_RS01610	DR087_RS02045
OG0000022	MHJ_RS01660	DR087_RS04630
OG0000024	MHJ_RS02705	DR087_RS03250
OG0000025	MHJ_RS01615	DR087_RS04625
OG0000025	MHJ_RS01655	DR087_RS02095
OG0000026	MHJ_RS01335	DR087_RS01165
OG0000026	MHJ_RS01635	DR087_RS02075
OG0000027	MHJ_RS03750	DR087_RS04635
OG0000027	MHJ_RS03330	DR087_RS04475
OG0000029	MHJ_RS01055	DR087_RS02775
OG0000029	MHJ_RS00595	DR087_RS03175
OG0000030	MHJ_RS03310	DR087_RS04640
OG0000030	MHJ_RS03325	DR087_RS04470
OG0000031	MHJ_RS01560	DR087_RS03210
OG0000032	MHJ_RS03320	DR087_RS00575
OG0000035	MHJ_RS03170, MHJ_RS03185	DR087_RS00855
OG0000035	MHJ_RS03160	DR087_RS00865
OG0000036	MHJ_RS00105	DR087_RS00550
OG0000039	MHJ_RS01575	DR087_RS03190, DR087_RS03195
OG0000040	MHJ_RS03260	DR087_RS02165
OG0000041	MHJ_RS00655	DR087_RS03625
OG0000042	MHJ_RS02920	DR087_RS03360
OG0000043	MHJ_RS01865	DR087_RS01545
OG0000044	MHJ_RS04020	DR087_RS04800
OG0000045	MHJ_RS01580	DR087_RS03185
OG0000046	MHJ_RS03265	DR087_RS04655
OG0000048	MHJ_RS02050	DR087_RS00140
OG0000049	MHJ_RS03025, MHJ_RS03010	DR087_RS01000
OG0000050	MHJ_RS02400	DR087_RS02450
OG0000051	MHJ_RS02615	DR087_RS01275
OG0000052	MHJ_RS00075	DR087_RS00505
OG0000053	MHJ_RS01420	DR087_RS04540
OG0000054	MHJ_RS02425	DR087_RS02475
OG0000055	MHJ_RS00110	DR087_RS00555
OG0000056	MHJ_RS03500	DR087_RS00765
OG0000057	MHJ_RS02900	DR087_RS01485
OG0000061	MHJ_RS01540	DR087_RS01595
OG0000062	MHJ_RS03545	DR087_RS00395
OG0000063	MHJ_RS03540	DR087_RS04450
OG0000064	MHJ_RS03530	DR087_RS00380
OG0000065	MHJ_RS02200	DR087_RS00215
OG0000066	MHJ_RS01325	DR087_RS01175
OG0000067	MHJ_RS00510	DR087_RS03450
OG0000068	MHJ_RS00630	DR087_RS03140
OG0000069	MHJ_RS02785	DR087_RS01375
OG0000070	MHJ_RS02430	DR087_RS02480
OG0000071	MHJ_RS03250	DR087_RS00780
OG0000072	MHJ_RS03255	DR087_RS02175
