Orthogroup	MHP_MHP696_genes	MHP_KM014_genes
OG0000000	DR090_RS03595	CIB43_RS03015
OG0000000	DR090_RS04280	CIB43_RS03040
OG0000000	DR090_RS04125	CIB43_RS02595, CIB43_RS02600
OG0000001	DR090_RS01575	CIB43_RS03715
OG0000001	DR090_RS03950, DR090_RS03945	CIB43_RS03670
OG0000002	DR090_RS04315	CIB43_RS03100
OG0000002	DR090_RS03425	CIB43_RS02610
OG0000003	DR090_RS03665	CIB43_RS02725
OG0000005	DR090_RS03620	CIB43_RS00810
OG0000005	DR090_RS04590	CIB43_RS00830
OG0000006	DR090_RS04160	CIB43_RS03435
OG0000006	DR090_RS03705, DR090_RS04155	CIB43_RS03420
OG0000007	DR090_RS03340	CIB43_RS03095
OG0000007	DR090_RS03345	CIB43_RS03080
OG0000007	DR090_RS03360	CIB43_RS03075
OG0000009	DR090_RS01340	CIB43_RS00790
OG0000009	DR090_RS00150	CIB43_RS01550
OG0000010	DR090_RS00915	CIB43_RS02735
OG0000010	DR090_RS03520, DR090_RS03650	CIB43_RS00795
OG0000011	DR090_RS01025	CIB43_RS02850
OG0000014	DR090_RS00220	CIB43_RS01955
OG0000015	DR090_RS03270	CIB43_RS01235, CIB43_RS00010, CIB43_RS01220
OG0000016	DR090_RS01615	CIB43_RS03755
OG0000017	DR090_RS00805	CIB43_RS00855
OG0000017	DR090_RS01625	CIB43_RS03765
OG0000018	DR090_RS04560	CIB43_RS02195, CIB43_RS01250, CIB43_RS01185
OG0000019	DR090_RS04270	CIB43_RS00115
OG0000020	DR090_RS04410	CIB43_RS00635
OG0000021	DR090_RS00825	CIB43_RS01400, CIB43_RS02635
OG0000022	DR090_RS04550	CIB43_RS02590
OG0000023	DR090_RS02440	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195
OG0000024	DR090_RS00410	CIB43_RS02140
OG0000025	DR090_RS02365	CIB43_RS02585
OG0000026	DR090_RS02385	CIB43_RS02565
OG0000027	DR090_RS04520	CIB43_RS00440
OG0000028	DR090_RS03280	CIB43_RS03320, CIB43_RS03335
OG0000028	DR090_RS04565	CIB43_RS03325
OG0000030	DR090_RS04515	CIB43_RS00435
OG0000031	DR090_RS03235	CIB43_RS01295, CIB43_RS00065
OG0000035	DR090_RS03430	CIB43_RS00280
OG0000035	DR090_RS02220	CIB43_RS00270
OG0000036	DR090_RS03080	CIB43_RS00815
OG0000038	DR090_RS00450	CIB43_RS02625
OG0000039	DR090_RS03220	CIB43_RS02500
OG0000041	DR090_RS03745	CIB43_RS03980
OG0000042	DR090_RS04585	CIB43_RS03855
OG0000043	DR090_RS00990	CIB43_RS02825
OG0000043	DR090_RS00990	CIB43_RS00070
OG0000044	DR090_RS00855	CIB43_RS02665
OG0000045	DR090_RS03215	CIB43_RS02520
OG0000048	DR090_RS02935	CIB43_RS02995
OG0000049	DR090_RS02075	CIB43_RS00150
OG0000051	DR090_RS01435	CIB43_RS03575
OG0000052	DR090_RS01330	CIB43_RS00775
OG0000053	DR090_RS04575	CIB43_RS02315
OG0000054	DR090_RS02605	CIB43_RS03395
