Orthogroup	MFC_Ms42_genes	MHP_UFV02_genes
OG0000000	MYF_RS01330	FEF31_RS01935
OG0000000	MYF_RS03215	FEF31_RS01865
OG0000000	MYF_RS01870, MYF_RS03435	FEF31_RS04515
OG0000000	MYF_RS03295	FEF31_RS01385
OG0000001	MYF_RS03415	FEF31_RS00940, FEF31_RS00935, FEF31_RS02540, FEF31_RS02495, FEF31_RS02490
OG0000002	MYF_RS01530	FEF31_RS01945, FEF31_RS01940
OG0000002	MYF_RS01475	FEF31_RS04505
OG0000002	MYF_RS03010	FEF31_RS04455
OG0000003	MYF_RS01515	FEF31_RS04510
OG0000007	MYF_RS01510	FEF31_RS01925
OG0000007	MYF_RS01505	FEF31_RS01915
OG0000007	MYF_RS01500	FEF31_RS01910
OG0000008	MYF_RS01875	FEF31_RS01300
OG0000011	MYF_RS03310	FEF31_RS01695
OG0000011	MYF_RS01270	FEF31_RS01690
OG0000013	MYF_RS03170, MYF_RS01100	FEF31_RS02135
OG0000013	MYF_RS03400	FEF31_RS03455
OG0000014	MYF_RS00550	FEF31_RS00255, FEF31_RS00745, FEF31_RS04375
OG0000015	MYF_RS03470	FEF31_RS01395
OG0000016	MYF_RS00730	FEF31_RS02580
OG0000017	MYF_RS03155	FEF31_RS03425
OG0000017	MYF_RS00720	FEF31_RS02590
OG0000019	MYF_RS03445	FEF31_RS04805
OG0000020	MYF_RS03080	FEF31_RS03220
OG0000020	MYF_RS03085	FEF31_RS04270
OG0000022	MYF_RS03025	FEF31_RS04450
OG0000024	MYF_RS00790	FEF31_RS02485, FEF31_RS00930
OG0000025	MYF_RS03030	FEF31_RS01370
OG0000026	MYF_RS01715	FEF31_RS01025, FEF31_RS01350
OG0000027	MYF_RS02825	FEF31_RS04605
OG0000028	MYF_RS01125, MYF_RS01120	FEF31_RS02145, FEF31_RS04525
OG0000029	MYF_RS00555	FEF31_RS00735, FEF31_RS00270
OG0000030	MYF_RS02820	FEF31_RS04590, FEF31_RS04600
OG0000031	MYF_RS01215	FEF31_RS01450
OG0000032	MYF_RS02815	FEF31_RS03020
OG0000039	MYF_RS03160, MYF_RS00615	FEF31_RS01275
OG0000040	MYF_RS02770, MYF_RS00840	FEF31_RS03890
OG0000042	MYF_RS00610, MYF_RS00765	FEF31_RS02675
OG0000043	MYF_RS01240	FEF31_RS01455
OG0000045	MYF_RS00630	FEF31_RS01280, FEF31_RS01285
OG0000047	MYF_RS03335	FEF31_RS01435
OG0000048	MYF_RS01350	FEF31_RS01845
OG0000049	MYF_RS03265, MYF_RS03455	FEF31_RS03620
OG0000050	MYF_RS01180	FEF31_RS02180
OG0000051	MYF_RS02420	FEF31_RS02395
OG0000052	MYF_RS00075	FEF31_RS03360
OG0000053	MYF_RS01800	FEF31_RS04425
OG0000054	MYF_RS01155	FEF31_RS02205
OG0000055	MYF_RS03395, MYF_RS03525	FEF31_RS03405
OG0000056	MYF_RS03060	FEF31_RS03205
OG0000057	MYF_RS00645	FEF31_RS02660
OG0000062	MYF_RS03115	FEF31_RS03250
OG0000063	MYF_RS03110	FEF31_RS04645
OG0000064	MYF_RS03100	FEF31_RS03235
OG0000065	MYF_RS01575	FEF31_RS01990
OG0000066	MYF_RS01705	FEF31_RS01015
OG0000068	MYF_RS00590	FEF31_RS00305
OG0000069	MYF_RS00755	FEF31_RS02555
OG0000070	MYF_RS01135	FEF31_RS02210
OG0000071	MYF_RS02760	FEF31_RS03835
OG0000072	MYF_RS02765	FEF31_RS04700
OG0000073	MYF_RS02005	FEF31_RS00360
OG0000074	MYF_RS02195	FEF31_RS04395
OG0000075	MYF_RS00305	FEF31_RS00005
OG0000076	MYF_RS00320	FEF31_RS00020
OG0000077	MYF_RS00410	FEF31_RS00105
OG0000079	MYF_RS01050	FEF31_RS02300
OG0000080	MYF_RS01000, MYF_RS03365	FEF31_RS02345
OG0000081	MYF_RS00300	FEF31_RS03610
OG0000082	MYF_RS01110	FEF31_RS02130
OG0000083	MYF_RS01430	FEF31_RS01765
OG0000084	MYF_RS01400	FEF31_RS01795
OG0000085	MYF_RS01395	FEF31_RS01800
OG0000086	MYF_RS01385	FEF31_RS01810
OG0000087	MYF_RS01370	FEF31_RS01825
OG0000088	MYF_RS01365	FEF31_RS01830
OG0000089	MYF_RS01355	FEF31_RS01840
OG0000090	MYF_RS00070	FEF31_RS03355
OG0000091	MYF_RS00055	FEF31_RS03340
OG0000092	MYF_RS00040	FEF31_RS03325
OG0000093	MYF_RS00035	FEF31_RS03320
OG0000094	MYF_RS00030	FEF31_RS03315
OG0000095	MYF_RS00005	FEF31_RS03290
OG0000096	MYF_RS03150	FEF31_RS03285
OG0000097	MYF_RS03130	FEF31_RS03265
OG0000098	MYF_RS03120	FEF31_RS03255
OG0000099	MYF_RS03065	FEF31_RS04640
OG0000100	MYF_RS03050	FEF31_RS03195
OG0000101	MYF_RS03045	FEF31_RS03190
OG0000102	MYF_RS03035	FEF31_RS01365
OG0000103	MYF_RS01540	FEF31_RS01955
OG0000104	MYF_RS01545	FEF31_RS01960
OG0000105	MYF_RS01560	FEF31_RS01975
OG0000106	MYF_RS01570	FEF31_RS01985
OG0000107	MYF_RS01580	FEF31_RS01995
OG0000108	MYF_RS01585	FEF31_RS02000
OG0000109	MYF_RS01590	FEF31_RS02005
OG0000110	MYF_RS01595	FEF31_RS02120
OG0000111	MYF_RS01600	FEF31_RS02115
OG0000112	MYF_RS01610	FEF31_RS02105
OG0000113	MYF_RS01625	FEF31_RS02085
OG0000114	MYF_RS01635	FEF31_RS02075
