#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP022714.1:348254-349045|+ -            264 1679at2085           -            265   8.7e-79  260.2  12.7   1   1   1.1e-80   9.5e-79  260.1  12.7    12   256     1   255     1   263 0.90 NZ_CP022714.1_318 # 348254 # 349045 # 1 # ID=1_318;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.269
NZ_CP022714.1:284332-285633|+ -            434 1679at2085           -            265   3.7e-23   77.8  12.9   1   3     2e-11   1.8e-09   33.0   0.2   123   177     6    64     1    77 0.80 NZ_CP022714.1_261 # 284332 # 285633 # 1 # ID=1_261;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.292
NZ_CP022714.1:284332-285633|+ -            434 1679at2085           -            265   3.7e-23   77.8  12.9   2   3   1.1e-12     1e-10   37.1   0.9    22   173    78   228    71   239 0.76 NZ_CP022714.1_261 # 284332 # 285633 # 1 # ID=1_261;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.292
NZ_CP022714.1:284332-285633|+ -            434 1679at2085           -            265   3.7e-23   77.8  12.9   3   3   8.9e-06   0.00081   14.4   1.1    24   139   251   380   245   386 0.62 NZ_CP022714.1_261 # 284332 # 285633 # 1 # ID=1_261;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.292
NZ_CP022714.1:801420-802016|- -            199 1679at2085           -            265   3.1e-13   45.3   5.6   1   2     1e-12   9.2e-11   37.2   0.1   123   172    41    91    31   105 0.90 NZ_CP022714.1_760 # 801420 # 802016 # -1 # ID=1_760;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_CP022714.1:801420-802016|- -            199 1679at2085           -            265   3.1e-13   45.3   5.6   2   2   0.00024     0.021    9.8   2.0    25    97   118   195   107   198 0.78 NZ_CP022714.1_760 # 801420 # 802016 # -1 # ID=1_760;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_CP022714.1:469353-470681|- -            443 1679at2085           -            265   1.5e-12   43.1  15.8   1   3       1.3   1.2e+02   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_CP022714.1_455 # 469353 # 470681 # -1 # ID=1_455;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
NZ_CP022714.1:469353-470681|- -            443 1679at2085           -            265   1.5e-12   43.1  15.8   2   3   1.3e-13   1.2e-11   40.2   0.3    97   174   194   275   184   289 0.78 NZ_CP022714.1_455 # 469353 # 470681 # -1 # ID=1_455;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
NZ_CP022714.1:469353-470681|- -            443 1679at2085           -            265   1.5e-12   43.1  15.8   3   3   0.00026     0.023    9.7   6.0    21   104   291   366   281   386 0.71 NZ_CP022714.1_455 # 469353 # 470681 # -1 # ID=1_455;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
NZ_CP022714.1:425972-426853|- -            294 1679at2085           -            265   2.1e-10   36.0   9.5   1   2   2.6e-11   2.4e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_CP022714.1_397 # 425972 # 426853 # -1 # ID=1_397;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_CP022714.1:425972-426853|- -            294 1679at2085           -            265   2.1e-10   36.0   9.5   2   2    0.0019      0.17    6.8   4.0    47   103   108   169    77   190 0.77 NZ_CP022714.1_397 # 425972 # 426853 # -1 # ID=1_397;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_CP022714.1:583727-584008|- -             94 1679at2085           -            265   2.7e-06   22.6   0.1   1   1   3.2e-08   2.9e-06   22.5   0.1   119   156     2    38     1    63 0.87 NZ_CP022714.1_559 # 583727 # 584008 # -1 # ID=1_559;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.330
NZ_CP022714.1:246932-247615|+ -            228 1679at2085           -            265   2.9e-05   19.2   0.1   1   1   4.4e-07     4e-05   18.7   0.1   123   173   160   213   143   219 0.75 NZ_CP022714.1_219 # 246932 # 247615 # 1 # ID=1_219;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.360
NZ_CP022714.1:216586-216798|- -             71 1679at2085           -            265   4.1e-05   18.7   1.3   1   1   5.1e-07   4.6e-05   18.5   1.3    94   141     2    49     1    57 0.80 NZ_CP022714.1_190 # 216586 # 216798 # -1 # ID=1_190;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.244
NZ_CP022714.1:222282-222494|- -             71 1679at2085           -            265   0.00013   17.0   0.2   1   1   1.8e-06   0.00016   16.7   0.2   102   140    10    48     2    56 0.65 NZ_CP022714.1_194 # 222282 # 222494 # -1 # ID=1_194;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.305
NZ_CP022714.1:44607-45296|-   -            230 1679at2085           -            265   0.00019   16.5   3.2   1   2   6.4e-05    0.0058   11.7   0.1   130   172     6    51     1    60 0.79 NZ_CP022714.1_43 # 44607 # 45296 # -1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.377
NZ_CP022714.1:44607-45296|-   -            230 1679at2085           -            265   0.00019   16.5   3.2   2   2    0.0044       0.4    5.6   0.5    23    81    63   123    52   128 0.74 NZ_CP022714.1_43 # 44607 # 45296 # -1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.377
#
# Program:         hmmsearch
