Orthogroup	MHP_112B_genes	MHP_111A_genes
OG0000000	NBX26_RS01015	NB623_RS01020
OG0000000	NBX26_RS01030, NBX26_RS01020	NB623_RS01025
OG0000000	NBX26_RS01035	NB623_RS01030
OG0000000	NBX26_RS02470	NB623_RS02460
OG0000000	NBX26_RS01850	NB623_RS01845, NB623_RS01850
OG0000000	NBX26_RS01860	NB623_RS01865
OG0000001	NBX26_RS01405	NB623_RS01400
OG0000001	NBX26_RS02970	NB623_RS02960
OG0000001	NBX26_RS02925	NB623_RS02915
OG0000001	NBX26_RS02920	NB623_RS02910
OG0000002	NBX26_RS02355	NB623_RS02345
OG0000002	NBX26_RS01895	NB623_RS01905
OG0000002	NBX26_RS01010	NB623_RS01015
OG0000003	NBX26_RS00500	NB623_RS00495
OG0000003	NBX26_RS00510	NB623_RS00505
OG0000003	NBX26_RS00940	NB623_RS00940
OG0000003	NBX26_RS00945	NB623_RS00945
OG0000003	NBX26_RS01045	NB623_RS01040
OG0000003	NBX26_RS01040	NB623_RS01035
OG0000003	NBX26_RS02265	NB623_RS02255
OG0000004	NBX26_RS03380	NB623_RS03360
OG0000004	NBX26_RS03370	NB623_RS03350
OG0000004	NBX26_RS03385	NB623_RS03365
OG0000004	NBX26_RS03185	NB623_RS03170
OG0000004	NBX26_RS03195	NB623_RS03180
OG0000004	NBX26_RS03205	NB623_RS03190
OG0000005	NBX26_RS00105	NB623_RS00105
OG0000005	NBX26_RS00110	NB623_RS00110
OG0000005	NBX26_RS00115	NB623_RS00115
OG0000006	NBX26_RS02660	NB623_RS02650
OG0000006	NBX26_RS02505	NB623_RS02495
OG0000006	NBX26_RS02475	NB623_RS02465
OG0000007	NBX26_RS00950	NB623_RS00955, NB623_RS00950
OG0000007	NBX26_RS01050	NB623_RS01045
OG0000007	NBX26_RS00965	NB623_RS00970
OG0000007	NBX26_RS01055	NB623_RS01050
OG0000007	NBX26_RS01065	NB623_RS01060
OG0000008	NBX26_RS02465	NB623_RS02455
OG0000008	NBX26_RS01765	NB623_RS01760
OG0000008	NBX26_RS02670	NB623_RS02665
OG0000008	NBX26_RS02665	NB623_RS02660
OG0000009	NBX26_RS00665	NB623_RS00660, NB623_RS00665
OG0000009	NBX26_RS00090	NB623_RS00090
OG0000009	NBX26_RS00685	NB623_RS00680
OG0000010	NBX26_RS02250	NB623_RS02245
OG0000011	NBX26_RS02155	NB623_RS02145
OG0000012	NBX26_RS01885	NB623_RS01890
OG0000012	NBX26_RS01715	NB623_RS01710
OG0000012	NBX26_RS01000	NB623_RS01005
OG0000012	NBX26_RS02350	NB623_RS02340
OG0000012	NBX26_RS02235	NB623_RS02230
OG0000013	NBX26_RS02550	NB623_RS02540
OG0000014	NBX26_RS00605	NB623_RS00600
OG0000015	NBX26_RS01755	NB623_RS01750
OG0000015	NBX26_RS01925	NB623_RS01925
OG0000015	NBX26_RS01690	NB623_RS01685
OG0000016	NBX26_RS00160	NB623_RS00160
OG0000017	NBX26_RS00145	NB623_RS00145
OG0000017	NBX26_RS03025	NB623_RS03015
OG0000018	NBX26_RS01445	NB623_RS01440
OG0000018	NBX26_RS01950	NB623_RS01950
OG0000019	NBX26_RS03210	NB623_RS03195
OG0000019	NBX26_RS03200	NB623_RS03185
OG0000019	NBX26_RS03190	NB623_RS03175
OG0000020	NBX26_RS03745	NB623_RS03745
OG0000021	NBX26_RS02335	NB623_RS02325
OG0000022	NBX26_RS01790	NB623_RS01785
OG0000022	NBX26_RS01845	NB623_RS01840
OG0000023	NBX26_RS01440	NB623_RS01435
OG0000023	NBX26_RS01940	NB623_RS01940
OG0000024	NBX26_RS02915	NB623_RS02905
OG0000024	NBX26_RS01400	NB623_RS01395
OG0000025	NBX26_RS01795	NB623_RS01790
OG0000025	NBX26_RS01840	NB623_RS01835
OG0000026	NBX26_RS01490	NB623_RS01480
OG0000026	NBX26_RS01820	NB623_RS01815
OG0000027	NBX26_RS03535	NB623_RS03520
OG0000027	NBX26_RS03555	NB623_RS03535
OG0000028	NBX26_RS02575	NB623_RS02565
OG0000028	NBX26_RS02580	NB623_RS02570
OG0000029	NBX26_RS01225	NB623_RS01215
OG0000029	NBX26_RS00610	NB623_RS00605
OG0000030	NBX26_RS03525	NB623_RS03510
OG0000030	NBX26_RS03550	NB623_RS03530
OG0000031	NBX26_RS01725	NB623_RS01720
OG0000031	NBX26_RS01990	NB623_RS01985
OG0000032	NBX26_RS01700	NB623_RS01690
OG0000032	NBX26_RS03545	NB623_RS03525
OG0000033	NBX26_RS02570	NB623_RS02560
OG0000033	NBX26_RS02555	NB623_RS02545
OG0000033	NBX26_RS02560	NB623_RS02550
OG0000034	NBX26_RS00985	NB623_RS00990
OG0000034	NBX26_RS00975	NB623_RS00980
OG0000035	NBX26_RS03375	NB623_RS03355
OG0000035	NBX26_RS03365	NB623_RS03345
OG0000036	NBX26_RS00120	NB623_RS00120
OG0000037	NBX26_RS01705	NB623_RS01695
OG0000038	NBX26_RS00490	NB623_RS00485
OG0000038	NBX26_RS02340	NB623_RS02330
OG0000039	NBX26_RS01735	NB623_RS01730
OG0000041	NBX26_RS00670	NB623_RS00670
OG0000041	NBX26_RS01320	NB623_RS01315
OG0000042	NBX26_RS03110	NB623_RS03100
OG0000043	NBX26_RS02185	NB623_RS02180
