Orthogroup	MHP_11_genes	MHP_UFV02_genes
OG0000000	B5C39_RS02485	FEF31_RS01935
OG0000000	B5C39_RS03935	FEF31_RS01860
OG0000000	B5C39_RS02595	FEF31_RS02055
OG0000000	B5C39_RS03750	FEF31_RS01380
OG0000001	B5C39_RS01615, B5C39_RS01620	FEF31_RS00940
OG0000001	B5C39_RS03070	FEF31_RS02540
OG0000001	B5C39_RS03865	FEF31_RS02495
OG0000001	B5C39_RS03020	FEF31_RS02490
OG0000002	B5C39_RS03825	FEF31_RS01945
OG0000002	B5C39_RS03650	FEF31_RS01940
OG0000002	B5C39_RS03240	FEF31_RS04455
OG0000003	B5C39_RS03345	FEF31_RS01590
OG0000004	B5C39_RS00380	FEF31_RS03760
OG0000004	B5C39_RS00400	FEF31_RS03775
OG0000005	B5C39_RS00915	FEF31_RS03370
OG0000005	B5C39_RS00935	FEF31_RS04665
OG0000005	B5C39_RS00920	FEF31_RS04660
OG0000005	B5C39_RS00925	FEF31_RS03380
OG0000005	B5C39_RS00940	FEF31_RS04670
OG0000006	B5C39_RS03845	FEF31_RS02230
OG0000006	B5C39_RS02640	FEF31_RS02090
OG0000008	B5C39_RS03740, B5C39_RS03830	FEF31_RS02050
OG0000008	B5C39_RS03850	FEF31_RS02250
OG0000009	B5C39_RS03820	FEF31_RS00845
OG0000009	B5C39_RS02225	FEF31_RS00335
OG0000010	B5C39_RS03350	FEF31_RS01600
OG0000010	B5C39_RS01340	FEF31_RS04440
OG0000011	B5C39_RS03455	FEF31_RS01695
OG0000011	B5C39_RS03450	FEF31_RS01690
OG0000012	B5C39_RS01220	FEF31_RS02235
OG0000013	B5C39_RS02685	FEF31_RS02135
OG0000013	B5C39_RS03780	FEF31_RS03455
OG0000014	B5C39_RS02300	FEF31_RS00255
OG0000014	B5C39_RS01820	FEF31_RS00745
OG0000014	B5C39_RS02290	FEF31_RS04375
OG0000016	B5C39_RS00060	FEF31_RS02580
OG0000016	B5C39_RS00985	FEF31_RS03440
OG0000017	B5C39_RS00970	FEF31_RS03425
OG0000017	B5C39_RS00070	FEF31_RS02590
OG0000020	B5C39_RS00735	FEF31_RS03220
OG0000020	B5C39_RS00740	FEF31_RS04270
OG0000021	B5C39_RS03275	FEF31_RS01520
OG0000022	B5C39_RS03170	FEF31_RS01320
OG0000022	B5C39_RS03225	FEF31_RS04450
OG0000024	B5C39_RS03015	FEF31_RS02485
OG0000024	B5C39_RS01625	FEF31_RS00930
