	DR086_RS03915			
	seqID	strand	start	end
DR086_RS03915	IDMHP679	+	906245	906478
seqID	DR086_RS05325			
IDMHP679	seqID	strand	start	end
DR086_RS05325	IDMHP679	+	906479	906712
seqID	DR086_RS03925			
IDMHP679	seqID	strand	start	end
DR086_RS03925	IDMHP679	-	744307	744515
seqID	DR086_RS04735			
IDMHP679	seqID	strand	start	end
DR086_RS04735	IDMHP679	+	906713	906915
seqID	DR086_RS01675			
IDMHP679	seqID	strand	start	end
DR086_RS01675	IDMHP679	+	199030	199663
seqID	DR086_RS01680			
IDMHP679	seqID	strand	start	end
DR086_RS01680	IDMHP679	+	199980	200663
seqID	DR086_RS01685			
IDMHP679	seqID	strand	start	end
DR086_RS01685	IDMHP679	+	200738	203389
seqID	DR086_RS01690			
IDMHP679	seqID	strand	start	end
DR086_RS01690	IDMHP679	+	203365	203796
seqID	DR086_RS01695			
IDMHP679	seqID	strand	start	end
DR086_RS01695	IDMHP679	+	203802	204230
seqID	DR086_RS01700			
IDMHP679	seqID	strand	start	end
DR086_RS01700	IDMHP679	+	204264	204818
seqID	DR086_RS01705			
IDMHP679	seqID	strand	start	end
DR086_RS01705	IDMHP679	+	204796	205689
seqID	DR086_RS01710			
IDMHP679	seqID	strand	start	end
DR086_RS01710	IDMHP679	+	205729	207876
seqID	DR086_RS01715			
IDMHP679	seqID	strand	start	end
DR086_RS01715	IDMHP679	+	207999	209465
seqID	DR086_RS01720			
IDMHP679	seqID	strand	start	end
DR086_RS01720	IDMHP679	+	209467	210297
seqID	DR086_RS01725			
IDMHP679	seqID	strand	start	end
DR086_RS01725	IDMHP679	+	210286	211614
seqID	DR086_RS01730			
IDMHP679	seqID	strand	start	end
DR086_RS01730	IDMHP679	+	211660	213276
seqID	DR086_RS01735			
IDMHP679	seqID	strand	start	end
DR086_RS01735	IDMHP679	+	213451	214503
seqID	DR086_RS01745			
IDMHP679	seqID	strand	start	end
DR086_RS01745	IDMHP679	+	214962	216062
seqID	DR086_RS01750			
IDMHP679	seqID	strand	start	end
DR086_RS01750	IDMHP679	+	216062	217027
seqID	DR086_RS01755			
IDMHP679	seqID	strand	start	end
DR086_RS01755	IDMHP679	+	217029	218441
seqID	DR086_RS01760			
IDMHP679	seqID	strand	start	end
DR086_RS01760	IDMHP679	+	218431	219762
seqID	DR086_RS01765			
IDMHP679	seqID	strand	start	end
DR086_RS01765	IDMHP679	+	219749	225892
seqID	DR086_RS01770			
IDMHP679	seqID	strand	start	end
