Orthogroup	MHP_153B_proteins	MHP_MHP653_proteins
OG0000000	WP_404924195.1	WP_308507050.1
OG0000000	WP_404924194.1	WP_160615959.1
OG0000000	WP_404924193.1	WP_308507049.1
OG0000000	WP_404923932.1, WP_404923933.1	WP_146420414.1
OG0000000	WP_404924157.1	WP_308507040.1
OG0000001	WP_187145661.1	WP_187145661.1
OG0000001	WP_404923999.1	WP_228365393.1
OG0000002	WP_258555377.1	WP_258555957.1
OG0000002	WP_404923948.1	WP_160615875.1
OG0000002	WP_404923934.1	WP_160615955.1
OG0000002	WP_404924158.1	WP_160615941.1
OG0000003	WP_404924160.1, WP_146379482.1	WP_160615980.1, WP_160615982.1
OG0000003	WP_404923944.1	WP_160615810.1
OG0000003	WP_404924172.1	WP_192894277.1
OG0000005	WP_404924061.1	WP_160615846.1
OG0000005	WP_404924063.1	WP_160615840.1
OG0000005	WP_146379451.1	WP_160585747.1
OG0000006	WP_404923960.1	WP_258555930.1
OG0000007	WP_160576975.1	WP_160615812.1
OG0000007	WP_404923946.1	WP_160615973.1
OG0000007	WP_404923943.1	WP_160585819.1
OG0000008	WP_404924196.1	WP_258555965.1
OG0000009	WP_041361519.1	WP_146379448.1
OG0000010	WP_404924175.1	WP_160615540.1, WP_160615836.1, WP_160615844.1
OG0000011	WP_160587900.1	WP_160615550.1
OG0000012	WP_404923974.1, WP_404924104.1	WP_160615643.1
OG0000012	WP_158632000.1	WP_158632000.1
OG0000013	WP_240536333.1	WP_258555933.1
OG0000013	WP_404924067.1	WP_308507024.1
OG0000014	WP_404924106.1	WP_160615935.1
OG0000015	WP_014580032.1, WP_135618763.1, WP_240536643.1	WP_225973030.1
OG0000016	WP_404924002.1	WP_160615653.1
OG0000016	WP_146379459.1	WP_160585547.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_020835635.1	WP_020835635.1
OG0000019	WP_404924016.1, WP_404924015.1	WP_160615599.1
OG0000020	WP_404924053.1	WP_220191323.1
OG0000021	WP_404924162.1	WP_160615961.1
OG0000022	WP_404924149.1	WP_160615764.1
OG0000022	WP_404924156.1	WP_160615774.1
OG0000023	WP_044272391.1	WP_160615712.1
OG0000024	WP_404923993.1	WP_160615698.1
OG0000024	WP_404924124.1	WP_258555929.1
OG0000025	WP_404924150.1	WP_160615766.1
