Orthogroup	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
OG0000709	MFC_RS03325																																											
OG0000710	MFC_RS03460																																											
OG0000711		DR093_RS03210																																										
OG0000712		DR093_RS03205																																										
OG0000713			DR082_RS00925																																									
OG0000714			DR082_RS03075																																									
OG0000715					DR095_RS03190																																							
OG0000716					DR095_RS01255																																							
OG0000717						DR084_RS02980																																						
OG0000718									NB623_RS03680																																			
OG0000719										NBX26_RS00680																																		
OG0000720										NBX26_RS02790																																		
OG0000721														NB627_RS03245																														
OG0000722														NB627_RS00345																														
OG0000723															NB626_RS02585																													
OG0000724															NB626_RS03525																													
OG0000725															NB626_RS03625																													
OG0000726															NB626_RS00885																													
OG0000727																NB625_RS00115																												
OG0000728																		MHP168L_RS03910																										
OG0000729																			MHP168_RS03955																									
OG0000730																			MHP168_RS03860																									
OG0000731																						MHL_RS03970																						
OG0000732																						MHL_RS04035																						
OG0000733																						MHL_RS04105																						
OG0000734																						MHL_RS04085																						
OG0000735																						MHL_RS03915																						
OG0000736																						MHL_RS03955																						
OG0000737																						MHL_RS04160																						
OG0000738																								GOM18_RS00020																				
OG0000739																									HZK19_RS03750																			
OG0000740																									HZK19_RS03890																			
OG0000741																										E5E95_RS04315																		
OG0000742																										E5E95_RS03975																		
OG0000743																												MHJ_RS03660																
OG0000744																													CIB43_RS02020															
OG0000745																													CIB43_RS02770															
OG0000746																													CIB43_RS01325															
OG0000747																													CIB43_RS00900															
OG0000748																													CIB43_RS01720															
OG0000749																													CIB43_RS03240															
OG0000750																													CIB43_RS02550															
OG0000751																													CIB43_RS03995															
OG0000752																														KUD10_RS02470														
OG0000753																														KUD10_RS02485														
OG0000754																														KUD10_RS01850														
OG0000755																															DR083_RS02770													
OG0000756																															DR083_RS04255													
OG0000757																																DR096_RS03770												
OG0000758																																DR096_RS04140												
OG0000759																																	DR086_RS03530											
OG0000760																																	DR086_RS03880											
OG0000761																																	DR086_RS05120											
OG0000762																																	DR086_RS03740											
OG0000763																																	DR086_RS04630											
OG0000764																																	DR086_RS05135											
OG0000765																																	DR086_RS05140											
OG0000766																																	DR086_RS03795											
OG0000767																																	DR086_RS05150											
OG0000768																																	DR086_RS05155											
OG0000769																																	DR086_RS05160											
OG0000770																																	DR086_RS01295											
OG0000771																																	DR086_RS03825											
OG0000772																																	DR086_RS04690											
OG0000773																																	DR086_RS05295											
OG0000774																																	DR086_RS05300											
OG0000775																																	DR086_RS05305											
OG0000776																																	DR086_RS05310											
OG0000777																																	DR086_RS03890											
OG0000778																																	DR086_RS05320											
OG0000779																																	DR086_RS01675											
OG0000780																																		DR097_RS02410										
OG0000781																																			DR087_RS00760									
OG0000782																																			DR087_RS04075									
OG0000783																																			DR087_RS04825									
OG0000784																																				DR099_RS04240								
OG0000785																																					DR090_RS01565							
OG0000786																																							DR088_RS03675					
OG0000787																																								EXC50_RS04165				
OG0000788																																								EXC50_RS04135				
OG0000789																																								EXC50_RS04140				
OG0000790																																								EXC50_RS04170				
OG0000791																																								EXC50_RS04175				
OG0000792																																								EXC50_RS04190				
OG0000793																																								EXC50_RS04215				
OG0000794																																									B5M19_RS03565			
OG0000795																																									B5M19_RS03570			
OG0000796																																									B5M19_RS03785			
OG0000797																																									B5M19_RS03800			
OG0000798																																									B5M19_RS00290			
OG0000799																																									B5M19_RS03645			
OG0000800																																									B5M19_RS03760			
OG0000801																																									B5M19_RS01980			
OG0000802																																									B5M19_RS03925			
OG0000803																																									B5M19_RS03945			
OG0000804																																									B5M19_RS04535			
OG0000805																																									B5M19_RS03600			
OG0000806																																									B5M19_RS03970			
OG0000807																																									B5M19_RS03980			
OG0000808																																									B5M19_RS03985			
OG0000809																																									B5M19_RS04045			
OG0000810																																									B5M19_RS04050			
OG0000811																																									B5M19_RS04100			
OG0000812																																									B5M19_RS04105			
OG0000813																																									B5M19_RS04245			
OG0000814																																									B5M19_RS04615			
OG0000815																																									B5M19_RS04350			
OG0000816																																									B5M19_RS04525			
OG0000817																																									B5M19_RS03950			
OG0000818																																									B5M19_RS03580			
OG0000819																																									B5M19_RS03960			
OG0000820																																									B5M19_RS04530			
OG0000821																																									B5M19_RS03735			
OG0000822																																									B5M19_RS03975			
OG0000823																																									B5M19_RS04555			
OG0000824																																									B5M19_RS03750			
OG0000825																																									B5M19_RS04560			
OG0000826																																									B5M19_RS04565			
OG0000827																																									B5M19_RS03865			
OG0000828																																									B5M19_RS04155			
OG0000829																																									B5M19_RS01325			
OG0000830																																												VQY17_RS00895
OG0000831																																												VQY17_RS03440
OG0000832																																												VQY17_RS00240
OG0000833																																												VQY17_RS00775
OG0000834																																												VQY17_RS01155
OG0000835																																												VQY17_RS01835
