Orthogroup	MHP_116_genes	MFC_Ms42_genes
OG0000000	ABJ972_RS02145	MYF_RS01330
OG0000000	ABJ972_RS02100	MYF_RS03375, MYF_RS03215
OG0000000	ABJ972_RS02095	MYF_RS01460
OG0000000	ABJ972_RS01695	MYF_RS03330, MYF_RS03295
OG0000001	ABJ972_RS01270, ABJ972_RS01265, ABJ972_RS02720, ABJ972_RS02675	MYF_RS03415
OG0000002	ABJ972_RS02150	MYF_RS01530
OG0000002	ABJ972_RS02105	MYF_RS01475
OG0000002	ABJ972_RS01715	MYF_RS03010
OG0000007	ABJ972_RS02135	MYF_RS01510
OG0000007	ABJ972_RS02130	MYF_RS01505
OG0000007	ABJ972_RS02125	MYF_RS01500
OG0000008	ABJ972_RS01615	MYF_RS01875
OG0000011	ABJ972_RS01915	MYF_RS03310
OG0000011	ABJ972_RS01910	MYF_RS01270
OG0000013	ABJ972_RS02350	MYF_RS03170, MYF_RS01100
OG0000013	ABJ972_RS00170	MYF_RS03400
OG0000014	ABJ972_RS00580, ABJ972_RS01075, ABJ972_RS01065	MYF_RS00550
OG0000016	ABJ972_RS02765	MYF_RS00730
OG0000016	ABJ972_RS00155	MYF_RS00130
OG0000017	ABJ972_RS00140	MYF_RS03155
OG0000017	ABJ972_RS02775	MYF_RS00720
OG0000018	ABJ972_RS01310	MYF_RS01675
OG0000019	ABJ972_RS02950	MYF_RS03440
OG0000020	ABJ972_RS03450	MYF_RS03080
OG0000020	ABJ972_RS03455	MYF_RS03085
OG0000022	ABJ972_RS01690	MYF_RS03025
OG0000024	ABJ972_RS02670, ABJ972_RS01260	MYF_RS00790
OG0000025	ABJ972_RS01685	MYF_RS03030
OG0000026	ABJ972_RS01350, ABJ972_RS01665	MYF_RS01715
OG0000029	ABJ972_RS00585, ABJ972_RS01060	MYF_RS00555
OG0000030	ABJ972_RS03245	MYF_RS02820
OG0000031	ABJ972_RS01580	MYF_RS01215
OG0000032	ABJ972_RS01555	MYF_RS03490
OG0000037	ABJ972_RS01560	MYF_RS03495
OG0000039	ABJ972_RS01595	MYF_RS03160, MYF_RS00615
OG0000040	ABJ972_RS03190	MYF_RS02770, MYF_RS00840
OG0000042	ABJ972_RS02860	MYF_RS00610, MYF_RS00765
OG0000043	ABJ972_RS01880	MYF_RS01240
OG0000045	ABJ972_RS01600	MYF_RS00630
OG0000048	ABJ972_RS02065	MYF_RS01350
OG0000049	ABJ972_RS02960	MYF_RS03265, MYF_RS03455
OG0000050	ABJ972_RS02390	MYF_RS01180
OG0000051	ABJ972_RS02590	MYF_RS02420
OG0000052	ABJ972_RS00075	MYF_RS00075
OG0000053	ABJ972_RS01435	MYF_RS01800
OG0000054	ABJ972_RS02415	MYF_RS01155
OG0000055	ABJ972_RS00120	MYF_RS03395, MYF_RS03525
OG0000056	ABJ972_RS03435	MYF_RS03060
OG0000057	ABJ972_RS02845	MYF_RS00645
OG0000062	ABJ972_RS03485, ABJ972_RS03515	MYF_RS03115
OG0000063	ABJ972_RS03510, ABJ972_RS03480	MYF_RS03110
OG0000064	ABJ972_RS03470	MYF_RS03100
OG0000065	ABJ972_RS02200	MYF_RS01575
OG0000066	ABJ972_RS01340	MYF_RS01705
OG0000068	ABJ972_RS01025	MYF_RS00590
OG0000069	ABJ972_RS02740	MYF_RS00755
OG0000070	ABJ972_RS02420	MYF_RS01135
OG0000071	ABJ972_RS03180	MYF_RS02760
OG0000072	ABJ972_RS03185	MYF_RS02765
OG0000073	ABJ972_RS00965	MYF_RS02005
OG0000074	ABJ972_RS00765	MYF_RS02195
OG0000075	ABJ972_RS00325	MYF_RS00305
OG0000076	ABJ972_RS00340	MYF_RS00320
OG0000077	ABJ972_RS00425	MYF_RS00410
OG0000078	ABJ972_RS01655	MYF_RS00880
OG0000079	ABJ972_RS02495	MYF_RS01050
OG0000080	ABJ972_RS02540	MYF_RS01000, MYF_RS03365
OG0000081	ABJ972_RS00320	MYF_RS00300
OG0000082	ABJ972_RS02345	MYF_RS01110
OG0000083	ABJ972_RS01985	MYF_RS01430
OG0000084	ABJ972_RS02015	MYF_RS01400
OG0000085	ABJ972_RS02020	MYF_RS01395
OG0000086	ABJ972_RS02030	MYF_RS01385
OG0000087	ABJ972_RS02045	MYF_RS01370
OG0000088	ABJ972_RS02050	MYF_RS01365
OG0000089	ABJ972_RS02060	MYF_RS01355
OG0000090	ABJ972_RS00070	MYF_RS00070
OG0000091	ABJ972_RS00055	MYF_RS00055
OG0000092	ABJ972_RS00040	MYF_RS00040
OG0000093	ABJ972_RS00035	MYF_RS00035
OG0000094	ABJ972_RS00030	MYF_RS00030
OG0000095	ABJ972_RS00005	MYF_RS00005
OG0000096	ABJ972_RS03550	MYF_RS03150
OG0000097	ABJ972_RS03530	MYF_RS03130
OG0000098	ABJ972_RS03520	MYF_RS03120
OG0000099	ABJ972_RS03440	MYF_RS03065
OG0000100	ABJ972_RS03425	MYF_RS03050
OG0000101	ABJ972_RS03420	MYF_RS03045
OG0000102	ABJ972_RS01680	MYF_RS03035
OG0000103	ABJ972_RS02165	MYF_RS01540
OG0000104	ABJ972_RS02170	MYF_RS01545
OG0000105	ABJ972_RS02185	MYF_RS01560
OG0000106	ABJ972_RS02195	MYF_RS01570
OG0000107	ABJ972_RS02205	MYF_RS01580
OG0000108	ABJ972_RS02210	MYF_RS01585
OG0000109	ABJ972_RS02215	MYF_RS01590
OG0000110	ABJ972_RS02335	MYF_RS01595
OG0000111	ABJ972_RS02330	MYF_RS01600
OG0000112	ABJ972_RS02320	MYF_RS01610
OG0000113	ABJ972_RS02300	MYF_RS01625
OG0000114	ABJ972_RS02290	MYF_RS01635
OG0000115	ABJ972_RS02280	MYF_RS01645
OG0000116	ABJ972_RS01285	MYF_RS01655
OG0000117	ABJ972_RS01290	MYF_RS01660
OG0000118	ABJ972_RS01325	MYF_RS01690
OG0000119	ABJ972_RS01330	MYF_RS01695
OG0000120	ABJ972_RS01345	MYF_RS01710
OG0000121	ABJ972_RS01370	MYF_RS01735
OG0000122	ABJ972_RS01375	MYF_RS01740
OG0000123	ABJ972_RS01395	MYF_RS01760
OG0000124	ABJ972_RS01400	MYF_RS01765
OG0000125	ABJ972_RS01405	MYF_RS01770
OG0000126	ABJ972_RS01415	MYF_RS01780
OG0000127	ABJ972_RS01425	MYF_RS01790
OG0000128	ABJ972_RS01440	MYF_RS01805
OG0000129	ABJ972_RS01445	MYF_RS01810
OG0000130	ABJ972_RS01455	MYF_RS01820
OG0000131	ABJ972_RS01485	MYF_RS01850
OG0000132	ABJ972_RS01500	MYF_RS01865
OG0000133	ABJ972_RS00515	MYF_RS00485
OG0000134	ABJ972_RS00520	MYF_RS00490
OG0000135	ABJ972_RS00535	MYF_RS00505
OG0000136	ABJ972_RS00540	MYF_RS00510
OG0000137	ABJ972_RS00570	MYF_RS00540
OG0000138	ABJ972_RS01050	MYF_RS00565
OG0000139	ABJ972_RS01020	MYF_RS00595
OG0000140	ABJ972_RS01015	MYF_RS00600
OG0000141	ABJ972_RS02855	MYF_RS00635
OG0000142	ABJ972_RS02850	MYF_RS00640
OG0000143	ABJ972_RS02830	MYF_RS00665
OG0000144	ABJ972_RS02820	MYF_RS00675
OG0000145	ABJ972_RS02810	MYF_RS00685
OG0000146	ABJ972_RS02800	MYF_RS00695
OG0000147	ABJ972_RS02795	MYF_RS00700
OG0000148	ABJ972_RS02780	MYF_RS00715
OG0000149	ABJ972_RS02770	MYF_RS00725
OG0000150	ABJ972_RS02755	MYF_RS00740
OG0000151	ABJ972_RS02705	MYF_RS00795
OG0000152	ABJ972_RS02700	MYF_RS00800
OG0000153	ABJ972_RS02695	MYF_RS00805
OG0000154	ABJ972_RS02685	MYF_RS00815
OG0000155	ABJ972_RS02650	MYF_RS00835
OG0000156	ABJ972_RS02645	MYF_RS00855
OG0000157	ABJ972_RS02635	MYF_RS00860
OG0000158	ABJ972_RS02625	MYF_RS00870
OG0000159	ABJ972_RS02405	MYF_RS01165
OG0000160	ABJ972_RS02400	MYF_RS01170
OG0000161	ABJ972_RS02395	MYF_RS01175
OG0000162	ABJ972_RS02385	MYF_RS01185
OG0000163	ABJ972_RS02380	MYF_RS01190
OG0000164	ABJ972_RS01585	MYF_RS01220
OG0000165	ABJ972_RS01905	MYF_RS01265
OG0000166	ABJ972_RS01925	MYF_RS01285
OG0000167	ABJ972_RS01940	MYF_RS01300
OG0000168	ABJ972_RS01945	MYF_RS01305
OG0000169	ABJ972_RS02955	MYF_RS02560
OG0000170	ABJ972_RS02970	MYF_RS02585
OG0000171	ABJ972_RS02980	MYF_RS02595
OG0000172	ABJ972_RS02985	MYF_RS02600
OG0000173	ABJ972_RS02990	MYF_RS02605
OG0000174	ABJ972_RS02995	MYF_RS02610
OG0000175	ABJ972_RS03010	MYF_RS02625
OG0000176	ABJ972_RS03055	MYF_RS02670
OG0000177	ABJ972_RS03060	MYF_RS02675
OG0000178	ABJ972_RS03065	MYF_RS02680
OG0000179	ABJ972_RS03075	MYF_RS02690
OG0000180	ABJ972_RS03080	MYF_RS02695
OG0000181	ABJ972_RS03130	MYF_RS02710
OG0000182	ABJ972_RS03140	MYF_RS02720
OG0000183	ABJ972_RS03175	MYF_RS02755
OG0000184	ABJ972_RS03220	MYF_RS02785
OG0000185	ABJ972_RS03205	MYF_RS02800
OG0000186	ABJ972_RS01510	MYF_RS01895
OG0000187	ABJ972_RS01525	MYF_RS01910
OG0000188	ABJ972_RS01535	MYF_RS01920
OG0000189	ABJ972_RS02250	MYF_RS01930
OG0000190	ABJ972_RS02245	MYF_RS01935
OG0000191	ABJ972_RS02225	MYF_RS01955
OG0000192	ABJ972_RS01205	MYF_RS01965
OG0000193	ABJ972_RS01195	MYF_RS01980
OG0000194	ABJ972_RS00980	MYF_RS01990
OG0000195	ABJ972_RS00975	MYF_RS01995
OG0000196	ABJ972_RS00955	MYF_RS02015
OG0000197	ABJ972_RS00950	MYF_RS02020
OG0000198	ABJ972_RS00930	MYF_RS02035
OG0000199	ABJ972_RS00925	MYF_RS02040
OG0000200	ABJ972_RS00910	MYF_RS02050
OG0000201	ABJ972_RS00900	MYF_RS02060
OG0000202	ABJ972_RS00845	MYF_RS02115
OG0000203	ABJ972_RS00840	MYF_RS02120
OG0000204	ABJ972_RS00835	MYF_RS02125
OG0000205	ABJ972_RS00830	MYF_RS02130
OG0000206	ABJ972_RS00810	MYF_RS02150
OG0000207	ABJ972_RS00795	MYF_RS02165
OG0000208	ABJ972_RS00790	MYF_RS02170
OG0000209	ABJ972_RS00785	MYF_RS02175
OG0000210	ABJ972_RS00740	MYF_RS02220
OG0000211	ABJ972_RS00730	MYF_RS02230
OG0000212	ABJ972_RS00720	MYF_RS02240
OG0000213	ABJ972_RS00715	MYF_RS02245
OG0000214	ABJ972_RS00710	MYF_RS02250
OG0000215	ABJ972_RS00705	MYF_RS02255
OG0000216	ABJ972_RS00700	MYF_RS02260
OG0000217	ABJ972_RS00695	MYF_RS02265
OG0000218	ABJ972_RS00685	MYF_RS02275
OG0000219	ABJ972_RS00680	MYF_RS02280
OG0000220	ABJ972_RS00675	MYF_RS02285
OG0000221	ABJ972_RS00670	MYF_RS02290
OG0000222	ABJ972_RS00665	MYF_RS03240
OG0000223	ABJ972_RS00660	MYF_RS02295
OG0000224	ABJ972_RS00650	MYF_RS02305
OG0000225	ABJ972_RS00640	MYF_RS02315
OG0000226	ABJ972_RS00635	MYF_RS02320
OG0000227	ABJ972_RS00630	MYF_RS02325
OG0000228	ABJ972_RS00625	MYF_RS03530
OG0000229	ABJ972_RS00620	MYF_RS02335
