Orthogroup	MHP_MHP691_genes	MHP_Ue273_genes
OG0000000	DR087_RS03570	VQY17_RS01775
OG0000001	DR087_RS04015	VQY17_RS02775
OG0000001	DR087_RS03255	VQY17_RS02730
OG0000002	DR087_RS03810	VQY17_RS02210, VQY17_RS02205
OG0000002	DR087_RS04755	VQY17_RS01780
OG0000003	DR087_RS01665	VQY17_RS01865
OG0000003	DR087_RS04680, DR087_RS04220	VQY17_RS00940
OG0000004	DR087_RS00850	VQY17_RS03185
OG0000004	DR087_RS00860	VQY17_RS03175
OG0000005	DR087_RS00530	VQY17_RS00100
OG0000005	DR087_RS00540	VQY17_RS00105
OG0000005	DR087_RS04465	VQY17_RS00110, VQY17_RS00125
OG0000006	DR087_RS04360	VQY17_RS02495
OG0000006	DR087_RS04080	VQY17_RS02360
OG0000007	DR087_RS04205, DR087_RS04210	VQY17_RS00945
OG0000007	DR087_RS03750	VQY17_RS00960
OG0000008	DR087_RS04355	VQY17_RS02500
OG0000009	DR087_RS00515	VQY17_RS00085
OG0000010	DR087_RS01605	VQY17_RS01920
OG0000010	DR087_RS03875	VQY17_RS00095
OG0000011	DR087_RS04590	VQY17_RS02025
OG0000011	DR087_RS01515	VQY17_RS02020
OG0000012	DR087_RS03740	VQY17_RS01935
OG0000013	DR087_RS01680	VQY17_RS02405
OG0000013	DR087_RS04185	VQY17_RS00185
OG0000014	DR087_RS03520	VQY17_RS00605
OG0000015	DR087_RS04110	VQY17_RS01665
OG0000016	DR087_RS01400	VQY17_RS02820
OG0000016	DR087_RS02395	VQY17_RS00170
OG0000017	DR087_RS02410	VQY17_RS00155
OG0000017	DR087_RS01410	VQY17_RS02830
OG0000019	DR087_RS03610	VQY17_RS03030
OG0000020	DR087_RS04440	VQY17_RS03550
OG0000020	DR087_RS04445	VQY17_RS03555
OG0000022	DR087_RS02045	VQY17_RS01695
OG0000022	DR087_RS04630	VQY17_RS01765
OG0000024	DR087_RS03250	VQY17_RS02725
OG0000025	DR087_RS04625	VQY17_RS01700
OG0000025	DR087_RS02095	VQY17_RS01755
