Orthogroup	MHP_133A_genes	MHP_ES2L_genes
OG0000000	NB626_RS02270, NB626_RS02275, NB626_RS02255	HZK19_RS02105
OG0000000	NB626_RS02250	HZK19_RS03675
OG0000000	NB626_RS02475	HZK19_RS02290
OG0000000	NB626_RS02480	HZK19_RS03795
OG0000000	NB626_RS01835	HZK19_RS01690
OG0000000	NB626_RS01850	HZK19_RS01695
OG0000001	NB626_RS01395, NB626_RS01400	HZK19_RS03720
OG0000001	NB626_RS02930	HZK19_RS03840
OG0000002	NB626_RS02280	HZK19_RS02110
OG0000002	NB626_RS01855	HZK19_RS01705
OG0000003	NB626_RS01965	HZK19_RS01800
OG0000004	NB626_RS03385	HZK19_RS03240
OG0000004	NB626_RS03400	HZK19_RS03255
OG0000004	NB626_RS03200	HZK19_RS02970
OG0000005	NB626_RS00100	HZK19_RS00085
OG0000005	NB626_RS00120	HZK19_RS00105
OG0000005	NB626_RS00110	HZK19_RS00090
OG0000005	NB626_RS00125	HZK19_RS00110
OG0000006	NB626_RS02680, NB626_RS02685	HZK19_RS02470
OG0000006	NB626_RS02515	HZK19_RS03805
OG0000007	NB626_RS02340	HZK19_RS02155
OG0000007	NB626_RS02320	HZK19_RS02150
OG0000008	NB626_RS02470	HZK19_RS03790
OG0000008	NB626_RS01750	HZK19_RS03745
OG0000008	NB626_RS02690	HZK19_RS03825
OG0000009	NB626_RS00780	HZK19_RS00655
OG0000010	NB626_RS01975	HZK19_RS01810
OG0000011	NB626_RS02080	HZK19_RS03920
OG0000012	NB626_RS01310, NB626_RS01990	HZK19_RS01825
OG0000013	NB626_RS02565	HZK19_RS02370
OG0000013	NB626_RS00185	HZK19_RS03715
OG0000014	NB626_RS00695	HZK19_RS00585
OG0000014	NB626_RS00705	HZK19_RS00595
OG0000015	NB626_RS00515	HZK19_RS01540, HZK19_RS03105
OG0000016	NB626_RS00170	HZK19_RS00155
OG0000017	NB626_RS00155	HZK19_RS00140
OG0000017	NB626_RS03035	HZK19_RS02815
OG0000018	NB626_RS00480	HZK19_RS03075
OG0000019	NB626_RS03225	HZK19_RS03850
OG0000020	NB626_RS03760	HZK19_RS03600
OG0000021	NB626_RS00605	HZK19_RS01725
OG0000022	NB626_RS01775	HZK19_RS01625
OG0000022	NB626_RS01830	HZK19_RS01685
OG0000023	NB626_RS01435	HZK19_RS01285
OG0000023	NB626_RS00490	HZK19_RS03085
OG0000024	NB626_RS02925	HZK19_RS02710
OG0000024	NB626_RS01390	HZK19_RS01240
OG0000025	NB626_RS01780	HZK19_RS01630
OG0000025	NB626_RS01825	HZK19_RS01680
OG0000026	NB626_RS01480	HZK19_RS01330
OG0000026	NB626_RS01805	HZK19_RS01660
OG0000027	NB626_RS03540	HZK19_RS03390
OG0000027	NB626_RS03555	HZK19_RS03405
OG0000028	NB626_RS02595	HZK19_RS02380
OG0000029	NB626_RS01205	HZK19_RS01065
OG0000029	NB626_RS00710	HZK19_RS00600
OG0000030	NB626_RS03530	HZK19_RS03380
OG0000030	NB626_RS03550	HZK19_RS03400
OG0000031	NB626_RS00435	HZK19_RS03025
OG0000032	NB626_RS01690	HZK19_RS01545
OG0000032	NB626_RS03545	HZK19_RS03395
OG0000035	NB626_RS03395	HZK19_RS03235
