Orthogroup	MHP_MHP650_proteins	MFC_Ms42_proteins
OG0000000	WP_160601117.1	WP_318023896.1
OG0000000	WP_308704770.1, WP_160601261.1, WP_160601285.1, WP_160601277.1	WP_236681787.1
OG0000000	WP_233688764.1	WP_318023901.1
OG0000001	WP_258556637.1, WP_258556624.1, WP_011206342.1, WP_258556621.1	WP_002557631.1
OG0000002	WP_258556677.1, WP_160601116.1	WP_002557507.1
OG0000002	WP_160601263.1	WP_002557987.1
OG0000002	WP_160601022.1	WP_002557503.1
OG0000003	WP_237697199.1	WP_039387603.1
OG0000004	WP_160600949.1	WP_236681777.1
OG0000007	WP_011284157.1	WP_002557994.1
OG0000007	WP_160585819.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000011	WP_160600906.1	WP_039387561.1
OG0000011	WP_160600904.1	WP_039387558.1
OG0000013	WP_371863325.1	WP_002557975.1, WP_051054340.1
OG0000013	WP_371863321.1	WP_002557887.1
OG0000014	WP_220200910.1, WP_160601233.1	WP_002557587.1
OG0000016	WP_160600777.1	WP_002557621.1
OG0000017	WP_228365403.1	WP_002557881.1
OG0000017	WP_020835837.1	WP_144245598.1
OG0000018	WP_160601158.1	WP_002557538.1
OG0000019	WP_258556650.1	WP_039387667.1
OG0000020	WP_308704754.1	WP_002557491.1
OG0000020	WP_308704755.1	WP_002557490.1
OG0000022	WP_160601018.1	WP_002557501.1
OG0000023	WP_160601161.1	WP_002557747.1
OG0000024	WP_258556699.1, WP_160600862.1	WP_236681781.1
OG0000025	WP_160601016.1	WP_002557500.1
OG0000026	WP_044284614.1, WP_160585054.1	WP_002557545.1
OG0000027	WP_160601209.1	WP_002557970.1
OG0000029	WP_160601095.1, WP_160601231.1	WP_002557588.1
OG0000030	WP_308704764.1, WP_160590224.1	WP_002557971.1
OG0000031	WP_088172525.1	WP_002557676.1
OG0000032	WP_160601271.1	WP_002557939.1
OG0000032	WP_308704765.1	WP_231237886.1
OG0000033	WP_160600708.1	WP_052234584.1
OG0000037	WP_308704768.1	WP_231237860.1
OG0000039	WP_160601257.1	WP_160609261.1, WP_002557597.1
OG0000040	WP_160601121.1	WP_002557738.1, WP_201771013.1
OG0000042	WP_160600794.1	WP_002557596.1, WP_002557628.1
OG0000043	WP_014579804.1	WP_002557679.1
OG0000045	WP_160590485.1	WP_002557601.1
OG0000048	WP_011284150.1	WP_039387763.1
OG0000049	WP_160600923.1	WP_231237870.1, WP_318023899.1
OG0000050	WP_160600723.1	WP_002557670.1
OG0000051	WP_160601045.1	WP_002557852.1
OG0000052	WP_011283836.1	WP_002557464.1
OG0000053	WP_160600836.1	WP_002557561.1
OG0000054	WP_160600727.1	WP_002557665.1
OG0000055	WP_014579531.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_160600810.1	WP_081605276.1
OG0000057	WP_258556625.1, WP_258556626.1	WP_231237864.1
OG0000062	WP_160588098.1	WP_002557486.1
OG0000063	WP_041361715.1	WP_002557487.1
OG0000064	WP_011290440.1	WP_002557489.1
OG0000065	WP_243216185.1	WP_002557517.1
OG0000066	WP_160600846.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011284269.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_160601125.1	WP_002557736.1
OG0000072	WP_160601123.1	WP_002557737.1
OG0000073	WP_011290025.1	WP_039387630.1
OG0000074	WP_011206057.1	WP_236681775.1
OG0000075	WP_014579568.1	WP_002557918.1
OG0000076	WP_160600693.1	WP_002557921.1
OG0000077	WP_160601219.1	WP_002557937.1
OG0000078	WP_160601010.1	WP_002557996.1
OG0000079	WP_160600966.1	WP_002558020.1
OG0000080	WP_011206314.1	WP_002558011.1, WP_196792423.1
OG0000081	WP_160600689.1	WP_039387493.1
OG0000083	WP_014579823.1	WP_002557446.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_160601152.1	WP_002557452.1
OG0000086	WP_160601147.1	WP_002557454.1
OG0000087	WP_160601142.1	WP_236681783.1
OG0000088	WP_020835733.1	WP_002557458.1
OG0000089	WP_011206231.1	WP_002557461.1
OG0000090	WP_011283835.1	WP_002557465.1
OG0000091	WP_160600822.1	WP_002557468.1
OG0000092	WP_011205847.1	WP_002557471.1
OG0000093	WP_020835484.1	WP_002557472.1
OG0000094	WP_014579519.1	WP_002557473.1
OG0000095	WP_044272251.1	WP_002557479.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_146379771.1	WP_002557483.1
OG0000098	WP_160600816.1	WP_002557485.1
OG0000099	WP_160600812.1	WP_002557494.1
OG0000100	WP_160600806.1	WP_002557496.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_135619192.1	WP_002557499.1
OG0000103	WP_160601114.1	WP_002557509.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_160588282.1	WP_002557514.1
OG0000106	WP_011284167.1	WP_002557516.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_011206247.1	WP_002557519.1
OG0000109	WP_160601110.1	WP_002557520.1
OG0000110	WP_160601201.1	WP_002557522.1
OG0000111	WP_258556696.1	WP_002557523.1
OG0000112	WP_258556695.1	WP_002557525.1
OG0000113	WP_160601227.1	WP_002557528.1
OG0000114	WP_258555507.1	WP_002557530.1
OG0000115	WP_011290245.1	WP_002557532.1
OG0000116	WP_160600860.1	WP_002557534.1
OG0000117	WP_160600858.1	WP_002557535.1
OG0000118	WP_011284023.1	WP_002557540.1
OG0000119	WP_160600850.1	WP_002557541.1
OG0000120	WP_160600844.1	WP_002557544.1
OG0000121	WP_011284032.1	WP_002557548.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_002557553.1
OG0000124	WP_160600842.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_002557555.1
OG0000126	WP_146379560.1	WP_002557557.1
OG0000127	WP_011290122.1	WP_002557559.1
OG0000128	WP_160600834.1	WP_002557562.1
OG0000129	WP_160600832.1	WP_002557563.1
OG0000130	WP_160600828.1	WP_002557565.1
OG0000131	WP_146379566.1	WP_002557566.1
OG0000132	WP_094521636.1	WP_002557569.1
OG0000133	WP_011206123.1	WP_002557574.1
