Orthogroup	MHP_168L_genes	MFC_ATCC27716_genes
OG0000000	MHP168L_RS02190	MFC_RS01410
OG0000001	MHP168L_RS01370, MHP168L_RS03950, MHP168L_RS02830, MHP168L_RS02780, MHP168L_RS02785	MFC_RS03350
OG0000002	MHP168L_RS04010, MHP168L_RS03840	MFC_RS00395
OG0000002	MHP168L_RS01710	MFC_RS00370
OG0000008	MHP168L_RS01795	MFC_RS03380
OG0000011	MHP168L_RS03995, MHP168L_RS03990	MFC_RS03510, MFC_RS03505
OG0000011	MHP168L_RS02035	MFC_RS01350
OG0000013	MHP168L_RS02430	MFC_RS03175, MFC_RS02880
OG0000013	MHP168L_RS03905	MFC_RS03420
OG0000014	MHP168L_RS01070, MHP168L_RS01055	MFC_RS00870
OG0000015	MHP168L_RS01270	MFC_RS03450
OG0000016	MHP168L_RS02870	MFC_RS01050
OG0000017	MHP168L_RS00135	MFC_RS03155
OG0000017	MHP168L_RS02880	MFC_RS01040
OG0000018	MHP168L_RS04065, MHP168L_RS04060	MFC_RS00540
OG0000020	MHP168L_RS03590	MFC_RS00305
OG0000020	MHP168L_RS03595	MFC_RS00300
OG0000022	MHP168L_RS01725	MFC_RS00360
OG0000023	MHP168L_RS03545	MFC_RS01695
OG0000024	MHP168L_RS02775, MHP168L_RS03940, MHP168L_RS03945	MFC_RS01110
OG0000025	MHP168L_RS01730	MFC_RS00355
OG0000026	MHP168L_RS01455, MHP168L_RS01750	MFC_RS00580
OG0000027	MHP168L_RS03345	MFC_RS02850
OG0000028	MHP168L_RS02445, MHP168L_RS02440	MFC_RS01205, MFC_RS01200
OG0000029	MHP168L_RS00580, MHP168L_RS01050	MFC_RS00875
OG0000030	MHP168L_RS03325, MHP168L_RS03340	MFC_RS02855
OG0000031	MHP168L_RS03575, MHP168L_RS01215, MHP168L_RS01830	MFC_RS01295
OG0000032	MHP168L_RS03335	MFC_RS02860
OG0000037	MHP168L_RS01845	MFC_RS00375
OG0000039	MHP168L_RS01815	MFC_RS03135, MFC_RS00935
OG0000040	MHP168L_RS03275	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	MHP168L_RS02970	MFC_RS00930, MFC_RS01085
OG0000043	MHP168L_RS01210	MFC_RS01320
OG0000045	MHP168L_RS01810	MFC_RS00950
OG0000047	MHP168L_RS01235	MFC_RS03280
OG0000048	MHP168L_RS02210	MFC_RS00140
OG0000050	MHP168L_RS02475	MFC_RS01260
OG0000051	MHP168L_RS04035	MFC_RS02240
OG0000052	MHP168L_RS00075	MFC_RS00160
OG0000053	MHP168L_RS01540	MFC_RS00665
OG0000054	MHP168L_RS02500	MFC_RS01235
OG0000055	MHP168L_RS00115	MFC_RS03415, MFC_RS03540
OG0000056	MHP168L_RS03515	MFC_RS00325
OG0000057	MHP168L_RS02955	MFC_RS00965
OG0000062	MHP168L_RS03630	MFC_RS00270
OG0000063	MHP168L_RS03625	MFC_RS00275
OG0000064	MHP168L_RS03615	MFC_RS00285
OG0000065	MHP168L_RS04005	MFC_RS00440
OG0000066	MHP168L_RS01445	MFC_RS00570
OG0000068	MHP168L_RS04135	MFC_RS00910
OG0000069	MHP168L_RS02845	MFC_RS01075
OG0000070	MHP168L_RS02505	MFC_RS01215
OG0000071	MHP168L_RS03265	MFC_RS01630
OG0000072	MHP168L_RS03270	MFC_RS01635
OG0000073	MHP168L_RS00955	MFC_RS03395, MFC_RS03390
OG0000074	MHP168L_RS00765	MFC_RS03400
OG0000075	MHP168L_RS00320	MFC_RS02565
OG0000076	MHP168L_RS00335	MFC_RS02580
OG0000077	MHP168L_RS00425	MFC_RS02670
OG0000078	MHP168L_RS01760	MFC_RS03005
OG0000079	MHP168L_RS02590	MFC_RS02930, MFC_RS03120
OG0000080	MHP168L_RS03895	MFC_RS03315
OG0000081	MHP168L_RS00315	MFC_RS03430, MFC_RS02560
OG0000082	MHP168L_RS04015, MHP168L_RS04020	MFC_RS02870
OG0000083	MHP168L_RS02110	MFC_RS00040
OG0000084	MHP168L_RS02265	MFC_RS00070
OG0000085	MHP168L_RS02260	MFC_RS00075
OG0000086	MHP168L_RS02250	MFC_RS00085
OG0000087	MHP168L_RS02235	MFC_RS03320
OG0000088	MHP168L_RS02230	MFC_RS00105
OG0000089	MHP168L_RS02215	MFC_RS00115
OG0000090	MHP168L_RS00070	MFC_RS00165
OG0000091	MHP168L_RS00055	MFC_RS00180
OG0000092	MHP168L_RS00040	MFC_RS00195
OG0000093	MHP168L_RS00035	MFC_RS00200
OG0000094	MHP168L_RS00030	MFC_RS00205
OG0000095	MHP168L_RS00005	MFC_RS00230
OG0000096	MHP168L_RS03665	MFC_RS00235
OG0000097	MHP168L_RS03645	MFC_RS00255
OG0000098	MHP168L_RS03635	MFC_RS00265
OG0000099	MHP168L_RS03520	MFC_RS00320
OG0000100	MHP168L_RS03505	MFC_RS00335
OG0000101	MHP168L_RS03500	MFC_RS00340
OG0000102	MHP168L_RS01735	MFC_RS00350
OG0000103	MHP168L_RS02175	MFC_RS00405
OG0000104	MHP168L_RS02170	MFC_RS00410
OG0000105	MHP168L_RS02155	MFC_RS00425
OG0000106	MHP168L_RS02145	MFC_RS00435
OG0000107	MHP168L_RS02135	MFC_RS00445
OG0000108	MHP168L_RS02130	MFC_RS00450
OG0000109	MHP168L_RS02125	MFC_RS00455
OG0000110	MHP168L_RS02410	MFC_RS00460
OG0000111	MHP168L_RS02405	MFC_RS00465
OG0000112	MHP168L_RS02395	MFC_RS00475
OG0000113	MHP168L_RS02375	MFC_RS00490
OG0000114	MHP168L_RS02365	MFC_RS00500
OG0000115	MHP168L_RS02350	MFC_RS00510
OG0000116	MHP168L_RS01385	MFC_RS00520
OG0000117	MHP168L_RS01390	MFC_RS00525
OG0000118	MHP168L_RS01430	MFC_RS00555
OG0000119	MHP168L_RS01435	MFC_RS00560
OG0000120	MHP168L_RS01450	MFC_RS00575
OG0000121	MHP168L_RS01475	MFC_RS00600
OG0000122	MHP168L_RS01480	MFC_RS00605
OG0000123	MHP168L_RS01500	MFC_RS00625
OG0000124	MHP168L_RS01505	MFC_RS00630
OG0000125	MHP168L_RS01510	MFC_RS00635
OG0000126	MHP168L_RS01520	MFC_RS00645
OG0000127	MHP168L_RS01530	MFC_RS00655
OG0000128	MHP168L_RS01545	MFC_RS00670
OG0000129	MHP168L_RS01550	MFC_RS00675
OG0000130	MHP168L_RS01560	MFC_RS00685
OG0000131	MHP168L_RS01590	MFC_RS00715
OG0000132	MHP168L_RS01605	MFC_RS00735
OG0000133	MHP168L_RS00515	MFC_RS00805
OG0000134	MHP168L_RS00520	MFC_RS00810
OG0000135	MHP168L_RS00535	MFC_RS00825
OG0000136	MHP168L_RS00540	MFC_RS00830
OG0000137	MHP168L_RS00575	MFC_RS00860
OG0000138	MHP168L_RS01030	MFC_RS00885
OG0000139	MHP168L_RS01005	MFC_RS00915
OG0000140	MHP168L_RS01000	MFC_RS00920
OG0000141	MHP168L_RS02965	MFC_RS00955
OG0000142	MHP168L_RS02960	MFC_RS00960
OG0000143	MHP168L_RS02935	MFC_RS00985
OG0000144	MHP168L_RS02925	MFC_RS00995
OG0000145	MHP168L_RS02915	MFC_RS01005
OG0000146	MHP168L_RS02905	MFC_RS01015
OG0000147	MHP168L_RS02900	MFC_RS01020
OG0000148	MHP168L_RS02885	MFC_RS01035
OG0000149	MHP168L_RS02875	MFC_RS01045
OG0000150	MHP168L_RS02860	MFC_RS01060
OG0000151	MHP168L_RS02815	MFC_RS01115
OG0000152	MHP168L_RS02810	MFC_RS01120
OG0000153	MHP168L_RS02805	MFC_RS01125
OG0000154	MHP168L_RS02795	MFC_RS01135
OG0000155	MHP168L_RS02755	MFC_RS01155
OG0000156	MHP168L_RS02745	MFC_RS01175
OG0000157	MHP168L_RS02740	MFC_RS01180
OG0000158	MHP168L_RS04120	MFC_RS01190
OG0000159	MHP168L_RS04145	MFC_RS01245
OG0000160	MHP168L_RS02485	MFC_RS01250
OG0000161	MHP168L_RS02480	MFC_RS01255
OG0000162	MHP168L_RS02470	MFC_RS01265
OG0000163	MHP168L_RS02465	MFC_RS01270
OG0000164	MHP168L_RS01825	MFC_RS01300
OG0000165	MHP168L_RS02030	MFC_RS01345
OG0000166	MHP168L_RS02050	MFC_RS01365
OG0000167	MHP168L_RS02065	MFC_RS01380
