EHI52_RS00005 WP_044272251.1
EHI52_RS00010 WP_146379442.1
EHI52_RS00015 WP_146379443.1
EHI52_RS00020 WP_044272260.1
EHI52_RS00025 WP_146379444.1
EHI52_RS00030 WP_014579519.1
EHI52_RS00035 WP_020835484.1
EHI52_RS00040 WP_011205847.1
EHI52_RS00045 WP_146379445.1
EHI52_RS00050 WP_011205849.1
EHI52_RS00055 WP_020835487.1
EHI52_RS00060 WP_011289935.1
EHI52_RS00065 WP_146379446.1
EHI52_RS00070 WP_094521535.1
EHI52_RS00075 WP_146379447.1
EHI52_RS00080 WP_225973002.1
EHI52_RS00085 WP_146379448.1
EHI52_RS00090 WP_225973003.1
EHI52_RS00100 WP_146379449.1
EHI52_RS00105 WP_146379450.1
EHI52_RS00110 WP_146379451.1
EHI52_RS00115 WP_225973004.1
EHI52_RS03705 WP_225973005.1
EHI52_RS00120 WP_146379452.1
EHI52_RS00125 WP_146379453.1
EHI52_RS00130 WP_146379454.1
EHI52_RS00135 WP_146379455.1
EHI52_RS00140 WP_050195463.1
EHI52_RS00145 WP_146379456.1
EHI52_RS00150 WP_146379457.1
EHI52_RS00155 WP_020835500.1
EHI52_RS00160 WP_146379774.1
EHI52_RS00165 WP_146379458.1
EHI52_RS00170 WP_146379459.1
EHI52_RS00175 WP_146379460.1
EHI52_RS00180 WP_011289957.1
EHI52_RS03710 WP_225973006.1
EHI52_RS00195 WP_044272282.1
EHI52_RS00200 WP_011205878.1
EHI52_RS00205 WP_225973007.1
EHI52_RS00210 WP_011205880.1
EHI52_RS00215 WP_146379462.1
EHI52_RS00220 WP_146379463.1
EHI52_RS00225 WP_011205883.1
EHI52_RS00230 WP_146379464.1
EHI52_RS00235 WP_044284571.1
EHI52_RS00240 WP_146379465.1
EHI52_RS00250 WP_014579550.1
EHI52_RS00255 WP_011205889.1
EHI52_RS00260 WP_020835512.1
EHI52_RS00265 WP_146379467.1
EHI52_RS00270 WP_044284573.1
EHI52_RS00275 WP_146379468.1
EHI52_RS00280 WP_011289973.1
EHI52_RS00285 WP_225973008.1
EHI52_RS00290 WP_011289974.1
EHI52_RS00295 WP_020835518.1
EHI52_RS00300 WP_146379469.1
EHI52_RS00305 WP_011289977.1
EHI52_RS00310 WP_135618505.1
EHI52_RS00315 WP_011289979.1
EHI52_RS00320 WP_225973009.1
EHI52_RS00325 WP_146379470.1
EHI52_RS00330 WP_146379471.1
EHI52_RS00335 WP_146379472.1
EHI52_RS00340 WP_146379473.1
EHI52_RS00350 WP_225973010.1
EHI52_RS00355 WP_146379474.1
EHI52_RS00360 WP_135618519.1
EHI52_RS00365 WP_011289986.1
EHI52_RS00370 WP_146379475.1
EHI52_RS00375 WP_011283885.1
EHI52_RS00380 WP_011205913.1
EHI52_RS00385 WP_041361533.1
EHI52_RS00390 WP_011283887.1
EHI52_RS00395 WP_014579573.1
EHI52_RS00400 WP_146379476.1
EHI52_RS00405 WP_011205921.1
EHI52_RS00410 WP_011205922.1
EHI52_RS00415 WP_011205923.1
EHI52_RS00420 WP_135618529.1
EHI52_RS00425 WP_011205925.1
EHI52_RS00430 WP_146379477.1
EHI52_RS00435 WP_146379478.1
EHI52_RS00440 WP_011283895.1
EHI52_RS00445 WP_011206135.1
EHI52_RS00450 WP_011206134.1
EHI52_RS00460 WP_146379479.1
EHI52_RS00510 WP_146379480.1
EHI52_RS00515 WP_146379481.1
EHI52_RS00520 WP_146379482.1
EHI52_RS03715 WP_225973011.1
EHI52_RS00530 WP_041361727.1
EHI52_RS00535 WP_044272311.1
EHI52_RS00540 WP_146379483.1
EHI52_RS00545 WP_014579589.1
EHI52_RS00550 WP_225973012.1
EHI52_RS00555 WP_011206121.1
EHI52_RS00565 WP_011206120.1
EHI52_RS00570 WP_011206119.1
EHI52_RS00575 WP_146379484.1
EHI52_RS00580 WP_146379485.1
EHI52_RS00585 WP_146379486.1
EHI52_RS00590 WP_146379487.1
EHI52_RS00595 WP_146379488.1
EHI52_RS00600 WP_011206113.1
EHI52_RS00615 WP_146379490.1
EHI52_RS00620 WP_146379491.1
EHI52_RS00625 WP_146379492.1
EHI52_RS03625 WP_158631999.1
EHI52_RS00630 WP_146379493.1
EHI52_RS00635 WP_146379494.1
EHI52_RS00650 WP_225973014.1
EHI52_RS00655 WP_052269169.1
EHI52_RS00660 WP_011206103.1
EHI52_RS00665 WP_011206102.1
EHI52_RS00670 WP_146379496.1
EHI52_RS00680 WP_146379497.1
EHI52_RS00685 WP_146379498.1
EHI52_RS00690 WP_011290023.1
EHI52_RS00695 WP_094521583.1
EHI52_RS00700 WP_011206094.1
EHI52_RS00705 WP_011206093.1
EHI52_RS00710 WP_020835572.1
EHI52_RS00715 WP_179695841.1
EHI52_RS00720 WP_041361572.1
EHI52_RS00725 WP_011290028.1
