Orthogroup	MHP_LH_genes	MHP_KM014_genes
OG0000000	KUD10_RS02185	CIB43_RS03015
OG0000000	KUD10_RS02165	CIB43_RS03010
OG0000000	KUD10_RS01785	CIB43_RS02600
OG0000001	KUD10_RS01350	CIB43_RS02150
OG0000001	KUD10_RS02875	CIB43_RS03715
OG0000001	KUD10_RS02830	CIB43_RS03670
OG0000002	KUD10_RS02270	CIB43_RS03100
OG0000002	KUD10_RS01790	CIB43_RS02610
OG0000003	KUD10_RS01900	CIB43_RS02725
OG0000004	KUD10_RS03265	CIB43_RS00290
OG0000004	KUD10_RS03095	CIB43_RS00110
OG0000005	KUD10_RS00100	CIB43_RS00810
OG0000005	KUD10_RS00120	CIB43_RS00830
OG0000006	KUD10_RS02585	CIB43_RS03435
OG0000006	KUD10_RS02580, KUD10_RS02390, KUD10_RS02420	CIB43_RS03420
OG0000007	KUD10_RS02245	CIB43_RS03075
OG0000008	KUD10_RS02375	CIB43_RS03225
OG0000009	KUD10_RS00085	CIB43_RS00790
OG0000009	KUD10_RS00675	CIB43_RS01550
OG0000010	KUD10_RS01910	CIB43_RS02735
OG0000010	KUD10_RS00095	CIB43_RS00795
OG0000011	KUD10_RS02000	CIB43_RS02845, CIB43_RS02850
OG0000014	KUD10_RS01080	CIB43_RS01955
OG0000015	KUD10_RS01225	CIB43_RS01235
OG0000016	KUD10_RS02915	CIB43_RS03755
OG0000017	KUD10_RS00155	CIB43_RS00855
OG0000017	KUD10_RS02925	CIB43_RS03765
OG0000018	KUD10_RS01195	CIB43_RS01250
OG0000019	KUD10_RS03100	CIB43_RS00120
OG0000019	KUD10_RS03080	CIB43_RS00115
OG0000019	KUD10_RS03110	CIB43_RS03950, CIB43_RS00005
OG0000020	KUD10_RS03625	CIB43_RS00635
OG0000022	KUD10_RS01775	CIB43_RS02590
OG0000023	KUD10_RS01205	CIB43_RS01245
OG0000024	KUD10_RS01345	CIB43_RS02140
OG0000025	KUD10_RS01770	CIB43_RS02585
OG0000026	KUD10_RS01750	CIB43_RS02565
OG0000027	KUD10_RS03425	CIB43_RS00440
OG0000028	KUD10_RS02500	CIB43_RS03340
OG0000030	KUD10_RS03420	CIB43_RS00435
OG0000031	KUD10_RS01150	CIB43_RS01295
OG0000035	KUD10_RS03270	CIB43_RS00280
OG0000035	KUD10_RS03250	CIB43_RS00270
OG0000036	KUD10_RS00115	CIB43_RS00815
OG0000037	KUD10_RS01650	CIB43_RS02465
OG0000038	KUD10_RS01815	CIB43_RS02625
OG0000039	KUD10_RS01675	CIB43_RS02500
OG0000042	KUD10_RS03010	CIB43_RS03855
OG0000043	KUD10_RS01965	CIB43_RS02825
OG0000043	KUD10_RS01965	CIB43_RS00070
OG0000044	KUD10_RS01860	CIB43_RS02665
OG0000045	KUD10_RS01680	CIB43_RS02520
OG0000048	KUD10_RS02150	CIB43_RS02995
OG0000049	KUD10_RS03120	CIB43_RS00150
OG0000051	KUD10_RS02740	CIB43_RS03575
OG0000052	KUD10_RS00075	CIB43_RS00775
OG0000053	KUD10_RS01520	CIB43_RS02315
OG0000054	KUD10_RS02555	CIB43_RS03395
OG0000055	KUD10_RS00135	CIB43_RS00835
OG0000056	KUD10_RS03605	CIB43_RS00630, CIB43_RS03960
OG0000057	KUD10_RS02995	CIB43_RS03840
OG0000058	KUD10_RS01145	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085
OG0000061	KUD10_RS01920	CIB43_RS02745
OG0000062	KUD10_RS03655	CIB43_RS00675
OG0000063	KUD10_RS03650	CIB43_RS00660
OG0000064	KUD10_RS03640	CIB43_RS00650
OG0000065	KUD10_RS02315	CIB43_RS03145
OG0000068	KUD10_RS00655	CIB43_RS01520
OG0000069	KUD10_RS02890	CIB43_RS03740
OG0000070	KUD10_RS02560	CIB43_RS03400
OG0000071	KUD10_RS03335	CIB43_RS00360
OG0000072	KUD10_RS03340	CIB43_RS00375
OG0000073	KUD10_RS00700	CIB43_RS01580
OG0000075	KUD10_RS00340	CIB43_RS01060
OG0000077	KUD10_RS00440	CIB43_RS01330
OG0000078	KUD10_RS01740	CIB43_RS02560
