Orthogroup	MFC_Ms42_genes	MHP_LH_genes
OG0000000	MYF_RS01330	KUD10_RS02260
OG0000000	MYF_RS03215	KUD10_RS02170
OG0000000	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435	KUD10_RS02255
OG0000000	MYF_RS03295	KUD10_RS01785
OG0000001	MYF_RS03415	KUD10_RS01355, KUD10_RS01350, KUD10_RS02875, KUD10_RS02830
OG0000002	MYF_RS01530	KUD10_RS02270, KUD10_RS02265
OG0000002	MYF_RS01475	KUD10_RS02210
OG0000002	MYF_RS03010	KUD10_RS01790
OG0000003	MYF_RS01515	KUD10_RS02250
OG0000004	MYF_RS02520	KUD10_RS03075
OG0000004	MYF_RS02535, MYF_RS02545	KUD10_RS03095, KUD10_RS03085
OG0000007	MYF_RS01500	KUD10_RS02245
OG0000008	MYF_RS01875	KUD10_RS01700
OG0000011	MYF_RS03310	KUD10_RS02000
OG0000011	MYF_RS01270	KUD10_RS01995
OG0000013	MYF_RS03170, MYF_RS01100	KUD10_RS02465
OG0000013	MYF_RS03400	KUD10_RS00185
OG0000014	MYF_RS00550	KUD10_RS01080, KUD10_RS00610, KUD10_RS00615
OG0000016	MYF_RS00730	KUD10_RS02915
OG0000017	MYF_RS03155	KUD10_RS00155
OG0000017	MYF_RS00720	KUD10_RS02925
OG0000018	MYF_RS01675	KUD10_RS01195
OG0000019	MYF_RS03440	KUD10_RS03110, KUD10_RS03090
OG0000020	MYF_RS03080	KUD10_RS03620
OG0000020	MYF_RS03085	KUD10_RS03625
OG0000022	MYF_RS03025	KUD10_RS01775
OG0000023	MYF_RS01880	KUD10_RS01205
OG0000024	MYF_RS00790	KUD10_RS02825, KUD10_RS01345
OG0000025	MYF_RS03030	KUD10_RS01770
OG0000026	MYF_RS01715	KUD10_RS01435, KUD10_RS01750
OG0000027	MYF_RS02825	KUD10_RS03425
OG0000028	MYF_RS01125, MYF_RS01120	KUD10_RS02500
OG0000029	MYF_RS00555	KUD10_RS01075, KUD10_RS00620
OG0000030	MYF_RS02820	KUD10_RS03400, KUD10_RS03420
OG0000031	MYF_RS01215	KUD10_RS01150, KUD10_RS01665
OG0000032	MYF_RS03490	KUD10_RS01640
OG0000033	MYF_RS01130	KUD10_RS02480
OG0000037	MYF_RS03495	KUD10_RS01650
OG0000037	MYF_RS03005	KUD10_RS01645
