Orthogroup	MHP_MHP691_protein	MHP_MHP694_protein
OG0000000	WP_160607678.1	WP_160606848.1
OG0000000	WP_020835714.1	WP_220200677.1
OG0000000	WP_160606477.1	WP_160606477.1
OG0000001	WP_160607882.1, WP_240536590.1, WP_258555606.1, WP_308704686.1, WP_308704693.1	WP_160606452.1
OG0000002	WP_308704685.1	WP_308704588.1
OG0000002	WP_258555582.1	WP_258555454.1
OG0000004	WP_258555633.1	WP_308704614.1
OG0000005	WP_308704676.1	WP_160606967.1
OG0000006	WP_160608110.1	WP_160606965.1
OG0000008	WP_160585635.1	WP_160606858.1
OG0000009	WP_160607995.1	WP_160606823.1
OG0000009	WP_220200632.1	WP_160606721.1
OG0000010	WP_011206342.1	WP_011206342.1
OG0000010	WP_258555625.1	WP_232039579.1
OG0000013	WP_258555632.1	WP_220200726.1
OG0000014	WP_228366104.1	WP_258555386.1
OG0000014	WP_187145661.1	WP_160606550.1
OG0000016	WP_258555580.1	WP_308704605.1
OG0000016	WP_258555581.1	WP_308704607.1
OG0000018	WP_160608086.1	WP_160606883.1
OG0000019	WP_160607720.1	WP_160606889.1
OG0000020	WP_160608124.1	WP_160606969.1
OG0000022	WP_258555583.1	WP_160606723.1
OG0000023	WP_160607971.1	WP_160606805.1
OG0000025	WP_258555619.1	WP_160606615.1
OG0000026	WP_160607999.1	WP_160606815.1
OG0000028	WP_160608102.1	WP_160606951.1
OG0000029	WP_160608064.1	WP_160606617.1
OG0000030	WP_160607824.1	WP_160606423.1
OG0000031	WP_160607724.1	WP_160606887.1
OG0000033	WP_220200639.1	WP_225973034.1
OG0000034	WP_160608001.1	WP_044284674.1
OG0000035	WP_160607947.1	WP_160606781.1
OG0000036	WP_160585159.1	WP_041361671.1
OG0000039	WP_160607660.1	WP_011206214.1
OG0000040	WP_160590049.1	WP_160606605.1
OG0000041	WP_308704678.1	WP_258555494.1
OG0000042	WP_160607759.1	WP_160606925.1
OG0000043	WP_011290432.1	WP_160606905.1
OG0000044	WP_160608118.1	WP_160606941.1
OG0000045	WP_011290219.1	WP_160606850.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_258555421.1
OG0000048	WP_160607842.1	WP_160606579.1
OG0000049	WP_011206373.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_160606811.1
OG0000051	WP_160608004.1	WP_160606827.1
OG0000052	WP_160607997.1	WP_160606817.1
OG0000053	WP_160607789.1	WP_160606931.1
OG0000054	WP_020835862.1	WP_044284702.1
OG0000055	WP_160588054.1	WP_160606707.1
OG0000056	WP_160607760.1	WP_160585219.1
OG0000057	WP_011290028.1	WP_011290028.1
OG0000058	WP_160608008.1	WP_135618593.1
OG0000059	WP_044284596.1	WP_044284596.1
OG0000060	WP_160608019.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_160607930.1	WP_020835608.1
OG0000063	WP_160585552.1	WP_052259122.1
OG0000064	WP_160607989.1	WP_160606537.1
OG0000065	WP_014579568.1	WP_014579568.1
OG0000066	WP_146379479.1	WP_014579581.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_160607734.1	WP_160606743.1
OG0000069	WP_160608038.1	WP_160606447.1
OG0000070	WP_160608044.1	WP_160600966.1
OG0000071	WP_160607838.1	WP_160606583.1
OG0000072	WP_160607961.1	WP_160606795.1
OG0000073	WP_011206314.1	WP_179695988.1
OG0000074	WP_258555568.1	WP_160606566.1
OG0000076	WP_308704683.1	WP_308704599.1
OG0000077	WP_135618515.1	WP_160606517.1
OG0000078	WP_308507003.1	WP_308704608.1
OG0000079	WP_220200602.1	WP_220200698.1
OG0000080	WP_160607662.1	WP_160606599.1
OG0000081	WP_160590043.1	WP_014579823.1
OG0000082	WP_160590046.1	WP_160606601.1
OG0000083	WP_011206221.1	WP_020835728.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_146379594.1	WP_011206224.1
OG0000086	WP_160590052.1	WP_160606607.1
OG0000087	WP_220200603.1	WP_225973040.1
OG0000088	WP_020835732.1	WP_020835732.1
OG0000089	WP_160590058.1	WP_258555428.1
OG0000090	WP_011290212.1	WP_011290212.1
OG0000091	WP_011289937.1	WP_160606901.1
OG0000092	WP_020835488.1	WP_094521535.1
OG0000093	WP_011289935.1	WP_011289935.1
OG0000094	WP_020835487.1	WP_020835487.1
OG0000095	WP_160607714.1	WP_011205849.1
OG0000096	WP_011205848.1	WP_160606481.1
OG0000097	WP_011205847.1	WP_160606483.1
OG0000098	WP_160584856.1	WP_160584856.1
OG0000099	WP_160606485.1	WP_160606485.1
OG0000100	WP_146379443.1	WP_044272256.1
OG0000101	WP_160584860.1	WP_135618439.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_160585758.1	WP_160606489.1
OG0000105	WP_258555535.1	WP_160606491.1
OG0000106	WP_160607712.1	WP_160606493.1
OG0000107	WP_146379769.1	WP_160588100.1
OG0000108	WP_160588098.1	WP_011290443.1
OG0000109	WP_160607710.1	WP_160606495.1
OG0000110	WP_011290440.1	WP_160606497.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_135619192.1	WP_020835678.1
OG0000113	WP_160607951.1	WP_160606775.1
OG0000114	WP_160607953.1	WP_160606773.1
