Orthogroup	MHP_153B_genes	MHP_MHP682_genes
OG0000000	NB625_RS02335	DR097_RS02690
OG0000000	NB625_RS02330	DR097_RS04740
OG0000001	NB625_RS02955	DR097_RS04145
OG0000002	NB625_RS02350	DR097_RS02700
OG0000002	NB625_RS02340	DR097_RS02695
OG0000002	NB625_RS02235	DR097_RS04855
OG0000002	NB625_RS01730	DR097_RS04675
OG0000003	NB625_RS01750, NB625_RS00510	DR097_RS04955
OG0000003	NB625_RS02310	DR097_RS04850
OG0000003	NB625_RS01830	DR097_RS03830
OG0000004	NB625_RS03355	DR097_RS01330
OG0000004	NB625_RS03370	DR097_RS01325
OG0000005	NB625_RS00100	DR097_RS02455
OG0000005	NB625_RS00125	DR097_RS04720
OG0000005	NB625_RS00105	DR097_RS02440
OG0000006	NB625_RS02650	DR097_RS04435
OG0000007	NB625_RS02315	DR097_RS03480
OG0000007	NB625_RS02325	DR097_RS03435
OG0000007	NB625_RS02305	DR097_RS03440
OG0000008	NB625_RS02660	DR097_RS03625
OG0000009	NB625_RS00085	DR097_RS02470
OG0000009	NB625_RS01005	DR097_RS01140
OG0000010	NB625_RS01850	DR097_RS02510, DR097_RS04755, DR097_RS04280, DR097_RS02420, DR097_RS02450
OG0000011	NB625_RS01950	DR097_RS00820
OG0000012	NB625_RS01865	DR097_RS03825
OG0000013	NB625_RS02545	DR097_RS02175
OG0000013	NB625_RS00190	DR097_RS03895
OG0000014	NB625_RS01085	DR097_RS03370
OG0000015	NB625_RS01580	DR097_RS02000
OG0000016	NB625_RS02995	DR097_RS01165
OG0000016	NB625_RS00175	DR097_RS00270
OG0000017	NB625_RS00160	DR097_RS00285
OG0000017	NB625_RS03005	DR097_RS01175
OG0000019	NB625_RS03185, NB625_RS03175, NB625_RS03195	DR097_RS03615
OG0000020	NB625_RS03695	DR097_RS04830
OG0000021	NB625_RS01755, NB625_RS01760	DR097_RS03390
OG0000022	NB625_RS01665	DR097_RS01895
OG0000022	NB625_RS01720	DR097_RS04680
OG0000023	NB625_RS01320	DR097_RS01710, DR097_RS02020
OG0000024	NB625_RS02905	DR097_RS01795
OG0000024	NB625_RS01275	DR097_RS00345
OG0000025	NB625_RS01670	DR097_RS04685
OG0000025	NB625_RS01715	DR097_RS01845
OG0000026	NB625_RS01365	DR097_RS01665
OG0000026	NB625_RS01695	DR097_RS01865
OG0000027	NB625_RS03505	DR097_RS02965
OG0000028	NB625_RS02565	DR097_RS02880, DR097_RS01995
OG0000029	NB625_RS00600	DR097_RS02335
OG0000030	NB625_RS03495	DR097_RS04775
OG0000031	NB625_RS02145	DR097_RS02075
OG0000031	NB625_RS01605	DR097_RS03120
OG0000032	NB625_RS01585	DR097_RS04795
OG0000033	NB625_RS02550	DR097_RS02885
OG0000034	NB625_RS02250	DR097_RS03640
OG0000034	NB625_RS02255	DR097_RS04475
OG0000036	NB625_RS00110	DR097_RS02435
OG0000036	NB625_RS00130	DR097_RS02415
OG0000037	NB625_RS01595	DR097_RS03100
OG0000039	NB625_RS01615	DR097_RS04950
OG0000040	NB625_RS03440	DR097_RS03560
OG0000041	NB625_RS01015	DR097_RS03645
OG0000042	NB625_RS03095	DR097_RS01265
OG0000043	NB625_RS01915	DR097_RS00855
OG0000044	NB625_RS01680	DR097_RS04900
OG0000045	NB625_RS01620	DR097_RS03525
OG0000046	NB625_RS03445	DR097_RS04785
OG0000047	NB625_RS02080	DR097_RS02010
OG0000048	NB625_RS02195	DR097_RS02830
OG0000049	NB625_RS03205	DR097_RS01470
OG0000050	NB625_RS02595	DR097_RS01960
OG0000051	NB625_RS02810	DR097_RS01545
OG0000052	NB625_RS00075	DR097_RS02480
OG0000053	NB625_RS01450	DR097_RS04845
OG0000054	NB625_RS02620	DR097_RS01935
OG0000055	NB625_RS00135	DR097_RS00305
OG0000056	NB625_RS03680	DR097_RS00545
OG0000057	NB625_RS03080	DR097_RS01250
OG0000058	NB625_RS02155	DR097_RS02085
OG0000058	NB625_RS02150	DR097_RS02080
OG0000059	NB625_RS02125	DR097_RS04190
OG0000061	NB625_RS01860	DR097_RS02500
OG0000062	NB625_RS03725	DR097_RS02590
OG0000063	NB625_RS03720	DR097_RS04735
OG0000064	NB625_RS03710	DR097_RS02605
OG0000065	NB625_RS02395	DR097_RS02745
OG0000066	NB625_RS01355	DR097_RS01675
OG0000067	NB625_RS00525	DR097_RS02405
OG0000068	NB625_RS01040	DR097_RS03055
OG0000069	NB625_RS02975	DR097_RS01725
OG0000070	NB625_RS02625	DR097_RS01930
OG0000071	NB625_RS03430	DR097_RS03575
OG0000072	NB625_RS03435	DR097_RS03580, DR097_RS04860
OG0000073	NB625_RS00980	DR097_RS01115
