Orthogroup	MHP_Ue273_proteins	MHP_4284_proteins
OG0000000	WP_347952487.1	WP_406823103.1
OG0000000	WP_347952456.1, WP_347952486.1	WP_406823272.1
OG0000001	WP_347952413.1	WP_406823250.1
OG0000001	WP_347952263.1	WP_240536609.1
OG0000001	WP_347952260.1	WP_406823154.1
OG0000002	WP_020835748.1	WP_258555377.1
OG0000002	WP_011206235.1	WP_160606963.1
OG0000002	WP_347952457.1	WP_406823273.1
OG0000003	WP_347952373.1	WP_406823224.1
OG0000003	WP_192894277.1	WP_406823281.1
OG0000004	WP_347952295.1	WP_406823181.1
OG0000004	WP_347952296.1	WP_406823182.1
OG0000004	WP_347952281.1, WP_347952279.1	WP_406823298.1
OG0000004	WP_347952275.1	WP_404924499.1
OG0000004	WP_347952277.1	WP_406823299.1
OG0000005	WP_347952342.1	WP_406823208.1
OG0000005	WP_347952345.1	WP_348571918.1
OG0000005	WP_347952343.1	WP_146379450.1
OG0000005	WP_146379451.1	WP_406823209.1
OG0000005	WP_347952346.1	WP_406823210.1
OG0000006	WP_347952241.1	WP_406823130.1
OG0000006	WP_347952227.1	WP_406823115.1
OG0000008	WP_347952220.1	WP_406823102.1
OG0000008	WP_347952490.1	WP_406823131.1
OG0000009	WP_041361519.1	WP_146379448.1
OG0000009	WP_011290021.1	WP_146379497.1
OG0000010	WP_347952475.1	WP_406823282.1
OG0000011	WP_347952482.1	WP_406823289.1
OG0000011	WP_347952481.1	WP_406823288.1
OG0000013	WP_347952233.1	WP_406823122.1
OG0000014	WP_347952382.1	WP_406823237.1
OG0000016	WP_347952265.1	WP_020835836.1
OG0000016	WP_347952351.1	WP_406823211.1
OG0000017	WP_243215933.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_347952278.1, WP_347952280.1	WP_406823174.1, WP_406823173.1
OG0000019	WP_347952282.1	WP_406823172.1
OG0000019	WP_347952276.1	WP_406823175.1
OG0000020	WP_347952330.1	WP_406823202.1
OG0000020	WP_347952331.1	WP_406823203.1
OG0000022	WP_347952446.1	WP_406823266.1
OG0000022	WP_347952455.1	WP_406823271.1
OG0000023	WP_347952417.1	WP_044272391.1
OG0000024	WP_160585687.1	WP_406823153.1
OG0000024	WP_347952412.1	WP_406823249.1
OG0000025	WP_347952447.1	WP_160607943.1
OG0000025	WP_347952453.1	WP_160606775.1
OG0000026	WP_347952418.1	WP_044284614.1
OG0000026	WP_011206159.1	WP_406823270.1
OG0000027	WP_347952308.1	WP_406823196.1
OG0000028	WP_347952235.1	WP_406823124.1
OG0000029	WP_347952396.1	WP_406823230.1
OG0000031	WP_011206142.1	WP_348572080.1
OG0000032	WP_347952437.1	WP_135618726.1
OG0000033	WP_347952234.1	WP_406823123.1
OG0000035	WP_347952297.1	WP_406823183.1
OG0000036	WP_347952344.1	WP_020835495.1
OG0000036	WP_347952347.1	WP_348571921.1
OG0000038	WP_347952461.1	WP_406823274.1
OG0000039	WP_347952442.1	WP_406823260.1
OG0000039	WP_347952441.1	WP_406823259.1
OG0000040	WP_347952301.1	WP_406823189.1
OG0000042	WP_347952269.1	WP_406823168.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000045	WP_160585827.1	WP_406823261.1
OG0000046	WP_347952303.1	WP_406823193.1
