Orthogroup	MFC_Ms42_proteins	MHP_UFV02_proteins
OG0000000	WP_318023896.1	WP_243216234.1
OG0000000	WP_236681787.1	WP_243216232.1
OG0000000	WP_236681772.1, WP_039387597.1	WP_308704548.1
OG0000000	WP_318023901.1	WP_243234990.1
OG0000001	WP_002557631.1	WP_243216044.1, WP_243216042.1, WP_228365393.1, WP_228366104.1, WP_243234992.1
OG0000002	WP_002557507.1	WP_237697200.1, WP_081430767.1
OG0000002	WP_002557987.1	WP_243216173.1
OG0000002	WP_002557503.1	WP_243216098.1
OG0000003	WP_039387603.1	WP_243216179.1
OG0000007	WP_002557994.1	WP_243216178.1
OG0000007	WP_002557993.1	WP_243216175.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_236681789.1	WP_243234963.1
OG0000011	WP_039387561.1	WP_160587900.1
OG0000011	WP_039387558.1	WP_243216150.1
OG0000013	WP_002557975.1, WP_051054340.1	WP_243216215.1
OG0000013	WP_002557887.1	WP_243215939.1
OG0000014	WP_002557587.1	WP_308704542.1, WP_243234962.1, WP_243234957.1
OG0000015	WP_039387716.1	WP_243216099.1
OG0000016	WP_002557621.1	WP_243216292.1
OG0000017	WP_002557881.1	WP_020835500.1
OG0000017	WP_144245598.1	WP_243216293.1
OG0000019	WP_039387670.1	WP_243235003.1
OG0000020	WP_002557491.1	WP_243215897.1
OG0000020	WP_002557490.1	WP_279288053.1
OG0000022	WP_002557501.1	WP_243216096.1
OG0000024	WP_236681781.1	WP_243216276.1, WP_243216040.1
OG0000025	WP_002557500.1	WP_243216095.1
OG0000026	WP_002557545.1	WP_044284614.1, WP_243216092.1
OG0000027	WP_002557970.1	WP_179221251.1
OG0000028	WP_002557653.1, WP_040538377.1	WP_243234986.1, WP_243234987.1
OG0000029	WP_002557588.1	WP_243234961.1, WP_243215981.1
OG0000030	WP_002557971.1	WP_243215857.1, WP_243215862.1
OG0000031	WP_002557676.1	WP_011290238.1
OG0000032	WP_231237886.1	WP_243215860.1
OG0000039	WP_160609261.1, WP_002557597.1	WP_179221095.1
OG0000040	WP_002557738.1, WP_201771013.1	WP_044272644.1
OG0000042	WP_002557596.1, WP_002557628.1	WP_243216302.1
OG0000043	WP_002557679.1	WP_243216108.1
OG0000045	WP_002557601.1	WP_243216072.1, WP_243216073.1
OG0000047	WP_155897261.1	WP_020835556.1
OG0000048	WP_039387763.1	WP_243216169.1
OG0000049	WP_231237870.1, WP_318023899.1	WP_011290363.1
OG0000050	WP_002557670.1	WP_243234988.1
OG0000051	WP_002557852.1	WP_243216261.1
OG0000052	WP_002557464.1	WP_094521536.1
OG0000053	WP_002557561.1	WP_243216057.1
OG0000054	WP_002557665.1	WP_243216226.1
OG0000055	WP_002557874.1, WP_323749063.1	WP_011205867.1
OG0000056	WP_081605276.1	WP_243215894.1
OG0000057	WP_231237864.1	WP_011290343.1
OG0000062	WP_002557486.1	WP_094521530.1
OG0000063	WP_002557487.1	WP_011206521.1
OG0000064	WP_002557489.1	WP_160615736.1
OG0000065	WP_002557517.1	WP_160601112.1
OG0000066	WP_002557543.1	WP_243216052.1
OG0000068	WP_002557593.1	WP_011206103.1
OG0000069	WP_002557626.1	WP_011284269.1
OG0000070	WP_002557663.1	WP_011206292.1
OG0000071	WP_002557736.1	WP_044272640.1
OG0000072	WP_002557737.1	WP_243216342.1
OG0000073	WP_039387630.1	WP_011206093.1
OG0000074	WP_236681775.1	WP_014579624.1
OG0000075	WP_002557918.1	WP_243215955.1
OG0000076	WP_002557921.1	WP_243215957.1
OG0000077	WP_002557937.1	WP_243215965.1
OG0000079	WP_002558020.1	WP_233688475.1
OG0000080	WP_002558011.1, WP_196792423.1	WP_179695988.1
OG0000081	WP_039387493.1	WP_243215952.1
OG0000082	WP_231237888.1	WP_243216212.1
OG0000083	WP_002557446.1	WP_014579823.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_002557452.1	WP_243216165.1
OG0000086	WP_002557454.1	WP_243216167.1
OG0000087	WP_236681783.1	WP_044272477.1
OG0000088	WP_002557458.1	WP_044272480.1
OG0000089	WP_002557461.1	WP_011206231.1
OG0000090	WP_002557465.1	WP_011283835.1
OG0000091	WP_002557468.1	WP_243215921.1
OG0000092	WP_002557471.1	WP_243215917.1
OG0000093	WP_002557472.1	WP_243215915.1
OG0000094	WP_002557473.1	WP_233688588.1
OG0000095	WP_002557479.1	WP_243215907.1
OG0000096	WP_002557480.1	WP_243215905.1
OG0000097	WP_002557483.1	WP_243235000.1
OG0000098	WP_002557485.1	WP_243215898.1
OG0000099	WP_002557494.1	WP_243215895.1
OG0000100	WP_002557496.1	WP_243215892.1
OG0000101	WP_002557497.1	WP_243215891.1
OG0000102	WP_002557499.1	WP_243216094.1
OG0000103	WP_002557509.1	WP_243216182.1
OG0000104	WP_002557510.1	WP_011206239.1
OG0000105	WP_002557514.1	WP_135618882.1
OG0000106	WP_002557516.1	WP_243216184.1
OG0000107	WP_002557518.1	WP_011284169.1
OG0000108	WP_002557519.1	WP_179696020.1
OG0000109	WP_002557520.1	WP_243216186.1
OG0000110	WP_002557522.1	WP_243216208.1
OG0000111	WP_002557523.1	WP_243216207.1
OG0000112	WP_002557525.1	WP_243216205.1
OG0000113	WP_002557528.1	WP_020835765.1
OG0000114	WP_002557530.1	WP_243216202.1
OG0000115	WP_002557532.1	WP_014579859.1
OG0000116	WP_002557534.1	WP_243216047.1
OG0000117	WP_002557535.1	WP_243216048.1
OG0000118	WP_002557540.1	WP_228729171.1
OG0000119	WP_002557541.1	WP_179696055.1
OG0000120	WP_002557544.1	WP_011284027.1
OG0000121	WP_002557548.1	WP_011284032.1
OG0000122	WP_002557549.1	WP_011205958.1
OG0000123	WP_002557553.1	WP_243216054.1
OG0000124	WP_002557554.1	WP_011205953.1
OG0000125	WP_002557555.1	WP_011205952.1
OG0000126	WP_002557557.1	WP_011205950.1
OG0000127	WP_002557559.1	WP_011290122.1
OG0000128	WP_002557562.1	WP_243216059.1
OG0000129	WP_002557563.1	WP_014579732.1
OG0000130	WP_002557565.1	WP_011284046.1
OG0000131	WP_002557566.1	WP_160588225.1
OG0000132	WP_002557569.1	WP_135618714.1
OG0000133	WP_002557574.1	WP_014579589.1
OG0000134	WP_002557575.1	WP_020835541.1
OG0000135	WP_002557577.1	WP_011206120.1
OG0000136	WP_002557578.1	WP_011206119.1
OG0000137	WP_002557585.1	WP_011206113.1
OG0000138	WP_002557590.1	WP_135618563.1
OG0000139	WP_002557594.1	WP_011206102.1
OG0000140	WP_002557595.1	WP_243215985.1
OG0000141	WP_002557602.1	WP_011284290.1
