Orthogroup	MHP_UFV02_genes	MHP_154B_genes
OG0000000	FEF31_RS01935	NB624_RS02330
OG0000000	FEF31_RS01875	NB624_RS02230
OG0000000	FEF31_RS04515	NB624_RS02325
OG0000000	FEF31_RS01380	NB624_RS01720
OG0000000	FEF31_RS01385	NB624_RS01725
OG0000001	FEF31_RS00940	NB624_RS01275, NB624_RS01270
OG0000001	FEF31_RS02540	NB624_RS02960
OG0000001	FEF31_RS02490	NB624_RS02915
OG0000002	FEF31_RS01945	NB624_RS02340
OG0000002	FEF31_RS04505	NB624_RS02245
OG0000002	FEF31_RS04455	NB624_RS01730
OG0000003	FEF31_RS04365	NB624_RS01750, NB624_RS00505
OG0000003	FEF31_RS01590	NB624_RS01835
OG0000004	FEF31_RS03760	NB624_RS03355
OG0000005	FEF31_RS03370	NB624_RS00100
OG0000005	FEF31_RS03380	NB624_RS00105
OG0000006	FEF31_RS02090	NB624_RS02645
OG0000006	FEF31_RS02060	NB624_RS02465
OG0000007	FEF31_RS01915	NB624_RS02305
OG0000008	FEF31_RS02050	NB624_RS02450
OG0000008	FEF31_RS01300	NB624_RS01625, NB624_RS01635
OG0000008	FEF31_RS02250	NB624_RS02665
OG0000009	FEF31_RS00325	NB624_RS01015
OG0000009	FEF31_RS00335	NB624_RS01000
OG0000010	FEF31_RS01600, FEF31_RS01225, FEF31_RS04440	NB624_RS01855
OG0000011	FEF31_RS01695	NB624_RS01955
OG0000011	FEF31_RS01690	NB624_RS01950
OG0000012	FEF31_RS02235	NB624_RS02895, NB624_RS01075
OG0000013	FEF31_RS02135	NB624_RS02540
OG0000013	FEF31_RS03455	NB624_RS00185
OG0000014	FEF31_RS00255	NB624_RS00595
OG0000014	FEF31_RS00745	NB624_RS01090
OG0000014	FEF31_RS04375	NB624_RS01080
OG0000015	FEF31_RS01295	NB624_RS01620
OG0000016	FEF31_RS02580	NB624_RS03000
OG0000016	FEF31_RS03440	NB624_RS00170
OG0000017	FEF31_RS03425	NB624_RS00155
OG0000017	FEF31_RS02590	NB624_RS03010
OG0000020	FEF31_RS03220	NB624_RS03690
