#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000002:129495-131291|- -            599 501at2085            -            526  5.4e-249  822.6   9.1   1   1  8.8e-251  1.1e-248  821.6   9.1     1   526     1   594     1   594 0.93 scf00000002_125 # 129495 # 131291 # -1 # ID=3_125;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343
scf00000002:126078-128162|+ -            695 501at2085            -            526   6.3e-47  155.9   1.2   1   4   2.1e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000002_123 # 126078 # 128162 # 1 # ID=3_123;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000002:126078-128162|+ -            695 501at2085            -            526   6.3e-47  155.9   1.2   2   4      0.64        80   -2.9   0.0   155   173   263   281   256   293 0.80 scf00000002_123 # 126078 # 128162 # 1 # ID=3_123;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000002:126078-128162|+ -            695 501at2085            -            526   6.3e-47  155.9   1.2   3   4   7.2e-12   9.1e-10   33.2   0.1   170   339   301   485   289   498 0.69 scf00000002_123 # 126078 # 128162 # 1 # ID=3_123;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000002:126078-128162|+ -            695 501at2085            -            526   6.3e-47  155.9   1.2   4   4    0.0032       0.4    4.7   0.0   350   411   607   675   595   691 0.78 scf00000002_123 # 126078 # 128162 # 1 # ID=3_123;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:17011-18810|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   1   3   2.1e-21   2.6e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000000_17 # 17011 # 18810 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:17011-18810|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   2   3      0.68        85   -3.0   0.6   135   181   388   434   377   452 0.72 scf00000000_17 # 17011 # 18810 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:17011-18810|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   3   3      0.41        51   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000000_17 # 17011 # 18810 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000003:68857-70656|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   1   3   2.1e-21   2.6e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000003_54 # 68857 # 70656 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000003:68857-70656|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   2   3      0.68        85   -3.0   0.6   135   181   388   434   377   452 0.72 scf00000003_54 # 68857 # 70656 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000003:68857-70656|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   3   3      0.41        51   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000003_54 # 68857 # 70656 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000003:9185-10393|-    -            403 501at2085            -            526   2.1e-18   61.7   2.9   1   2   4.4e-20   5.6e-18   60.3   0.2     8   140    20   155    14   168 0.88 scf00000003_4 # 9185 # 10393 # -1 # ID=4_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.401
scf00000003:9185-10393|-    -            403 501at2085            -            526   2.1e-18   61.7   2.9   2   2     0.028       3.5    1.6   0.2   161   256   205   309   194   325 0.67 scf00000003_4 # 9185 # 10393 # -1 # ID=4_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.401
scf00000002:131849-133150|- -            434 501at2085            -            526   1.5e-13   45.7   0.6   1   2   4.4e-06   0.00055   14.2   0.1    62   180    45   170    35   173 0.76 scf00000002_128 # 131849 # 133150 # -1 # ID=3_128;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
scf00000002:131849-133150|- -            434 501at2085            -            526   1.5e-13   45.7   0.6   2   2   7.8e-11   9.8e-09   29.8   0.1    78   168   238   340   214   363 0.81 scf00000002_128 # 131849 # 133150 # -1 # ID=3_128;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
