Orthogroup	MFC_MF29_proteins	MFC_Ms42_proteins
OG0000000	WP_160581495.1	WP_318023896.1
OG0000000	WP_308704665.1	WP_236681788.1
OG0000000	WP_308704667.1	WP_236681786.1
OG0000000	WP_160581134.1	WP_318023901.1
OG0000001	WP_039387745.1, WP_160580916.1	WP_002557631.1
OG0000002	WP_160581434.1	WP_002557696.1
OG0000002	WP_160581489.1	WP_002557987.1
OG0000002	WP_160581136.1	WP_002557503.1
OG0000003	WP_160581478.1	WP_039387603.1
OG0000007	WP_160581480.1	WP_002557994.1
OG0000007	WP_160581482.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_220200574.1	WP_236681789.1
OG0000011	WP_220200593.1, WP_258555793.1	WP_039387561.1
OG0000011	WP_308704663.1	WP_039387558.1
OG0000013	WP_160580981.1	WP_002557975.1
OG0000013	WP_160580979.1	WP_051054340.1
OG0000013	WP_258555762.1	WP_002557887.1
OG0000014	WP_220200543.1	WP_002557587.1
OG0000015	WP_020835561.1	WP_039387716.1
OG0000016	WP_160580902.1	WP_002557621.1
OG0000016	WP_160581063.1	WP_002557884.1
OG0000017	WP_160581069.1	WP_002557881.1
OG0000017	WP_160580898.1	WP_144245598.1
OG0000018	WP_160581182.1	WP_002557538.1
OG0000019	WP_160581493.1	WP_039387667.1
OG0000020	WP_160581116.1	WP_002557491.1
OG0000020	WP_220200556.1	WP_002557490.1
OG0000022	WP_160581132.1	WP_002557501.1
OG0000023	WP_160581180.1	WP_002557537.1
OG0000023	WP_160581288.1	WP_002557747.1
OG0000024	WP_231237865.1	WP_236681781.1
OG0000025	WP_160581130.1	WP_002557500.1
OG0000026	WP_160581190.1	WP_002557545.1
OG0000027	WP_160581395.1	WP_002557970.1
OG0000028	WP_160580985.1	WP_002557653.1
OG0000029	WP_160580866.1	WP_002557588.1
OG0000030	WP_160581397.1	WP_002557971.1
OG0000031	WP_011290238.1, WP_160581412.1	WP_002557676.1
OG0000033	WP_160580987.1, WP_220200549.1	WP_052234584.1
OG0000039	WP_160580876.1	WP_160609261.1, WP_002557597.1
OG0000040	WP_160581286.1	WP_002557738.1
OG0000040	WP_308704648.1	WP_201771013.1
OG0000042	WP_160580874.1	WP_002557596.1
OG0000042	WP_160580909.1	WP_002557628.1
OG0000043	WP_160581230.1, WP_160581416.1	WP_002557679.1
OG0000045	WP_255454455.1, WP_255454456.1	WP_002557601.1
OG0000047	WP_155897261.1	WP_155897261.1
OG0000048	WP_308704664.1, WP_160581439.1	WP_039387763.1
OG0000049	WP_308704657.1	WP_231237870.1, WP_318023899.1
OG0000050	WP_160581404.1	WP_002557670.1
OG0000051	WP_160581217.1	WP_002557852.1
OG0000052	WP_002557464.1	WP_002557464.1
OG0000053	WP_220200596.1	WP_002557561.1
OG0000054	WP_160580989.1	WP_002557665.1
OG0000055	WP_308704649.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_160581124.1	WP_081605276.1
OG0000057	WP_258555750.1	WP_231237864.1
OG0000062	WP_160581109.1	WP_002557486.1
OG0000063	WP_160581110.1	WP_002557487.1
OG0000064	WP_160581114.1	WP_002557489.1
OG0000065	WP_002557517.1	WP_002557517.1
OG0000066	WP_002557543.1	WP_002557543.1
OG0000067	WP_160580850.1	WP_002557573.1
OG0000068	WP_002557593.1	WP_002557593.1
OG0000069	WP_002557626.1	WP_002557626.1
OG0000070	WP_002557663.1	WP_002557663.1
OG0000071	WP_160581282.1	WP_002557736.1
OG0000072	WP_160581284.1	WP_002557737.1
OG0000073	WP_039387630.1	WP_039387630.1
OG0000074	WP_308704661.1	WP_236681775.1
OG0000075	WP_160581028.1	WP_002557918.1
OG0000076	WP_160581024.1	WP_002557921.1
OG0000077	WP_160581009.1	WP_002557937.1
OG0000078	WP_160580948.1	WP_002557996.1
OG0000079	WP_160580968.1	WP_002558020.1
