Orthogroup	MFC_MF29_genes	MHP_168L_genes
OG0000000	DR095_RS03080	MHP168L_RS02190
OG0000001	DR095_RS00305, DR095_RS00300	MHP168L_RS01370, MHP168L_RS03950, MHP168L_RS02830, MHP168L_RS02780, MHP168L_RS02785
OG0000002	DR095_RS03820	MHP168L_RS01710
OG0000008	DR095_RS03220	MHP168L_RS01795
OG0000011	DR095_RS03240, DR095_RS03235	MHP168L_RS03995, MHP168L_RS03990
OG0000011	DR095_RS03230	MHP168L_RS02035
OG0000013	DR095_RS00580, DR095_RS00575	MHP168L_RS02430
OG0000013	DR095_RS03215	MHP168L_RS03905
OG0000014	DR095_RS03760	MHP168L_RS01070, MHP168L_RS01055
OG0000015	DR095_RS01695	MHP168L_RS01270
OG0000016	DR095_RS00250	MHP168L_RS02870
OG0000017	DR095_RS01000	MHP168L_RS00135
OG0000017	DR095_RS00240	MHP168L_RS02880
OG0000018	DR095_RS03850	MHP168L_RS01250
OG0000018	DR095_RS03835	MHP168L_RS04065, MHP168L_RS04060
OG0000020	DR095_RS03810	MHP168L_RS03590
OG0000020	DR095_RS03805	MHP168L_RS03595
OG0000022	DR095_RS03815	MHP168L_RS01725
OG0000023	DR095_RS03490	MHP168L_RS03930
OG0000023	DR095_RS01955	MHP168L_RS03545
OG0000024	DR095_RS00310	MHP168L_RS02775, MHP168L_RS03940, MHP168L_RS03945
OG0000025	DR095_RS01230	MHP168L_RS01730
OG0000026	DR095_RS01450	MHP168L_RS01455, MHP168L_RS01750
OG0000027	DR095_RS03960	MHP168L_RS03345
OG0000028	DR095_RS00595	MHP168L_RS02445, MHP168L_RS02440
OG0000029	DR095_RS00085	MHP168L_RS00580, MHP168L_RS01050
OG0000030	DR095_RS03965	MHP168L_RS03325, MHP168L_RS03340
OG0000031	DR095_RS01640	MHP168L_RS01215
OG0000031	DR095_RS02710	MHP168L_RS01830
OG0000039	DR095_RS00145	MHP168L_RS01815
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	MHP168L_RS03275
OG0000042	DR095_RS00140, DR095_RS00285	MHP168L_RS02970
OG0000043	DR095_RS01635, DR095_RS02735	MHP168L_RS01210
OG0000045	DR095_RS03295, DR095_RS03300	MHP168L_RS01810
OG0000047	DR095_RS03200	MHP168L_RS01235
OG0000048	DR095_RS03095, DR095_RS02830	MHP168L_RS02210
OG0000050	DR095_RS03970	MHP168L_RS02475
OG0000051	DR095_RS01545	MHP168L_RS04035
OG0000052	DR095_RS01040	MHP168L_RS00075
OG0000053	DR095_RS03995, DR095_RS01535	MHP168L_RS01540
OG0000054	DR095_RS00625	MHP168L_RS02500
OG0000055	DR095_RS01035	MHP168L_RS00115
OG0000056	DR095_RS01205	MHP168L_RS03515
OG0000057	DR095_RS00165	MHP168L_RS02955
OG0000058	DR095_RS01620	MHP168L_RS01190
OG0000059	DR095_RS03480	MHP168L_RS01205
OG0000062	DR095_RS01150	MHP168L_RS03630
OG0000063	DR095_RS01155	MHP168L_RS03625
OG0000064	DR095_RS01165	MHP168L_RS03615
OG0000065	DR095_RS01310	MHP168L_RS04005
OG0000066	DR095_RS01440	MHP168L_RS01445
OG0000068	DR095_RS00120	MHP168L_RS04135
OG0000069	DR095_RS00275	MHP168L_RS02845
OG0000070	DR095_RS00605	MHP168L_RS02505
OG0000071	DR095_RS01935	MHP168L_RS03265
OG0000072	DR095_RS03885	MHP168L_RS03270
OG0000073	DR095_RS02080	MHP168L_RS00955
OG0000074	DR095_RS03915	MHP168L_RS00765
OG0000075	DR095_RS00815	MHP168L_RS00320
OG0000076	DR095_RS00800	MHP168L_RS00335
OG0000077	DR095_RS00715	MHP168L_RS00425
OG0000078	DR095_RS00415	MHP168L_RS01760
OG0000079	DR095_RS00525	MHP168L_RS02590
OG0000080	DR095_RS03375	MHP168L_RS03895
OG0000081	DR095_RS00820	MHP168L_RS00315
OG0000082	DR095_RS00585	MHP168L_RS04015, MHP168L_RS04020
OG0000083	DR095_RS03045	MHP168L_RS02110
OG0000084	DR095_RS02880	MHP168L_RS02265
OG0000085	DR095_RS02875	MHP168L_RS02260
OG0000086	DR095_RS03990	MHP168L_RS02250
