Orthogroup	MHP_MHP650_genes	MHP_Ue273_genes
OG0000000	DR083_RS02765	VQY17_RS02200
OG0000001	DR083_RS04075	VQY17_RS01300
OG0000001	DR083_RS00590	VQY17_RS02775
OG0000001	DR083_RS00540, DR083_RS00545	VQY17_RS02730
OG0000002	DR083_RS04320	VQY17_RS02210, VQY17_RS02205
OG0000002	DR083_RS04760	VQY17_RS01780
OG0000003	DR083_RS04940	VQY17_RS00505
OG0000003	DR083_RS03840	VQY17_RS01910
OG0000004	DR083_RS03460	VQY17_RS03190
OG0000004	DR083_RS01645	VQY17_RS03025, VQY17_RS03005
OG0000005	DR083_RS03065	VQY17_RS00100
OG0000005	DR083_RS03050	VQY17_RS00105
OG0000005	DR083_RS04870	VQY17_RS00110, VQY17_RS00125
OG0000006	DR083_RS04420	VQY17_RS02495
OG0000008	DR083_RS04510	VQY17_RS02320
OG0000008	DR083_RS04540	VQY17_RS02500
OG0000009	DR083_RS01225	VQY17_RS00665
OG0000009	DR083_RS05040	VQY17_RS00085
OG0000009	DR083_RS01240	VQY17_RS00680
OG0000010	DR083_RS02305	VQY17_RS01920
OG0000010	DR083_RS04910	VQY17_RS01580
OG0000011	DR083_RS01555	VQY17_RS02025
OG0000011	DR083_RS01550	VQY17_RS02020
OG0000013	DR083_RS05105	VQY17_RS02405
OG0000013	DR083_RS03885	VQY17_RS00185
OG0000014	DR083_RS04890	VQY17_RS00605
OG0000016	DR083_RS00630	VQY17_RS02820
OG0000016	DR083_RS00040	VQY17_RS00170
OG0000017	DR083_RS00025	VQY17_RS00155
OG0000017	DR083_RS00640	VQY17_RS02830
OG0000019	DR083_RS04180	VQY17_RS02990
OG0000020	DR083_RS04635	VQY17_RS03550
OG0000020	DR083_RS04640	VQY17_RS03555
OG0000022	DR083_RS02055	VQY17_RS01695
OG0000022	DR083_RS04755	VQY17_RS01765
OG0000024	DR083_RS03365	VQY17_RS02725
OG0000024	DR083_RS01215	VQY17_RS01295
OG0000025	DR083_RS04750	VQY17_RS01700
OG0000025	DR083_RS02105	VQY17_RS01755
OG0000026	DR083_RS01120	VQY17_RS01380
OG0000026	DR083_RS02085	VQY17_RS01735
OG0000027	DR083_RS02995	VQY17_RS03330
OG0000027	DR083_RS04880	VQY17_RS03350
OG0000028	DR083_RS00320	VQY17_RS02415
OG0000029	DR083_RS02525	VQY17_RS01115
OG0000029	DR083_RS03325	VQY17_RS00610
OG0000030	DR083_RS04885	VQY17_RS03345
OG0000032	DR083_RS03590	VQY17_RS01610
OG0000032	DR083_RS03215	VQY17_RS03340
OG0000035	DR083_RS03445	VQY17_RS03200
OG0000036	DR083_RS03040	VQY17_RS00115, VQY17_RS00130
OG0000037	DR083_RS04925	VQY17_RS01620
OG0000039	DR083_RS03505	VQY17_RS01645
OG0000040	DR083_RS02780	VQY17_RS03270
OG0000041	DR083_RS01230	VQY17_RS00670
OG0000042	DR083_RS00730	VQY17_RS02925, VQY17_RS02920
OG0000043	DR083_RS01520	VQY17_RS01990
OG0000044	DR083_RS04960	VQY17_RS01710
OG0000045	DR083_RS03515	VQY17_RS01655
OG0000046	DR083_RS04815	VQY17_RS03285
OG0000047	DR083_RS02945	VQY17_RS01605
OG0000048	DR083_RS02860	VQY17_RS02180
OG0000049	DR083_RS01660	VQY17_RS03040
OG0000050	DR083_RS00350	VQY17_RS02445
OG0000051	DR083_RS02195	VQY17_RS02645
OG0000052	DR083_RS02690	VQY17_RS00075
OG0000053	DR083_RS04665	VQY17_RS01470
OG0000054	DR083_RS00375	VQY17_RS02470
OG0000055	DR083_RS00005	VQY17_RS00135
OG0000056	DR083_RS00815	VQY17_RS03535
OG0000057	DR083_RS03975, DR083_RS03980	VQY17_RS02900, VQY17_RS02905
OG0000060	DR083_RS02685	VQY17_RS00080
OG0000061	DR083_RS02315	VQY17_RS01930
OG0000062	DR083_RS00865	VQY17_RS03585
OG0000063	DR083_RS04645	VQY17_RS03580
OG0000064	DR083_RS00850	VQY17_RS03570
OG0000065	DR083_RS02715	VQY17_RS02255
OG0000066	DR083_RS01130	VQY17_RS01370
OG0000067	DR083_RS02350	VQY17_RS00525
OG0000068	DR083_RS03160	VQY17_RS00645
OG0000069	DR083_RS00605	VQY17_RS02795
OG0000070	DR083_RS00380	VQY17_RS02475
OG0000071	DR083_RS02790	VQY17_RS03260
OG0000072	DR083_RS04820	VQY17_RS03265
OG0000073	DR083_RS01265	VQY17_RS00705
OG0000074	DR083_RS04700	VQY17_RS00910
OG0000075	DR083_RS00220	VQY17_RS00345
OG0000076	DR083_RS00235	VQY17_RS00360
OG0000077	DR083_RS03235	VQY17_RS00445
OG0000078	DR083_RS02075	VQY17_RS01715
OG0000079	DR083_RS01845	VQY17_RS02550
OG0000080	DR083_RS04190	VQY17_RS02595
OG0000081	DR083_RS00215	VQY17_RS00340
OG0000083	DR083_RS01625	VQY17_RS02095
OG0000084	DR083_RS02910	VQY17_RS02125
OG0000085	DR083_RS02905	VQY17_RS02135
OG0000086	DR083_RS02895	VQY17_RS02145
OG0000087	DR083_RS02880	VQY17_RS02160
OG0000088	DR083_RS02875	VQY17_RS02165
OG0000089	DR083_RS02865	VQY17_RS02175
OG0000090	DR083_RS02695	VQY17_RS00070
OG0000091	DR083_RS00955	VQY17_RS00055
OG0000092	DR083_RS00940	VQY17_RS00040
OG0000093	DR083_RS00935	VQY17_RS00035
OG0000094	DR083_RS00930	VQY17_RS00030
OG0000095	DR083_RS00905	VQY17_RS00005
OG0000096	DR083_RS00900	VQY17_RS03620
OG0000097	DR083_RS00880	VQY17_RS03600
OG0000098	DR083_RS00870	VQY17_RS03590
OG0000099	DR083_RS04630	VQY17_RS03540
OG0000100	DR083_RS00805	VQY17_RS03525
OG0000101	DR083_RS00800	VQY17_RS03520
OG0000102	DR083_RS02100	VQY17_RS01750
OG0000103	DR083_RS02750	VQY17_RS02220
OG0000104	DR083_RS02745	VQY17_RS02225
OG0000105	DR083_RS02730	VQY17_RS02240
OG0000106	DR083_RS02720	VQY17_RS02250
OG0000107	DR083_RS02710	VQY17_RS02260
OG0000108	DR083_RS02705	VQY17_RS02265
OG0000109	DR083_RS02700	VQY17_RS02270
OG0000110	DR083_RS03140	VQY17_RS02390
OG0000111	DR083_RS03135	VQY17_RS02385
OG0000112	DR083_RS03125	VQY17_RS02375
OG0000113	DR083_RS03315	VQY17_RS02355
OG0000114	DR083_RS03305	VQY17_RS02345
OG0000115	DR083_RS03290	VQY17_RS02335
OG0000116	DR083_RS01185	VQY17_RS01315
OG0000117	DR083_RS01180	VQY17_RS01320
OG0000118	DR083_RS01145	VQY17_RS01355
OG0000119	DR083_RS01140	VQY17_RS01360
OG0000120	DR083_RS01125	VQY17_RS01375
OG0000121	DR083_RS01100	VQY17_RS01405
OG0000122	DR083_RS01095	VQY17_RS01410
OG0000123	DR083_RS01075	VQY17_RS01430
OG0000124	DR083_RS01070	VQY17_RS01435
OG0000125	DR083_RS01065	VQY17_RS01440
OG0000126	DR083_RS01055	VQY17_RS01455
OG0000127	DR083_RS01045	VQY17_RS01460
OG0000128	DR083_RS01030	VQY17_RS01475
OG0000129	DR083_RS01025	VQY17_RS01480
OG0000130	DR083_RS01015	VQY17_RS01490
OG0000131	DR083_RS00985	VQY17_RS01520
OG0000132	DR083_RS04660	VQY17_RS01535
OG0000133	DR083_RS02355	VQY17_RS00530
OG0000134	DR083_RS04790	VQY17_RS00535
OG0000135	DR083_RS02375	VQY17_RS00550
OG0000136	DR083_RS02380	VQY17_RS00555
OG0000137	DR083_RS02420	VQY17_RS00595
OG0000138	DR083_RS03185	VQY17_RS00620
OG0000139	DR083_RS03155	VQY17_RS00650
OG0000140	DR083_RS03150	VQY17_RS00655
OG0000141	DR083_RS00725	VQY17_RS02915
OG0000142	DR083_RS04625	VQY17_RS02910
OG0000143	DR083_RS00695	VQY17_RS02885
OG0000144	DR083_RS00685	VQY17_RS02875
OG0000145	DR083_RS00675	VQY17_RS02865
OG0000146	DR083_RS00665	VQY17_RS02855
OG0000147	DR083_RS00660	VQY17_RS02850
OG0000148	DR083_RS00645	VQY17_RS02835
OG0000149	DR083_RS00635	VQY17_RS02825
OG0000150	DR083_RS00620	VQY17_RS02810
OG0000151	DR083_RS00575	VQY17_RS02760
OG0000152	DR083_RS00570	VQY17_RS02755
OG0000153	DR083_RS00565	VQY17_RS02750
OG0000154	DR083_RS00555	VQY17_RS02740
OG0000155	DR083_RS03340	VQY17_RS02705
OG0000156	DR083_RS02140	VQY17_RS02695
OG0000157	DR083_RS04765	VQY17_RS02690
OG0000158	DR083_RS04770	VQY17_RS02680
OG0000159	DR083_RS04945	VQY17_RS02460
OG0000160	DR083_RS00360	VQY17_RS02455
OG0000161	DR083_RS00355	VQY17_RS02450
OG0000162	DR083_RS00345	VQY17_RS02440
OG0000163	DR083_RS00340	VQY17_RS02435
OG0000164	DR083_RS03555	VQY17_RS01640
OG0000165	DR083_RS01545	VQY17_RS02015
OG0000166	DR083_RS01565	VQY17_RS02035
OG0000167	DR083_RS01580	VQY17_RS02050
OG0000168	DR083_RS01585	VQY17_RS02055
