Orthogroup	MHP_ES2_genes	MHP_7422_genes
OG0000000	E5E95_RS02240	MHL_RS02190
OG0000000	E5E95_RS04075	MHL_RS03905
OG0000000	E5E95_RS02430	MHL_RS02380
OG0000000	E5E95_RS04240	MHL_RS04190
OG0000000	E5E95_RS04235, E5E95_RS01835	MHL_RS03710
OG0000001	E5E95_RS01300	MHL_RS03980
OG0000001	E5E95_RS03000	MHL_RS02845
OG0000001	E5E95_RS04150	MHL_RS04080
OG0000002	E5E95_RS02320	MHL_RS04055
OG0000002	E5E95_RS02250	MHL_RS02195
OG0000002	E5E95_RS01840	MHL_RS01800
OG0000003	E5E95_RS01870	MHL_RS01875
OG0000003	E5E95_RS04070	MHL_RS02255
OG0000003	E5E95_RS03910	MHL_RS03835
OG0000004	E5E95_RS03410	MHL_RS03205
OG0000004	E5E95_RS03425	MHL_RS03215
OG0000005	E5E95_RS00090	MHL_RS00105
OG0000005	E5E95_RS00110	MHL_RS00125
OG0000005	E5E95_RS00095	MHL_RS04205
OG0000005	E5E95_RS00100	MHL_RS00115
OG0000005	E5E95_RS00115	MHL_RS00130
OG0000006	E5E95_RS02705	MHL_RS03635
OG0000006	E5E95_RS02445, E5E95_RS04120, E5E95_RS04115	MHL_RS02420
OG0000007	E5E95_RS02300	MHL_RS02250
OG0000007	E5E95_RS02295	MHL_RS02245
OG0000007	E5E95_RS02290	MHL_RS02240
OG0000008	E5E95_RS03925, E5E95_RS04080	MHL_RS02375
OG0000008	E5E95_RS03905	MHL_RS04180
OG0000008	E5E95_RS03930, E5E95_RS04135	MHL_RS04065
OG0000009	E5E95_RS00665	MHL_RS00755
OG0000009	E5E95_RS00680	MHL_RS00770
OG0000010	E5E95_RS01970	MHL_RS01930
OG0000011	E5E95_RS02070	MHL_RS04185
OG0000011	E5E95_RS02060	MHL_RS02020
OG0000013	E5E95_RS02610	MHL_RS02470
OG0000013	E5E95_RS03955	MHL_RS03925
OG0000014	E5E95_RS00595	MHL_RS00590
OG0000014	E5E95_RS01105	MHL_RS01170
OG0000014	E5E95_RS00605	MHL_RS00695
OG0000015	E5E95_RS01745	MHL_RS01645
OG0000015	E5E95_RS02450	MHL_RS01720
OG0000016	E5E95_RS03040	MHL_RS02885
OG0000016	E5E95_RS00160	MHL_RS00175
OG0000017	E5E95_RS00145	MHL_RS00160
OG0000017	E5E95_RS03050	MHL_RS02895
OG0000020	E5E95_RS03770	MHL_RS03545
OG0000021	E5E95_RS01875	MHL_RS01835
OG0000022	E5E95_RS01770	MHL_RS01740
OG0000022	E5E95_RS01825	MHL_RS01790
OG0000024	E5E95_RS02945	MHL_RS02790
OG0000024	E5E95_RS01290	MHL_RS01355
OG0000025	E5E95_RS01775	MHL_RS01745
OG0000025	E5E95_RS01820	MHL_RS01785
OG0000026	E5E95_RS01380	MHL_RS01445
OG0000027	E5E95_RS03560	MHL_RS03755
OG0000027	E5E95_RS03575	MHL_RS03360
OG0000028	E5E95_RS02620	MHL_RS02480
OG0000029	E5E95_RS01100	MHL_RS01165
OG0000029	E5E95_RS00610	MHL_RS00700
OG0000030	E5E95_RS03550	MHL_RS03335
OG0000030	E5E95_RS03570	MHL_RS03355
OG0000032	E5E95_RS03995	MHL_RS04000
OG0000032	E5E95_RS03565	MHL_RS03350
OG0000034	E5E95_RS04045	MHL_RS04045
OG0000035	E5E95_RS03405	MHL_RS03210
OG0000035	E5E95_RS03395	MHL_RS03195
OG0000036	E5E95_RS00105	MHL_RS00120
OG0000036	E5E95_RS00120	MHL_RS00135
OG0000038	E5E95_RS01910	MHL_RS01870
OG0000039	E5E95_RS01650, E5E95_RS01645	MHL_RS01705
OG0000041	E5E95_RS00670	MHL_RS00760
OG0000042	E5E95_RS03140	MHL_RS02985
OG0000043	E5E95_RS02030	MHL_RS01990
OG0000043	E5E95_RS02030	MHL_RS00625
OG0000044	E5E95_RS04290	MHL_RS04220
OG0000045	E5E95_RS01655	MHL_RS01710
OG0000046	E5E95_RS03505	MHL_RS04100
OG0000047	E5E95_RS04090	MHL_RS01655
OG0000048	E5E95_RS02215	MHL_RS02170
OG0000049	E5E95_RS03260	MHL_RS03060
OG0000050	E5E95_RS02655	MHL_RS02510
OG0000052	E5E95_RS00075	MHL_RS00080
OG0000053	E5E95_RS01465	MHL_RS01530
OG0000054	E5E95_RS02680	MHL_RS02535
OG0000055	E5E95_RS00125	MHL_RS00140
OG0000056	E5E95_RS03750	MHL_RS03530
OG0000057	E5E95_RS03125	MHL_RS02970
OG0000058	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530	MHL_RS00610
OG0000059	E5E95_RS02510	MHL_RS00620
OG0000060	E5E95_RS00080	MHL_RS04115
OG0000061	E5E95_RS01980	MHL_RS01940
OG0000062	E5E95_RS03805	MHL_RS03580
OG0000063	E5E95_RS03800	MHL_RS03575
OG0000064	E5E95_RS03790	MHL_RS03565
OG0000065	E5E95_RS02365	MHL_RS02310
OG0000066	E5E95_RS01370	MHL_RS01435
OG0000067	E5E95_RS00525	MHL_RS00525
OG0000068	E5E95_RS00645	MHL_RS00735
OG0000069	E5E95_RS03015	MHL_RS02860
OG0000070	E5E95_RS02685	MHL_RS02540
OG0000071	E5E95_RS03485	MHL_RS03275
