Orthogroup	MHP_UFV02_genes	MHP_98_genes
OG0000000	FEF31_RS01935	GOM18_RS02340
OG0000000	FEF31_RS01860	GOM18_RS04045
OG0000000	FEF31_RS02055	GOM18_RS04450
OG0000000	FEF31_RS01380, FEF31_RS01385	GOM18_RS03685
OG0000001	FEF31_RS00940	GOM18_RS03240
OG0000001	FEF31_RS00935	GOM18_RS03230
OG0000001	FEF31_RS02540	GOM18_RS03125
OG0000001	FEF31_RS02490	GOM18_RS04125
OG0000002	FEF31_RS01945	GOM18_RS02350
OG0000002	FEF31_RS01940	GOM18_RS02345
OG0000002	FEF31_RS04455	GOM18_RS04550
OG0000003	FEF31_RS01515	GOM18_RS03520
OG0000003	FEF31_RS04365	GOM18_RS03425
OG0000003	FEF31_RS01590	GOM18_RS03375
OG0000004	FEF31_RS03760	GOM18_RS00895
OG0000004	FEF31_RS03775	GOM18_RS00880
OG0000005	FEF31_RS03370	GOM18_RS03145
OG0000005	FEF31_RS04660	GOM18_RS03600
OG0000005	FEF31_RS03380, FEF31_RS04670	GOM18_RS04540
OG0000006	FEF31_RS02230	GOM18_RS01950
OG0000008	FEF31_RS02050	GOM18_RS02455
OG0000008	FEF31_RS02250	GOM18_RS03975
OG0000009	FEF31_RS00325	GOM18_RS00095
OG0000009	FEF31_RS00335	GOM18_RS00110
OG0000010	FEF31_RS01600	GOM18_RS03360
OG0000010	FEF31_RS04440	GOM18_RS04460
OG0000011	FEF31_RS01695	GOM18_RS03250
OG0000011	FEF31_RS01690	GOM18_RS03255
OG0000013	FEF31_RS02135	GOM18_RS02545
OG0000013	FEF31_RS03455	GOM18_RS03935
OG0000014	FEF31_RS00255	GOM18_RS03570, GOM18_RS01700
OG0000015	FEF31_RS01295, FEF31_RS01395	GOM18_RS02565
OG0000016	FEF31_RS02580	GOM18_RS01215
OG0000016	FEF31_RS03440	GOM18_RS01280
OG0000017	FEF31_RS03425	GOM18_RS01265
OG0000017	FEF31_RS02590	GOM18_RS01205
OG0000020	FEF31_RS03220	GOM18_RS04290
OG0000020	FEF31_RS04270	GOM18_RS03770
OG0000021	FEF31_RS00170	GOM18_RS03345
OG0000022	FEF31_RS01320	GOM18_RS03040
OG0000022	FEF31_RS04450	GOM18_RS04500
OG0000024	FEF31_RS02485	GOM18_RS03075
OG0000024	FEF31_RS00930	GOM18_RS03225
OG0000025	FEF31_RS04445	GOM18_RS04510
OG0000025	FEF31_RS01370	GOM18_RS04505
OG0000026	FEF31_RS01025	GOM18_RS02790
OG0000026	FEF31_RS01350	GOM18_RS03010
OG0000027	FEF31_RS03015	GOM18_RS04335
OG0000027	FEF31_RS04605	GOM18_RS04320
OG0000029	FEF31_RS00735	GOM18_RS01705
OG0000029	FEF31_RS00270	GOM18_RS03580
OG0000030	FEF31_RS04590	GOM18_RS04340
OG0000030	FEF31_RS04600	GOM18_RS04325
OG0000032	FEF31_RS03020	GOM18_RS04565
OG0000035	FEF31_RS03765	GOM18_RS00885
OG0000036	FEF31_RS03385, FEF31_RS03400	GOM18_RS03585
OG0000038	FEF31_RS01510	GOM18_RS03645
OG0000038	FEF31_RS00160	GOM18_RS01605
OG0000039	FEF31_RS01275	GOM18_RS03565
OG0000040	FEF31_RS03890	GOM18_RS00810
OG0000041	FEF31_RS00330	GOM18_RS00100
OG0000042	FEF31_RS02675	GOM18_RS01120
OG0000043	FEF31_RS01660, FEF31_RS01455	GOM18_RS03285
OG0000044	FEF31_RS04775	GOM18_RS04585
OG0000045	FEF31_RS01280, FEF31_RS01285	GOM18_RS03555
OG0000046	FEF31_RS02960, FEF31_RS02245	GOM18_RS03880, GOM18_RS03875
OG0000048	FEF31_RS01845	GOM18_RS02325
OG0000049	FEF31_RS03620	GOM18_RS01035
OG0000050	FEF31_RS02180	GOM18_RS01900
OG0000051	FEF31_RS02395	GOM18_RS02100
OG0000052	FEF31_RS03360	GOM18_RS00655
OG0000053	FEF31_RS04425	GOM18_RS04480
OG0000054	FEF31_RS02205	GOM18_RS01925
OG0000055	FEF31_RS03405	GOM18_RS01245
OG0000056	FEF31_RS03205	GOM18_RS00495
OG0000057	FEF31_RS02660	GOM18_RS01135
OG0000058	FEF31_RS01470	GOM18_RS00090
OG0000059	FEF31_RS01460	GOM18_RS03660
OG0000061	FEF31_RS01245	GOM18_RS03350
OG0000062	FEF31_RS03250	GOM18_RS00545
OG0000063	FEF31_RS04645	GOM18_RS04295
OG0000064	FEF31_RS03235	GOM18_RS00530
OG0000065	FEF31_RS01990	GOM18_RS02395
OG0000066	FEF31_RS01015	GOM18_RS02800
OG0000067	FEF31_RS00185	GOM18_RS01630
OG0000068	FEF31_RS00305	GOM18_RS03445
OG0000069	FEF31_RS02555	GOM18_RS01240, GOM18_RS03140
OG0000070	FEF31_RS02210	GOM18_RS01930
OG0000071	FEF31_RS03835	GOM18_RS00820
OG0000072	FEF31_RS04700	GOM18_RS04355
OG0000073	FEF31_RS00360	GOM18_RS00135
OG0000074	FEF31_RS04395	GOM18_RS04260
OG0000076	FEF31_RS00020	GOM18_RS01465
OG0000077	FEF31_RS00105	GOM18_RS01550
OG0000078	FEF31_RS01340	GOM18_RS03020
OG0000079	FEF31_RS02300	GOM18_RS02005
OG0000080	FEF31_RS02345	GOM18_RS03980
OG0000081	FEF31_RS03610	GOM18_RS01445
OG0000083	FEF31_RS01765	GOM18_RS02245
OG0000084	FEF31_RS01795	GOM18_RS02275
OG0000085	FEF31_RS01800	GOM18_RS02280
OG0000086	FEF31_RS01810	GOM18_RS02290
OG0000087	FEF31_RS01825	GOM18_RS02305
OG0000088	FEF31_RS01830	GOM18_RS02310
OG0000089	FEF31_RS01840	GOM18_RS02320
OG0000090	FEF31_RS03355	GOM18_RS00650
OG0000091	FEF31_RS03340	GOM18_RS00635
OG0000092	FEF31_RS03325	GOM18_RS00620
OG0000093	FEF31_RS03320	GOM18_RS00615
OG0000094	FEF31_RS03315	GOM18_RS00610
OG0000095	FEF31_RS03290	GOM18_RS00585
OG0000096	FEF31_RS03285	GOM18_RS00580
OG0000097	FEF31_RS03265	GOM18_RS00560
OG0000098	FEF31_RS03255	GOM18_RS00550
OG0000099	FEF31_RS04640	GOM18_RS04285
OG0000100	FEF31_RS03195	GOM18_RS00485
OG0000101	FEF31_RS03190	GOM18_RS00480
OG0000102	FEF31_RS01365	GOM18_RS02995
OG0000103	FEF31_RS01955	GOM18_RS02360
OG0000104	FEF31_RS01960	GOM18_RS02365
OG0000105	FEF31_RS01975	GOM18_RS02380
OG0000106	FEF31_RS01985	GOM18_RS02390
OG0000107	FEF31_RS01995	GOM18_RS02400
OG0000108	FEF31_RS02000	GOM18_RS02405
OG0000109	FEF31_RS02005	GOM18_RS02410
OG0000110	FEF31_RS02120	GOM18_RS02525
OG0000111	FEF31_RS02115	GOM18_RS02520
OG0000112	FEF31_RS02105	GOM18_RS02510
OG0000113	FEF31_RS02085	GOM18_RS02490
OG0000114	FEF31_RS02075	GOM18_RS02480
OG0000115	FEF31_RS02065	GOM18_RS02470
OG0000116	FEF31_RS00955	GOM18_RS02855
OG0000117	FEF31_RS00960	GOM18_RS02850
OG0000118	FEF31_RS00995	GOM18_RS02815
OG0000119	FEF31_RS01000	GOM18_RS02810
OG0000120	FEF31_RS01020	GOM18_RS02795
OG0000121	FEF31_RS01045	GOM18_RS02775
OG0000122	FEF31_RS01050	GOM18_RS02770
OG0000123	FEF31_RS01070	GOM18_RS02750
OG0000124	FEF31_RS01075	GOM18_RS02745
OG0000125	FEF31_RS01080	GOM18_RS02740
OG0000126	FEF31_RS01090	GOM18_RS02730
OG0000127	FEF31_RS01100	GOM18_RS02720
OG0000128	FEF31_RS01115	GOM18_RS02705
OG0000129	FEF31_RS01120	GOM18_RS02700
OG0000130	FEF31_RS01130	GOM18_RS02690
OG0000131	FEF31_RS01160	GOM18_RS04475
OG0000132	FEF31_RS04430	GOM18_RS04470
OG0000133	FEF31_RS00190	GOM18_RS01635
OG0000134	FEF31_RS00195	GOM18_RS01640
OG0000135	FEF31_RS00210	GOM18_RS01655
OG0000136	FEF31_RS00215	GOM18_RS01660
OG0000137	FEF31_RS00245	GOM18_RS01690
OG0000138	FEF31_RS00280	GOM18_RS03470
OG0000139	FEF31_RS00310	GOM18_RS03440
OG0000140	FEF31_RS00315	GOM18_RS03435
OG0000141	FEF31_RS02670	GOM18_RS01125
OG0000142	FEF31_RS04555	GOM18_RS04380
OG0000143	FEF31_RS02645	GOM18_RS01150
OG0000144	FEF31_RS02635	GOM18_RS01160
