Orthogroup	MHP_J_genes	MHP_MHP694_genes
OG0000000	MHJ_RS02155	DR099_RS03480
OG0000000	MHJ_RS01665	DR099_RS04035
OG0000000	MHJ_RS01670	DR099_RS04600
OG0000001	MHJ_RS02765	DR099_RS01165
OG0000001	MHJ_RS03940	DR099_RS03675
OG0000001	MHJ_RS02710	DR099_RS00045
OG0000002	MHJ_RS03585	DR099_RS04270
OG0000002	MHJ_RS01675	DR099_RS04605
OG0000003	MHJ_RS00485	DR099_RS04295
OG0000004	MHJ_RS03190	DR099_RS02875
OG0000004	MHJ_RS02995	DR099_RS03340, DR099_RS03350
OG0000005	MHJ_RS00090	DR099_RS03165
OG0000005	MHJ_RS00095	DR099_RS04570
OG0000005	MHJ_RS00100	DR099_RS03150
OG0000006	MHJ_RS03920	DR099_RS02595
OG0000006	MHJ_RS03915	DR099_RS02600
OG0000006	MHJ_RS02300	DR099_RS04105
OG0000008	MHJ_RS03850	DR099_RS04050
OG0000008	MHJ_RS03925	DR099_RS04100
OG0000009	MHJ_RS00660	DR099_RS01670
OG0000010	MHJ_RS01805	DR099_RS00340
OG0000010	MHJ_RS01530	DR099_RS04395
OG0000010	MHJ_RS00085	DR099_RS04175
OG0000011	MHJ_RS04005	DR099_RS04305
OG0000011	MHJ_RS01895	DR099_RS00440
OG0000012	MHJ_RS02345	DR099_RS03555
OG0000013	MHJ_RS02355	DR099_RS02140
OG0000013	MHJ_RS03825	DR099_RS03795
OG0000014	MHJ_RS01060	DR099_RS03510
OG0000015	MHJ_RS03980	DR099_RS02515
OG0000016	MHJ_RS02810	DR099_RS01125
OG0000016	MHJ_RS00145	DR099_RS00825
OG0000017	MHJ_RS00130	DR099_RS00840
OG0000017	MHJ_RS02820	DR099_RS01115
OG0000018	MHJ_RS01295	DR099_RS04345
OG0000019	MHJ_RS03950	DR099_RS04215
OG0000020	MHJ_RS03515	DR099_RS04585
OG0000020	MHJ_RS03995	DR099_RS00590
OG0000021	MHJ_RS00495, MHJ_RS00490	DR099_RS04660
OG0000022	MHJ_RS01610	DR099_RS02480
OG0000022	MHJ_RS01660	DR099_RS04500
OG0000023	MHJ_RS01290	DR099_RS00925
OG0000024	MHJ_RS02705	DR099_RS00050
OG0000024	MHJ_RS01245	DR099_RS00880
OG0000025	MHJ_RS01615	DR099_RS04505
OG0000025	MHJ_RS01655	DR099_RS02430
OG0000026	MHJ_RS01335	DR099_RS00970
OG0000026	MHJ_RS01635	DR099_RS02450
OG0000027	MHJ_RS03750	DR099_RS04510
OG0000027	MHJ_RS03330	DR099_RS04465
OG0000029	MHJ_RS01055	DR099_RS01730
OG0000029	MHJ_RS00595	DR099_RS01725
OG0000030	MHJ_RS03310	DR099_RS04515
OG0000030	MHJ_RS03325	DR099_RS04460
OG0000031	MHJ_RS01560	DR099_RS01355
OG0000032	MHJ_RS03320	DR099_RS02185
OG0000035	MHJ_RS03170	DR099_RS02870
OG0000036	MHJ_RS00105	DR099_RS04160
OG0000038	MHJ_RS00480, MHJ_RS01705	DR099_RS03410
OG0000039	MHJ_RS01575	DR099_RS01340
OG0000040	MHJ_RS03260	DR099_RS02585
OG0000041	MHJ_RS01160	DR099_RS02405
OG0000042	MHJ_RS02920	DR099_RS03125
OG0000043	MHJ_RS01865	DR099_RS00410
OG0000044	MHJ_RS04020	DR099_RS04650
OG0000045	MHJ_RS01580	DR099_RS01335
OG0000048	MHJ_RS02050	DR099_RS01315
OG0000049	MHJ_RS03025	DR099_RS02120
OG0000050	MHJ_RS02400	DR099_RS02650
OG0000051	MHJ_RS02615	DR099_RS00135
OG0000052	MHJ_RS00075	DR099_RS03190
OG0000053	MHJ_RS01420	DR099_RS04415
OG0000054	MHJ_RS02425	DR099_RS02625
OG0000055	MHJ_RS00110	DR099_RS03140
OG0000056	MHJ_RS03500	DR099_RS03335
OG0000057	MHJ_RS02900	DR099_RS01045
OG0000061	MHJ_RS01540	DR099_RS00350, DR099_RS01375
OG0000062	MHJ_RS03545	DR099_RS00560
OG0000063	MHJ_RS03540	DR099_RS04320
OG0000064	MHJ_RS03530	DR099_RS00575
OG0000065	MHJ_RS02200	DR099_RS02825
OG0000066	MHJ_RS01325	DR099_RS00960
OG0000067	MHJ_RS00510	DR099_RS02695
OG0000068	MHJ_RS00630	DR099_RS01690
OG0000069	MHJ_RS02785	DR099_RS01150
OG0000070	MHJ_RS02430	DR099_RS02620
OG0000071	MHJ_RS03250	DR099_RS02935
OG0000072	MHJ_RS03255	DR099_RS02940
OG0000073	MHJ_RS00685	DR099_RS01645
OG0000074	MHJ_RS00875	DR099_RS04430
OG0000075	MHJ_RS00320	DR099_RS00645
OG0000076	MHJ_RS00335	DR099_RS00630
OG0000077	MHJ_RS00425	DR099_RS03000
OG0000078	MHJ_RS01625	DR099_RS02460
OG0000079	MHJ_RS02515	DR099_RS00230
OG0000080	MHJ_RS03800	DR099_RS03705
OG0000081	MHJ_RS00315	DR099_RS00650
OG0000083	MHJ_RS01975	DR099_RS01240
OG0000084	MHJ_RS02000	DR099_RS01265
OG0000085	MHJ_RS02005	DR099_RS01270
OG0000086	MHJ_RS02015	DR099_RS01280
OG0000087	MHJ_RS02030	DR099_RS01295
OG0000088	MHJ_RS02035	DR099_RS03880
OG0000089	MHJ_RS02045	DR099_RS01310
OG0000090	MHJ_RS00070	DR099_RS03200
OG0000091	MHJ_RS00055	DR099_RS00470
OG0000092	MHJ_RS00040	DR099_RS00485
OG0000093	MHJ_RS00035	DR099_RS00490
OG0000094	MHJ_RS00030	DR099_RS00495
OG0000095	MHJ_RS00005	DR099_RS00520
OG0000096	MHJ_RS03580	DR099_RS00525
OG0000097	MHJ_RS03560	DR099_RS00545
OG0000098	MHJ_RS03550	DR099_RS00555
OG0000099	MHJ_RS03505	DR099_RS04590
OG0000100	MHJ_RS03490	DR099_RS03210
OG0000101	MHJ_RS03485	DR099_RS03215
OG0000102	MHJ_RS01650	DR099_RS02435
OG0000103	MHJ_RS02165	DR099_RS02865
OG0000104	MHJ_RS02170	DR099_RS02855
OG0000105	MHJ_RS02185	DR099_RS02840
OG0000106	MHJ_RS02195	DR099_RS02830
OG0000107	MHJ_RS02205	DR099_RS02820
OG0000108	MHJ_RS02210	DR099_RS02815
OG0000109	MHJ_RS02215	DR099_RS02810
OG0000110	MHJ_RS02330	DR099_RS02155
OG0000111	MHJ_RS02325	DR099_RS02160
OG0000112	MHJ_RS02315	DR099_RS02170
OG0000113	MHJ_RS02295	DR099_RS04615
OG0000114	MHJ_RS02285	DR099_RS03460
OG0000115	MHJ_RS02275	DR099_RS00280
OG0000116	MHJ_RS01270	DR099_RS00905
OG0000117	MHJ_RS01275	DR099_RS00910
OG0000118	MHJ_RS01310	DR099_RS00945
OG0000119	MHJ_RS01315	DR099_RS00950
OG0000120	MHJ_RS01330	DR099_RS00965
OG0000121	MHJ_RS01355	DR099_RS00990
OG0000122	MHJ_RS01360	DR099_RS00995
OG0000123	MHJ_RS01380	DR099_RS01015
OG0000124	MHJ_RS01385	DR099_RS01020
OG0000125	MHJ_RS01390	DR099_RS01025
OG0000126	MHJ_RS01400	DR099_RS01515
OG0000127	MHJ_RS01410	DR099_RS01505
OG0000128	MHJ_RS01425	DR099_RS01490
OG0000129	MHJ_RS01430	DR099_RS01485
OG0000130	MHJ_RS01440	DR099_RS01475
OG0000131	MHJ_RS01470	DR099_RS04410
OG0000132	MHJ_RS01485	DR099_RS04405
OG0000133	MHJ_RS00515	DR099_RS02700
OG0000134	MHJ_RS00520	DR099_RS02705
OG0000135	MHJ_RS00535	DR099_RS02720
OG0000136	MHJ_RS00540	DR099_RS02725
OG0000137	MHJ_RS00575	DR099_RS02765
OG0000138	MHJ_RS00605	DR099_RS01715
OG0000139	MHJ_RS00635	DR099_RS01685
OG0000140	MHJ_RS00640	DR099_RS01680
