Orthogroup	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
OG0000744	WP_002557722.1																																	
OG0000745	WP_002557772.1																																	
OG0000746	WP_231237858.1																																	
OG0000747	WP_231237885.1																																	
OG0000748		WP_160603289.1																																
OG0000749		WP_160603293.1																																
OG0000750		WP_160603295.1																																
OG0000751		WP_160603297.1																																
OG0000752		WP_160603309.1																																
OG0000753		WP_160603311.1																																
OG0000754		WP_220190836.1																																
OG0000755		WP_220190841.1																																
OG0000756		WP_220190843.1																																
OG0000757		WP_220190844.1																																
OG0000758		WP_220190845.1																																
OG0000759		WP_220190847.1																																
OG0000760		WP_220190849.1																																
OG0000761		WP_220190852.1																																
OG0000762		WP_308705402.1																																
OG0000763		WP_318026317.1																																
OG0000764			WP_160593386.1																															
OG0000765			WP_160593556.1																															
OG0000766					WP_220200600.1																													
OG0000767					WP_308704647.1																													
OG0000768					WP_308704651.1																													
OG0000769						WP_160605653.1																												
OG0000770										WP_233417358.1																								
OG0000771											WP_044277988.1																							
OG0000772											WP_187286317.1																							
OG0000773													WP_020835618.1																					
OG0000774													WP_020835718.1																					
OG0000775													WP_020835870.1																					
OG0000776													WP_020835925.1																					
OG0000777													WP_236607954.1																					
OG0000778													WP_236607963.1																					
OG0000779													WP_236607965.1																					
OG0000780													WP_236607979.1																					
OG0000781													WP_269076333.1																					
OG0000782														WP_228366109.1																				
OG0000783															WP_179695829.1																			
OG0000784																WP_179221063.1																		
OG0000785																WP_240536649.1																		
OG0000786																WP_276310605.1																		
OG0000787																	WP_240536346.1																	
OG0000788																	WP_240536371.1																	
OG0000789																			WP_044284690.1															
OG0000790																			WP_148166903.1															
OG0000791																				WP_233688455.1														
OG0000792																				WP_233688457.1														
OG0000793																				WP_233688458.1														
OG0000794																				WP_233688573.1														
OG0000795																				WP_233688746.1														
OG0000796																					WP_220200888.1													
OG0000797																					WP_258556635.1													
OG0000798																					WP_258556668.1													
OG0000799																					WP_334199376.1													
OG0000800																						WP_160615988.1												
OG0000801																						WP_258555936.1												
OG0000802																							WP_160590519.1											
OG0000803																							WP_160590551.1											
OG0000804																							WP_220200805.1											
OG0000805																							WP_220200806.1											
OG0000806																							WP_220200807.1											
OG0000807																							WP_220200808.1											
OG0000808																							WP_220200809.1											
OG0000809																							WP_220200810.1											
OG0000810																							WP_220200811.1											
OG0000811																							WP_220200812.1											
OG0000812																							WP_220200813.1											
OG0000813																							WP_220200814.1											
OG0000814																							WP_220200815.1											
OG0000815																							WP_220200816.1											
OG0000816																							WP_220200817.1											
OG0000817																							WP_220200818.1											
OG0000818																							WP_220200819.1											
OG0000819																							WP_220200820.1											
OG0000820																							WP_220200821.1											
OG0000821																							WP_220200822.1											
OG0000822																							WP_220200823.1											
OG0000823																								WP_160585741.1										
OG0000824																									WP_160607755.1									
OG0000825																									WP_258555573.1									
OG0000826																									WP_258555586.1									
OG0000827																									WP_334199366.1									
OG0000828																										WP_160606717.1								
OG0000829																										WP_258555500.1								
OG0000830																											WP_160617539.1							
OG0000831																												WP_160585028.1						
OG0000832																												WP_280996803.1						
OG0000833																													WP_220191096.1					
OG0000834																														WP_232039597.1				
OG0000835																														WP_232039599.1				
OG0000836																														WP_232039633.1				
OG0000837																														WP_232039643.1				
OG0000838																																WP_088764618.1		
OG0000839																																WP_088764619.1		
OG0000840																																WP_088764628.1		
OG0000841																																WP_088764630.1		
OG0000842																																WP_143826158.1		
OG0000843																																WP_143826170.1		
OG0000844																																WP_143826171.1		
OG0000845																																WP_189220788.1		
OG0000846																																WP_189220797.1		
OG0000847																																WP_189220800.1		
OG0000848																																WP_189220804.1		
OG0000849																																WP_189220805.1		
OG0000850																																WP_189220807.1		
OG0000851																																WP_189220809.1		
OG0000852																																WP_189220813.1		
OG0000853																																WP_252862129.1		
OG0000854																																WP_252862130.1		
OG0000855																																WP_252862137.1		
OG0000856																																WP_252862138.1		
OG0000857																																WP_252862152.1		
OG0000858																																WP_252862163.1		
OG0000859																																WP_252862165.1		
OG0000860																																WP_252862169.1		
OG0000861																																WP_252862182.1		
OG0000862																																WP_252862205.1		
OG0000863																																WP_252862207.1		
OG0000864																																WP_252862208.1		
OG0000865																																WP_252862209.1		
OG0000866																																WP_252862210.1		
OG0000867																																WP_252862216.1		
OG0000868																																WP_252862217.1		
OG0000869																																WP_252862218.1		
OG0000870																																WP_252862219.1		
OG0000871																																WP_252862220.1		
OG0000872																																WP_252862221.1		
OG0000873																																WP_252862222.1		
OG0000874																																WP_290124225.1		
OG0000875																																WP_290124227.1		
OG0000876																																WP_318025241.1		
