Orthogroup	MHP_F72C_genes	MHP_11_genes
OG0000000	EHI52_RS01825	B5C39_RS02485
OG0000000	EHI52_RS03780	B5C39_RS03935
OG0000000	EHI52_RS02325	B5C39_RS02595
OG0000000	EHI52_RS03815	B5C39_RS03835
OG0000000	EHI52_RS01775	B5C39_RS03235
OG0000001	EHI52_RS02790	B5C39_RS03070
OG0000001	EHI52_RS02740	B5C39_RS03020
OG0000002	EHI52_RS02215	B5C39_RS03825
OG0000002	EHI52_RS01820	B5C39_RS03650
OG0000002	EHI52_RS01780	B5C39_RS03240
OG0000003	EHI52_RS03670	B5C39_RS03345
OG0000004	EHI52_RS03210	B5C39_RS00380
OG0000004	EHI52_RS03225	B5C39_RS00400
OG0000005	EHI52_RS00100	B5C39_RS00915
OG0000005	EHI52_RS00120	B5C39_RS00935
OG0000005	EHI52_RS00105	B5C39_RS00920
OG0000005	EHI52_RS00110	B5C39_RS00925
OG0000005	EHI52_RS00125	B5C39_RS00940
OG0000006	EHI52_RS03880	B5C39_RS02640
OG0000008	EHI52_RS02320	B5C39_RS03740, B5C39_RS03830
OG0000008	EHI52_RS03830	B5C39_RS03850
OG0000009	EHI52_RS00085	B5C39_RS00900
OG0000009	EHI52_RS00680	B5C39_RS02225
OG0000010	EHI52_RS02085	B5C39_RS03350
OG0000011	EHI52_RS01985	B5C39_RS03455
OG0000011	EHI52_RS01990	B5C39_RS03450
OG0000012	EHI52_RS01160, EHI52_RS02210, EHI52_RS01810, EHI52_RS03060, EHI52_RS03535, EHI52_RS03635	B5C39_RS01220
OG0000013	EHI52_RS02410	B5C39_RS02685
OG0000013	EHI52_RS03710	B5C39_RS03780
OG0000014	EHI52_RS00615	B5C39_RS02300
OG0000014	EHI52_RS01155	B5C39_RS01820
OG0000016	EHI52_RS02830	B5C39_RS00060
OG0000016	EHI52_RS00170	B5C39_RS00985
OG0000017	EHI52_RS00155	B5C39_RS00970
OG0000017	EHI52_RS02840	B5C39_RS00070
OG0000019	EHI52_RS03855	B5C39_RS03765
OG0000020	EHI52_RS03550	B5C39_RS00735
OG0000020	EHI52_RS03555	B5C39_RS00740
OG0000022	EHI52_RS01715	B5C39_RS03170
OG0000022	EHI52_RS01770	B5C39_RS03225
OG0000024	EHI52_RS02735	B5C39_RS03015
OG0000024	EHI52_RS01335	B5C39_RS01625
OG0000025	EHI52_RS01720	B5C39_RS03175
OG0000025	EHI52_RS01765	B5C39_RS03220
OG0000026	EHI52_RS01425	B5C39_RS01535
OG0000026	EHI52_RS01745	B5C39_RS03200
OG0000027	EHI52_RS03355	B5C39_RS00530
OG0000029	EHI52_RS01150	B5C39_RS01825
OG0000029	EHI52_RS00620	B5C39_RS02285
OG0000030	EHI52_RS03350	B5C39_RS00520
OG0000031	EHI52_RS01660	B5C39_RS01325, B5C39_RS03115
OG0000035	EHI52_RS03220	B5C39_RS00395
OG0000035	EHI52_RS03205	B5C39_RS00375
OG0000036	EHI52_RS00115	B5C39_RS00930
OG0000036	EHI52_RS00130	B5C39_RS00945
OG0000037	EHI52_RS01640	B5C39_RS03745
OG0000038	EHI52_RS03810	B5C39_RS02400
OG0000039	EHI52_RS01675	B5C39_RS03875, B5C39_RS03130
OG0000040	EHI52_RS03295	B5C39_RS00465
OG0000042	EHI52_RS02930	B5C39_RS00160
OG0000043	EHI52_RS02020	B5C39_RS03420
OG0000044	EHI52_RS03910	B5C39_RS03955
OG0000045	EHI52_RS01680	B5C39_RS03140
OG0000046	EHI52_RS03305	B5C39_RS00475
OG0000048	EHI52_RS01840	B5C39_RS03615
OG0000049	EHI52_RS03065	B5C39_RS00240
OG0000050	EHI52_RS02450	B5C39_RS02725
OG0000051	EHI52_RS02650	B5C39_RS02930
OG0000052	EHI52_RS00075	B5C39_RS00890
OG0000053	EHI52_RS01510	B5C39_RS01450
OG0000054	EHI52_RS02475	B5C39_RS02750
OG0000055	EHI52_RS00135	B5C39_RS00950
OG0000056	EHI52_RS03530	B5C39_RS00720
OG0000057	EHI52_RS02915	B5C39_RS00145
OG0000060	EHI52_RS00080	B5C39_RS03775, B5C39_RS03815
OG0000061	EHI52_RS02075	B5C39_RS03095
OG0000062	EHI52_RS03585	B5C39_RS00780
OG0000063	EHI52_RS03580	B5C39_RS00775
OG0000064	EHI52_RS03570	B5C39_RS00765
OG0000065	EHI52_RS02260	B5C39_RS02530
