Orthogroup	MHP_7422_proteins	MHP_UFV01_proteins
OG0000000	WP_269076337.1	WP_243216171.1, WP_243216232.1
OG0000000	WP_041361655.1	WP_243216180.1
OG0000000	WP_148174330.1	WP_308705306.1
OG0000000	WP_020835762.1	WP_052269173.1
OG0000001	WP_020835629.1	WP_243216044.1
OG0000001	WP_228365393.1	WP_228365393.1
OG0000001	WP_228366104.1	WP_228366104.1
OG0000001	WP_020835822.1	WP_243216277.1
OG0000002	WP_020835748.1	WP_237697200.1
OG0000002	WP_020835737.1	WP_243216173.1
OG0000002	WP_020835682.1	WP_243216098.1
OG0000003	WP_041361639.1	WP_233688742.1
OG0000003	WP_041361653.1	WP_243216179.1
OG0000004	WP_020835883.1	WP_243216334.1
OG0000004	WP_020835887.1	WP_233688544.1
OG0000005	WP_011289941.1	WP_233688595.1
OG0000005	WP_011289945.1	WP_243215929.1
OG0000005	WP_020835493.1	WP_243215923.1
OG0000005	WP_011289943.1	WP_243215926.1
OG0000005	WP_011289946.1	WP_011289946.1
OG0000006	WP_051129932.1	WP_228366101.1
OG0000006	WP_041361785.1	WP_243216203.1
OG0000006	WP_225972978.1	WP_243216200.1
OG0000007	WP_020835743.1	WP_243216178.1
OG0000007	WP_020835742.1	WP_243216175.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_020835760.1	WP_243216199.1
OG0000008	WP_041361617.1	WP_243216076.1
OG0000008	WP_228366102.1	WP_243216238.1
OG0000009	WP_041361566.1	WP_011206100.1
OG0000009	WP_011290021.1	WP_243215989.1
OG0000010	WP_020835701.1	WP_243216127.1
OG0000011	WP_020835715.1	WP_160587900.1
OG0000011	WP_020835713.1	WP_243216150.1
OG0000013	WP_020835777.1	WP_243216215.1
OG0000013	WP_020835504.1	WP_243215939.1
OG0000014	WP_041361548.1	WP_243215979.1
OG0000014	WP_020835603.1	WP_243216008.1
OG0000014	WP_020835563.1	WP_308705305.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000015	WP_020835561.1	WP_243216099.1
OG0000016	WP_020835836.1	WP_243216292.1
OG0000016	WP_020835503.1	WP_243215935.1
OG0000017	WP_020835500.1	WP_243215933.1
OG0000017	WP_020835837.1	WP_243216293.1
OG0000018	WP_041361561.1	WP_243216103.1, WP_243216105.1
OG0000020	WP_020835927.1	WP_243215897.1
OG0000020	WP_020835928.1	WP_279288053.1
OG0000022	WP_011290146.1	WP_243216081.1
OG0000022	WP_020835680.1	WP_243216096.1
OG0000023	WP_020835559.1, WP_020835560.1	WP_243216102.1
OG0000024	WP_011290315.1	WP_243216276.1
OG0000024	WP_011290098.1	WP_243216040.1
OG0000025	WP_041361620.1	WP_243216083.1
OG0000025	WP_020835679.1	WP_243216095.1
OG0000026	WP_020835640.1	WP_044284614.1
OG0000027	WP_020835902.1	WP_243215859.1
OG0000027	WP_020835905.1	WP_179221251.1
OG0000029	WP_020835602.1	WP_243216007.1
OG0000029	WP_020835564.1	WP_243215981.1
