query	grouping_confidence	location_confidence	orientation_confidence
NZ_QQRO01000001.1	1.0	0.4494172117066106	1.0
NZ_QQRO01000007.1	1.0	1.0	1.0
NZ_QQRO01000017.1	1.0	1.0	1.0
NZ_QQRO01000016.1	1.0	1.0	1.0
NZ_QQRO01000008.1	1.0	1.0	1.0
NZ_QQRO01000014.1	1.0	1.0	1.0
NZ_QQRO01000013.1	1.0	1.0	1.0
NZ_QQRO01000015.1	1.0	1.0	1.0
NZ_QQRO01000011.1	1.0	1.0	1.0
NZ_QQRO01000018.1	1.0	1.0	1.0
NZ_QQRO01000004.1	1.0	1.0	1.0
NZ_QQRO01000002.1	1.0	1.0	1.0
NZ_QQRO01000012.1	1.0	1.0	1.0
NZ_QQRO01000006.1	1.0	1.0	1.0
NZ_QQRO01000005.1	1.0	1.0	1.0
