query	grouping_confidence	location_confidence	orientation_confidence
NZ_QQQX01000057.1	1.0	1.0	1.0
NZ_QQQX01000006.1	1.0	0.1578313211176738	1.0
NZ_QQQX01000026.1	1.0	0.01898415353873321	0.9799275433271321
NZ_QQQX01000042.1	1.0	1.0	1.0
NZ_QQQX01000053.1	1.0	1.0	1.0
NZ_QQQX01000047.1	1.0	1.0	1.0
NZ_QQQX01000037.1	1.0	1.0	1.0
NZ_QQQX01000035.1	1.0	1.0	1.0
NZ_QQQX01000020.1	1.0	1.0	1.0
NZ_QQQX01000022.1	1.0	1.0	1.0
NZ_QQQX01000024.1	1.0	1.0	1.0
NZ_QQQX01000005.1	1.0	1.0	1.0
NZ_QQQX01000030.1	1.0	1.0	1.0
NZ_QQQX01000004.1	1.0	1.0	1.0
NZ_QQQX01000002.1	1.0	1.0	1.0
NZ_QQQX01000015.1	1.0	1.0	1.0
NZ_QQQX01000045.1	1.0	1.0	1.0
NZ_QQQX01000003.1	1.0	0.19059748490743897	0.8721606710662798
NZ_QQQX01000018.1	1.0	0.057242114266884477	0.9570090023883887
NZ_QQQX01000032.1	1.0	1.0	1.0
NZ_QQQX01000001.1	1.0	0.4690655267572101	0.9993309339239572
NZ_QQQX01000012.1	1.0	1.0	1.0
NZ_QQQX01000028.1	1.0	1.0	1.0
NZ_QQQX01000043.1	1.0	1.0	1.0
NZ_QQQX01000034.1	1.0	1.0	1.0
NZ_QQQX01000010.1	1.0	0.14190048243551562	1.0
NZ_QQQX01000049.1	1.0	1.0	1.0
NZ_QQQX01000027.1	1.0	1.0	1.0
NZ_QQQX01000009.1	1.0	1.0	1.0
NZ_QQQX01000017.1	1.0	1.0	1.0
NZ_QQQX01000014.1	1.0	1.0	1.0
NZ_QQQX01000033.1	1.0	1.0	1.0
NZ_QQQX01000039.1	1.0	1.0	1.0
NZ_QQQX01000031.1	1.0	1.0	1.0
NZ_QQQX01000019.1	1.0	1.0	1.0
NZ_QQQX01000023.1	1.0	1.0	1.0
NZ_QQQX01000038.1	1.0	1.0	1.0
NZ_QQQX01000029.1	1.0	1.0	1.0
NZ_QQQX01000011.1	1.0	1.0	1.0
NZ_QQQX01000016.1	1.0	1.0	1.0
NZ_QQQX01000074.1	1.0	1.0	1.0
NZ_QQQX01000044.1	1.0	1.0	1.0
NZ_QQQX01000008.1	1.0	1.0	1.0
NZ_QQQX01000013.1	1.0	1.0	1.0
NZ_QQQX01000025.1	1.0	1.0	1.0
NZ_QQQX01000007.1	1.0	1.0	1.0
NZ_QQQX01000021.1	1.0	1.0	1.0
NZ_QQQX01000036.1	1.0	1.0	1.0
NZ_QQQX01000061.1	1.0	1.0	1.0
