Orthogroup	MHP_168_genes	MHP_ES2_genes
OG0000000	MHP168_RS02175	E5E95_RS02310
OG0000000	MHP168_RS02315	E5E95_RS02430
OG0000000	MHP168_RS01690	E5E95_RS04235
OG0000001	MHP168_RS01365	E5E95_RS01300
OG0000001	MHP168_RS03950	E5E95_RS01295
OG0000001	MHP168_RS02805	E5E95_RS03000
OG0000001	MHP168_RS02760	E5E95_RS04150
OG0000002	MHP168_RS03985	E5E95_RS02320
OG0000002	MHP168_RS03895	E5E95_RS02315
OG0000002	MHP168_RS01665, MHP168_RS01685	E5E95_RS01840
OG0000003	MHP168_RS01845	E5E95_RS00505
OG0000003	MHP168_RS00480	E5E95_RS01915
OG0000003	MHP168_RS03875	E5E95_RS03910
OG0000004	MHP168_RS03180	E5E95_RS03410
OG0000004	MHP168_RS03190	E5E95_RS03425
OG0000005	MHP168_RS00085	E5E95_RS00090
OG0000005	MHP168_RS00095	E5E95_RS00095
OG0000005	MHP168_RS00100, MHP168_RS03905	E5E95_RS00100, E5E95_RS00115
OG0000006	MHP168_RS02510, MHP168_RS02505	E5E95_RS02705
OG0000006	MHP168_RS02320	E5E95_RS02445
OG0000006	MHP168_RS02355	E5E95_RS04120, E5E95_RS04115
OG0000008	MHP168_RS02310	E5E95_RS03925, E5E95_RS04080
OG0000008	MHP168_RS01780	E5E95_RS03905
OG0000008	MHP168_RS04005	E5E95_RS04135
OG0000009	MHP168_RS00985	E5E95_RS00665
OG0000009	MHP168_RS00975	E5E95_RS00680
OG0000010	MHP168_RS01930	E5E95_RS01970
OG0000010	MHP168_RS01645	E5E95_RS03990, E5E95_RS01575
OG0000011	MHP168_RS04085	E5E95_RS02070
OG0000011	MHP168_RS02015	E5E95_RS02060
OG0000012	MHP168_RS01400, MHP168_RS02105, MHP168_RS03590	E5E95_RS02435
OG0000013	MHP168_RS02405	E5E95_RS02610
OG0000013	MHP168_RS03910	E5E95_RS03955
OG0000014	MHP168_RS01070	E5E95_RS01105
OG0000014	MHP168_RS01055	E5E95_RS00605
OG0000015	MHP168_RS03815	E5E95_RS02450
OG0000016	MHP168_RS02850	E5E95_RS03040
OG0000016	MHP168_RS00145	E5E95_RS00160
OG0000017	MHP168_RS00130	E5E95_RS00145
OG0000017	MHP168_RS02860	E5E95_RS03050
OG0000018	MHP168_RS04030	E5E95_RS02480
OG0000020	MHP168_RS03580	E5E95_RS03770
OG0000021	MHP168_RS00485	E5E95_RS03845
OG0000021	MHP168_RS02335	E5E95_RS03755
OG0000022	MHP168_RS01760	E5E95_RS01770
OG0000022	MHP168_RS01710	E5E95_RS01825
OG0000024	MHP168_RS02750	E5E95_RS02945
OG0000024	MHP168_RS03940	E5E95_RS01290
OG0000025	MHP168_RS01755	E5E95_RS01775
OG0000025	MHP168_RS01715	E5E95_RS01820
OG0000026	MHP168_RS01450	E5E95_RS01380
OG0000026	MHP168_RS01735	E5E95_RS01800
OG0000027	MHP168_RS03845	E5E95_RS03560
