#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP098237.1:110962-111753|+ -            264 1679at2085           -            265   5.3e-79  260.6  12.4   1   1   5.5e-81   5.8e-79  260.5  12.4    12   256     1   255     1   263 0.90 CP098237.1_95 # 110962 # 111753 # 1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.264
CP098237.1:91076-92377|+   -            434 1679at2085           -            265   2.2e-23   78.3  12.5   1   3   1.4e-11   1.4e-09   33.0   0.2   123   177     6    64     1    77 0.80 CP098237.1_78 # 91076 # 92377 # 1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
CP098237.1:91076-92377|+   -            434 1679at2085           -            265   2.2e-23   78.3  12.5   2   3   7.5e-13   7.9e-11   37.1   0.9    22   173    78   228    70   239 0.76 CP098237.1_78 # 91076 # 92377 # 1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
CP098237.1:91076-92377|+   -            434 1679at2085           -            265   2.2e-23   78.3  12.5   3   3   5.4e-06   0.00057   14.7   0.9    24   139   251   380   245   386 0.62 CP098237.1_78 # 91076 # 92377 # 1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
CP098237.1:596556-597152|- -            199 1679at2085           -            265   5.5e-13   44.2   5.5   1   2   7.4e-13   7.8e-11   37.1   0.1   123   172    41    91    32   109 0.90 CP098237.1_502 # 596556 # 597152 # -1 # ID=1_502;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
CP098237.1:596556-597152|- -            199 1679at2085           -            265   5.5e-13   44.2   5.5   2   2   0.00031     0.032    8.9   1.9    24    97   117   195   102   198 0.77 CP098237.1_502 # 596556 # 597152 # -1 # ID=1_502;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
CP098237.1:237903-239231|- -            443 1679at2085           -            265   1.7e-12   42.6  16.2   1   3      0.93        98   -2.5   0.1   231   258   137   164   114   170 0.58 CP098237.1_221 # 237903 # 239231 # -1 # ID=1_221;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
CP098237.1:237903-239231|- -            443 1679at2085           -            265   1.7e-12   42.6  16.2   2   3   8.9e-14   9.3e-12   40.2   0.2    97   174   194   275   184   287 0.78 CP098237.1_221 # 237903 # 239231 # -1 # ID=1_221;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
CP098237.1:237903-239231|- -            443 1679at2085           -            265   1.7e-12   42.6  16.2   3   3   0.00027     0.028    9.1   6.5    21   104   291   366   283   386 0.70 CP098237.1_221 # 237903 # 239231 # -1 # ID=1_221;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
CP098237.1:170172-171053|+ -            294 1679at2085           -            265   1.7e-10   36.0   9.5   1   2   1.8e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 CP098237.1_157 # 170172 # 171053 # 1 # ID=1_157;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
CP098237.1:170172-171053|+ -            294 1679at2085           -            265   1.7e-10   36.0   9.5   2   2    0.0013      0.14    6.8   4.0    47   103   108   169    77   190 0.77 CP098237.1_157 # 170172 # 171053 # 1 # ID=1_157;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
CP098237.1:53657-54916|+   -            420 1679at2085           -            265   1.1e-05   20.3  11.6   1   2   4.4e-07   4.6e-05   18.2   0.1   124   175   161   215   145   236 0.75 CP098237.1_46 # 53657 # 54916 # 1 # ID=1_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.307
CP098237.1:53657-54916|+   -            420 1679at2085           -            265   1.1e-05   20.3  11.6   2   2     0.017       1.8    3.2   8.1    39   121   257   343   252   346 0.85 CP098237.1_46 # 53657 # 54916 # 1 # ID=1_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.307
