gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_002557479.1	chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	WP_236681780.1	DNA polymerase III subunit beta	0
2	NCBI_PGAP	WP_002557477.1	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG (mnmG)	0
3	NCBI_PGAP	WP_002557476.1	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	0
4	NCBI_PGAP	WP_039387473.1	bifunctional oligoribonuclease/PAP phosphatase NrnA	0
5	NCBI_PGAP	WP_002557473.1	bifunctional oligoribonuclease/PAP phosphatase NrnA	0
6	NCBI_PGAP	WP_002557472.1	type II toxin-antitoxin system antitoxin SocA domain-containing protein	0
7	NCBI_PGAP	WP_002557471.1	signal recognition particle-docking protein FtsY (ftsY)	0
8	NCBI_PGAP	WP_002557470.1	thioredoxin domain-containing protein	0
9	NCBI_PGAP	WP_002557469.1	heat-inducible transcriptional repressor HrcA	0
10	NCBI_PGAP	WP_002557468.1	nucleotide exchange factor GrpE (grpE)	0
11	NCBI_PGAP	WP_002557467.1	arginine--tRNA ligase (argS)	0
12	NCBI_PGAP	WP_002557466.1	DNA-directed RNA polymerase subunit delta (rpoE)	0
13	NCBI_PGAP	WP_002557465.1	class II fructose-1,6-bisphosphate aldolase (fba)	0
14	NCBI_PGAP	WP_002557464.1	RNA pseudouridine synthase	0
15	NCBI_PGAP	WP_002557874.1	S26 family signal peptidase	0
18	NCBI_PGAP	WP_002557876.1	amidase family protein	0
19	NCBI_PGAP	WP_002557877.1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB (gatB)	0
24	NCBI_PGAP	WP_002557882.1	signal peptidase II	0
25	NCBI_PGAP	WP_002557883.1	isoleucine--tRNA ligase (ileS)	0
26	NCBI_PGAP	WP_002557884.1	DNA topoisomerase IV subunit A	0
27	NCBI_PGAP	WP_039387485.1	type IIA DNA topoisomerase subunit B	0
28	NCBI_PGAP	WP_002557886.1	type I glyceraldehyde-3-phosphate dehydrogenase (gap)	0
29	NCBI_PGAP	WP_002557887.1	Mhp366/Mhp367 family surface (lipo)protein	0
30	NCBI_PGAP	WP_002557888.1	ribonuclease R (rnr)	0
31	NCBI_PGAP	WP_039387487.1	preprotein translocase subunit SecG (secG)	0
32	NCBI_PGAP	WP_231237877.1	phospholipase D-like domain-containing protein	0
33	NCBI_PGAP	WP_002557890.1	recombinase RecA (recA)	0
34	NCBI_PGAP	WP_002557891.1	phosphotransferase	0
35	NCBI_PGAP	WP_002557892.1	GTPase ObgE (obgE)	0
36	NCBI_PGAP	WP_002557893.1	MG284/MPN403 family protein	0
37	NCBI_PGAP	WP_002557895.1	MHO_1590 family protein	0
38	NCBI_PGAP	WP_002557896.1	DNA polymerase IV	0
39	NCBI_PGAP	WP_002557898.1	F0F1 ATP synthase subunit A	0
40	NCBI_PGAP	WP_002557899.1	F0F1 ATP synthase subunit C	0
41	NCBI_PGAP	WP_002557900.1	ATP synthase F0 subunit B	0
42	NCBI_PGAP	WP_002557901.1	F0F1 ATP synthase subunit delta	0
43	NCBI_PGAP	WP_002557902.1	F0F1 ATP synthase subunit alpha (atpA)	0
44	NCBI_PGAP	WP_002557903.1	FoF1 ATP synthase subunit gamma	0
45	NCBI_PGAP	WP_002557904.1	F0F1 ATP synthase subunit beta (atpD)	0
47	NCBI_PGAP	WP_002557905.1	Holliday junction resolvase RecU (recU)	0
48	NCBI_PGAP	WP_002557906.1	30S ribosomal protein S2 (rpsB)	0
49	NCBI_PGAP	WP_002557907.1	translation elongation factor Ts (tsf)	0
50	NCBI_PGAP	WP_002557908.1	signal recognition particle protein (ffh)	0
51	NCBI_PGAP	WP_002557909.1	glycine--tRNA ligase	0
52	NCBI_PGAP	WP_231237880.1	DNA primase (dnaG)	0
53	NCBI_PGAP	WP_002557911.1	RNA polymerase sigma factor	0
54	NCBI_PGAP	WP_002557912.1	Nif3-like dinuclear metal center hexameric protein	0
55	NCBI_PGAP	WP_002557913.1	deoxyribonuclease IV	0
56	NCBI_PGAP	WP_002557914.1	tyrosine--tRNA ligase (tyrS)	0
57	NCBI_PGAP	WP_002557915.1	DUF4011 domain-containing protein	0
58	NCBI_PGAP	WP_039387493.1	SGNH/GDSL hydrolase family protein	0
59	NCBI_PGAP	WP_002557918.1	GIY-YIG nuclease family protein	0
61	NCBI_PGAP	WP_002557920.1	molecular chaperone DnaK (dnaK)	0
62	NCBI_PGAP	WP_002557921.1	DnaJ C-terminal domain-containing protein	0
63	NCBI_PGAP	WP_002557922.1	(d)CMP kinase (cmk)	0
64	NCBI_PGAP	WP_002557923.1	ribosome biogenesis GTPase Der (der)	0
65	NCBI_PGAP	WP_039387496.1	HU family DNA-binding protein	0
67	NCBI_PGAP	WP_002557926.1	translation elongation factor 4 (lepA)	0
68	NCBI_PGAP	WP_002557927.1	MSC_0882 family membrane protein	0
69	NCBI_PGAP	WP_002557928.1	elongation factor G (fusA)	0
70	NCBI_PGAP	WP_039387498.1	30S ribosomal protein S7 (rpsG)	0
71	NCBI_PGAP	WP_002557930.1	30S ribosomal protein S12 (rpsL)	0
72	NCBI_PGAP	WP_039387501.1	DUF4231 domain-containing protein	0
73	NCBI_PGAP	WP_039387504.1	DUF4231 domain-containing protein	0
75	NCBI_PGAP	WP_002557933.1	APC family permease	0
76	NCBI_PGAP	WP_002557934.1	FAD-dependent oxidoreductase	0
77	NCBI_PGAP	WP_002557935.1	thymidine phosphorylase	0
78	NCBI_PGAP	WP_002557936.1	purine-nucleoside phosphorylase	0
79	NCBI_PGAP	WP_002557937.1	preprotein translocase subunit SecA (secA)	0
