Orthogroup	MHP_NCTC10127_genes	MFC_MF22_genes
OG0000000	EXC50_RS01055	DR094_RS03000
OG0000001	EXC50_RS02805, EXC50_RS02810, EXC50_RS01640, EXC50_RS04045, EXC50_RS01590	DR094_RS00325, DR094_RS00330
OG0000002	EXC50_RS00680	DR094_RS03610
OG0000004	EXC50_RS01865	DR094_RS01820
OG0000011	EXC50_RS00895	DR094_RS03520
OG0000011	EXC50_RS00890	DR094_RS02895
OG0000013	EXC50_RS01255	DR094_RS00075, DR094_RS00080
OG0000013	EXC50_RS03965	DR094_RS03050
OG0000014	EXC50_RS04120, EXC50_RS03000, EXC50_RS03480	DR094_RS03555
OG0000016	EXC50_RS01680	DR094_RS00380
OG0000017	EXC50_RS00155	DR094_RS00975
OG0000017	EXC50_RS01690	DR094_RS00390
OG0000018	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085	DR094_RS03735
OG0000019	EXC50_RS04065	DR094_RS03350
OG0000020	EXC50_RS02390	DR094_RS03600
OG0000020	EXC50_RS02395	DR094_RS03595
OG0000022	EXC50_RS00670	DR094_RS03605
OG0000023	EXC50_RS02770, EXC50_RS00495, EXC50_RS03740	DR094_RS02170
OG0000024	EXC50_RS01585, EXC50_RS02815	DR094_RS00320
OG0000025	EXC50_RS00665	DR094_RS01205
OG0000026	EXC50_RS02725, EXC50_RS00645	DR094_RS02215
OG0000027	EXC50_RS02185	DR094_RS01395
OG0000027	EXC50_RS02200	DR094_RS03650
OG0000028	EXC50_RS01265	DR094_RS00060
OG0000029	EXC50_RS03005, EXC50_RS03475	DR094_RS00545
OG0000030	EXC50_RS02175, EXC50_RS02195	DR094_RS03655
OG0000031	EXC50_RS02515, EXC50_RS03805, EXC50_RS00545	DR094_RS02590
OG0000032	EXC50_RS04070, EXC50_RS02190	DR094_RS01390
OG0000039	EXC50_RS03975, EXC50_RS00560	DR094_RS00485
OG0000040	EXC50_RS02120	DR094_RS02025, DR094_RS00270
OG0000042	EXC50_RS01780	DR094_RS00490, DR094_RS00345
OG0000043	EXC50_RS00860	DR094_RS02615
OG0000045	EXC50_RS00570	DR094_RS03140, DR094_RS03135
OG0000048	EXC50_RS01040	DR094_RS02695, DR094_RS02985
OG0000050	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	DR094_RS03765
OG0000051	EXC50_RS01500	DR094_RS01715
OG0000052	EXC50_RS00075	DR094_RS01015
OG0000053	EXC50_RS02640	DR094_RS03805
OG0000054	EXC50_RS04250	DR094_RS00030
OG0000055	EXC50_RS00135	DR094_RS03580, DR094_RS03850
OG0000056	EXC50_RS02375	DR094_RS01180
OG0000057	EXC50_RS01765	DR094_RS00465
OG0000062	EXC50_RS02425	DR094_RS01125
OG0000063	EXC50_RS02420	DR094_RS03590
OG0000064	EXC50_RS02410	DR094_RS01140
OG0000065	EXC50_RS01100	DR094_RS02075
OG0000066	EXC50_RS02735	DR094_RS02205
OG0000068	EXC50_RS03440	DR094_RS00510
OG0000069	EXC50_RS01655	DR094_RS00355
OG0000070	EXC50_RS03840, EXC50_RS01325	DR094_RS00050
OG0000071	EXC50_RS02110	DR094_RS02015
OG0000072	EXC50_RS02115	DR094_RS03725
OG0000073	EXC50_RS03380	DR094_RS02425
OG0000074	EXC50_RS03185	DR094_RS03685
OG0000075	EXC50_RS00355	DR094_RS00790
OG0000076	EXC50_RS00370	DR094_RS00775
OG0000077	EXC50_RS03640	DR094_RS00690
OG0000078	EXC50_RS00635	DR094_RS00235
OG0000079	EXC50_RS01405	DR094_RS00130
OG0000080	EXC50_RS03930	DR094_RS03080
OG0000081	EXC50_RS00350	DR094_RS00795
OG0000082	EXC50_RS01250	DR094_RS00070
OG0000083	EXC50_RS00965	DR094_RS02715
OG0000084	EXC50_RS00990	DR094_RS02645
OG0000085	EXC50_RS00995	DR094_RS02650
OG0000086	EXC50_RS01005	DR094_RS03780
OG0000087	EXC50_RS01020	DR094_RS02675
OG0000088	EXC50_RS01025	DR094_RS02680
OG0000089	EXC50_RS01035	DR094_RS02690
OG0000090	EXC50_RS00070	DR094_RS01020
OG0000091	EXC50_RS00055	DR094_RS01035
OG0000092	EXC50_RS00040	DR094_RS01050
OG0000093	EXC50_RS00035	DR094_RS01055
OG0000094	EXC50_RS00030	DR094_RS01060
OG0000095	EXC50_RS00005	DR094_RS01085
OG0000096	EXC50_RS02460	DR094_RS01090
OG0000097	EXC50_RS02440	DR094_RS01110
OG0000098	EXC50_RS02430	DR094_RS01120
OG0000099	EXC50_RS02380	DR094_RS01175
OG0000100	EXC50_RS02365	DR094_RS01185
OG0000101	EXC50_RS02360	DR094_RS01190
OG0000102	EXC50_RS00660	DR094_RS01200
OG0000103	EXC50_RS01065	DR094_RS02040
OG0000104	EXC50_RS01070	DR094_RS02045
OG0000105	EXC50_RS01085	DR094_RS02060
OG0000106	EXC50_RS01095	DR094_RS02070
OG0000107	EXC50_RS01105	DR094_RS02080
OG0000108	EXC50_RS01110	DR094_RS02085
OG0000109	EXC50_RS01115	DR094_RS02090
OG0000110	EXC50_RS01240	DR094_RS02095
OG0000111	EXC50_RS01235	DR094_RS02100
OG0000112	EXC50_RS01225	DR094_RS02110
OG0000113	EXC50_RS01205	DR094_RS03730
OG0000114	EXC50_RS01195	DR094_RS02135
OG0000115	EXC50_RS01180	DR094_RS02145
OG0000116	EXC50_RS02790	DR094_RS02155
OG0000117	EXC50_RS02785	DR094_RS02160
OG0000118	EXC50_RS02750	DR094_RS02190
OG0000119	EXC50_RS02745	DR094_RS02195
OG0000120	EXC50_RS02730	DR094_RS02210
OG0000121	EXC50_RS02705	DR094_RS02235
OG0000122	EXC50_RS02700	DR094_RS02240
OG0000123	EXC50_RS02680	DR094_RS02260
OG0000124	EXC50_RS02675	DR094_RS02265
OG0000125	EXC50_RS02670	DR094_RS02270
