Orthogroup	MHP_ES2L_protein	MHP_MHP691_protein
OG0000000	WP_014579826.1	WP_160607678.1
OG0000000	WP_020835714.1	WP_020835714.1
OG0000000	WP_179221118.1	WP_160606477.1
OG0000001	WP_240536589.1	WP_308704686.1, WP_308704693.1
OG0000002	WP_240536631.1	WP_308704685.1
OG0000002	WP_240536602.1	WP_258555582.1
OG0000003	WP_157696714.1	WP_258555591.1
OG0000004	WP_225972989.1	WP_258555633.1
OG0000005	WP_179221294.1	WP_308704676.1
OG0000005	WP_318036674.1	WP_160608120.1, WP_160608126.1
OG0000006	WP_179221018.1	WP_160608112.1
OG0000007	WP_218833876.1	WP_308704692.1, WP_220200664.1
OG0000008	WP_179221234.1	WP_160585635.1
OG0000008	WP_179221230.1	WP_135619084.1
OG0000008	WP_179221232.1	WP_160585636.1
OG0000009	WP_179221153.1	WP_160607995.1
OG0000009	WP_179221152.1	WP_220200632.1
OG0000010	WP_240536607.1	WP_011206342.1
OG0000010	WP_240536639.1	WP_258555625.1
OG0000012	WP_240536643.1	WP_258555620.1
OG0000012	WP_179221216.1	WP_160607700.1
OG0000013	WP_233688469.1	WP_258555632.1
OG0000013	WP_240536598.1, WP_011284212.1	WP_220200634.1
OG0000015	WP_179221292.1	WP_308704691.1
OG0000016	WP_240536604.1, WP_240536603.1	WP_258555581.1
OG0000017	WP_179221229.1	WP_160607771.1
OG0000018	WP_179221198.1	WP_160608086.1
OG0000019	WP_179220983.1, WP_011289946.1	WP_160607720.1
OG0000021	WP_240536618.1	WP_258555522.1
OG0000022	WP_240536601.1	WP_258555583.1
OG0000023	WP_179221240.1	WP_160607971.1
OG0000025	WP_240536645.1	WP_258555619.1
OG0000026	WP_179221157.1	WP_160607999.1
OG0000028	WP_179221009.1	WP_160607936.1, WP_160608102.1
OG0000029	WP_179221095.1	WP_160608064.1
OG0000030	WP_179221174.1	WP_160607824.1
OG0000031	WP_135618462.1	WP_160607724.1
OG0000034	WP_011206291.1	WP_160608001.1
OG0000035	WP_179221103.1	WP_160607947.1
OG0000036	WP_179221159.1	WP_160585159.1
OG0000037	WP_179221210.1	WP_160585710.1
OG0000039	WP_179221126.1	WP_160607660.1
OG0000040	WP_179221131.1	WP_160590049.1
OG0000041	WP_179221274.1	WP_308704678.1
OG0000042	WP_179221273.1	WP_160607759.1
OG0000043	WP_179221270.1	WP_011290432.1
OG0000044	WP_179221108.1	WP_160608118.1
