Orthogroup	MFC_MF30_proteins	MFC_MF29_proteins
OG0000000	WP_308705463.1	WP_160581495.1
OG0000000	WP_308705464.1	WP_308704665.1
OG0000000	WP_220190802.1	WP_160581503.1, WP_308704666.1, WP_220200598.1, WP_160581501.1, WP_308704667.1, WP_160581500.1
OG0000000	WP_160605580.1	WP_160581134.1
OG0000001	WP_002557631.1	WP_039387745.1, WP_160580916.1
OG0000002	WP_160605434.1	WP_160581434.1
OG0000002	WP_160605643.1	WP_308704653.1
OG0000002	WP_160605578.1	WP_160581136.1
OG0000011	WP_160605422.1	WP_220200593.1, WP_258555793.1
OG0000011	WP_160605420.1	WP_308704663.1
OG0000013	WP_160605387.1	WP_160580981.1
OG0000013	WP_160605385.1	WP_160580979.1
OG0000013	WP_258555096.1	WP_258555762.1
OG0000014	WP_220190749.1	WP_220200543.1
OG0000016	WP_160580902.1	WP_160580902.1
OG0000016	WP_160605572.1	WP_160581063.1
OG0000017	WP_002557881.1	WP_160581069.1
OG0000017	WP_160605334.1	WP_160580898.1
OG0000018	WP_160605522.1	WP_160581182.1
OG0000019	WP_160605640.1	WP_160581493.1
OG0000020	WP_308705457.1	WP_220200556.1
OG0000022	WP_160583783.1	WP_160581132.1
OG0000023	WP_160581180.1	WP_160581180.1
OG0000024	WP_258555110.1	WP_231237865.1
OG0000025	WP_160583781.1	WP_160581130.1
OG0000026	WP_002557545.1	WP_160581190.1
OG0000027	WP_160605603.1	WP_160581395.1
OG0000028	WP_220190754.1	WP_160580985.1
OG0000029	WP_160605322.1	WP_160580866.1
OG0000030	WP_160605605.1	WP_160581397.1
OG0000031	WP_160605408.1	WP_011290238.1, WP_160581412.1
OG0000033	WP_160605396.1	WP_160580987.1, WP_220200549.1
OG0000039	WP_160605326.1	WP_160580876.1
OG0000040	WP_258555133.1	WP_160581286.1
OG0000040	WP_160605352.1	WP_308704648.1, WP_160580937.1
OG0000042	WP_160605324.1	WP_160580874.1
OG0000042	WP_160605340.1	WP_160580909.1
OG0000043	WP_160605410.1	WP_160581230.1, WP_160581416.1
OG0000045	WP_002557601.1	WP_255454455.1, WP_255454456.1
OG0000047	WP_155897261.1	WP_155897261.1
OG0000048	WP_160605621.1	WP_160581439.1
OG0000049	WP_308705455.1	WP_308704657.1
OG0000050	WP_160605404.1	WP_160581404.1
OG0000051	WP_160581217.1	WP_160581217.1
OG0000052	WP_002557464.1	WP_002557464.1
OG0000053	WP_160605623.1	WP_220200596.1
OG0000054	WP_160605400.1	WP_160580989.1
OG0000055	WP_002557874.1, WP_323749063.1	WP_308704649.1
OG0000056	WP_160605584.1	WP_160581124.1
OG0000057	WP_258555107.1	WP_258555750.1
OG0000062	WP_002557486.1	WP_160581109.1
OG0000063	WP_160605552.1	WP_160581110.1
OG0000064	WP_160581114.1	WP_160581114.1
OG0000065	WP_002557517.1	WP_002557517.1
OG0000066	WP_002557543.1	WP_002557543.1
OG0000067	WP_002557573.1	WP_160580850.1
OG0000068	WP_002557593.1	WP_002557593.1
OG0000069	WP_002557626.1	WP_002557626.1
OG0000070	WP_160605398.1	WP_002557663.1
OG0000071	WP_160581282.1	WP_160581282.1
OG0000072	WP_160605550.1	WP_160581284.1
OG0000073	WP_039387630.1	WP_039387630.1
OG0000074	WP_236681775.1	WP_308704661.1
OG0000075	WP_160605306.1	WP_160581028.1
OG0000076	WP_002557921.1	WP_160581024.1
OG0000077	WP_160605308.1	WP_160581009.1
OG0000078	WP_160605360.1	WP_160580948.1
OG0000079	WP_160580968.1	WP_160580968.1
OG0000080	WP_196792423.1	WP_196792423.1
OG0000081	WP_308705447.1	WP_308704652.1
OG0000082	WP_220190753.1	WP_220200548.1
OG0000083	WP_002557446.1	WP_160581484.1
OG0000084	WP_002557451.1	WP_002557451.1
OG0000085	WP_002557452.1	WP_160581451.1
OG0000086	WP_160605611.1	WP_160581447.1
OG0000087	WP_236681783.1	WP_258555794.1
OG0000088	WP_002557458.1	WP_160581443.1
OG0000089	WP_160605617.1	WP_002557461.1
OG0000090	WP_002557465.1	WP_160581085.1
OG0000091	WP_160605562.1	WP_002557468.1
OG0000092	WP_002557471.1	WP_160581094.1
OG0000093	WP_002557472.1	WP_002557472.1
OG0000094	WP_002557473.1	WP_160581096.1
OG0000095	WP_160605558.1	WP_002557479.1
OG0000096	WP_002557480.1	WP_002557480.1
OG0000097	WP_002557483.1	WP_160581102.1
