Orthogroup	MFC_MF18_genes	MHP_133A_genes
OG0000000	DR082_RS03155	NB626_RS02350
OG0000000	DR082_RS03455	NB626_RS01840
OG0000001	DR082_RS00825, DR082_RS00820	NB626_RS01395, NB626_RS01400, NB626_RS02980, NB626_RS02935, NB626_RS02930
OG0000002	DR082_RS03795	NB626_RS02355
OG0000002	DR082_RS02920	NB626_RS02280
OG0000002	DR082_RS03830	NB626_RS01855
OG0000004	DR082_RS01625	NB626_RS03220
OG0000007	DR082_RS02890	NB626_RS02340
OG0000007	DR082_RS02895	NB626_RS02320
OG0000011	DR082_RS03895, DR082_RS03545	NB626_RS02080
OG0000013	DR082_RS01090, DR082_RS01085	NB626_RS02565
OG0000013	DR082_RS03095	NB626_RS00185
OG0000014	DR082_RS03685	NB626_RS00695, NB626_RS01210, NB626_RS00705
OG0000017	DR082_RS00175	NB626_RS00155
OG0000017	DR082_RS00760	NB626_RS03035
OG0000018	DR082_RS03790	NB626_RS00480
OG0000020	DR082_RS03845	NB626_RS03760
OG0000022	DR082_RS03835	NB626_RS01830
OG0000023	DR082_RS02000	NB626_RS01435, NB626_RS00490
OG0000024	DR082_RS00830	NB626_RS02925, NB626_RS01390
OG0000025	DR082_RS02390	NB626_RS01825
OG0000026	DR082_RS02045	NB626_RS01480, NB626_RS01805
OG0000027	DR082_RS02575	NB626_RS03540
OG0000027	DR082_RS03875	NB626_RS03555
OG0000029	DR082_RS00605	NB626_RS01205, NB626_RS00710
OG0000030	DR082_RS03880	NB626_RS03530, NB626_RS03550
OG0000031	DR082_RS01195	NB626_RS00435, NB626_RS01710
OG0000032	DR082_RS02570	NB626_RS01690, NB626_RS03545
OG0000033	DR082_RS01110	NB626_RS02590
OG0000039	DR082_RS00665	NB626_RS01720
OG0000040	DR082_RS01855, DR082_RS00885	NB626_RS03470
OG0000042	DR082_RS00660, DR082_RS00805	NB626_RS03120
OG0000043	DR082_RS02595	NB626_RS02045
OG0000045	DR082_RS03225, DR082_RS03230	NB626_RS01725
OG0000047	DR082_RS00835	NB626_RS00500
OG0000048	DR082_RS03010, DR082_RS02750	NB626_RS02235
OG0000049	DR082_RS01640, DR082_RS03345	NB626_RS03235
OG0000050	DR082_RS01160	NB626_RS02625
OG0000051	DR082_RS01520	NB626_RS02835
OG0000052	DR082_RS03660	NB626_RS00075
