HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N29.HOG0000000	OG0000000	n5																																										FEF30_RS02570	FEF31_RS01935	
N29.HOG0000001	OG0000000	n94																																										FEF30_RS02505	FEF31_RS01875	
N29.HOG0000002	OG0000000	n110																																										FEF30_RS02500	FEF31_RS01865	
N29.HOG0000003	OG0000000	n184																																										FEF30_RS04350		
N29.HOG0000004	OG0000000	n186																																											FEF31_RS04515	
N29.HOG0000005	OG0000000	n203																																										FEF30_RS02495	FEF31_RS01860	
N29.HOG0000006	OG0000000	n217																																										FEF30_RS02690	FEF31_RS02055	
N29.HOG0000007	OG0000000	n239																																										FEF30_RS02695		
N29.HOG0000008	OG0000000	n283																																											FEF31_RS01380	
N29.HOG0000009	OG0000000	n294																																										FEF30_RS02035	FEF31_RS01385	
N29.HOG0000010	OG0000001	n12																																										FEF30_RS01595	FEF31_RS00940	
N29.HOG0000011	OG0000001	n37																																										FEF30_RS01590	FEF31_RS00935	
N29.HOG0000012	OG0000001	n57																																										FEF30_RS03180	FEF31_RS02540	
N29.HOG0000013	OG0000001	n78																																										FEF30_RS03130	FEF31_RS02495	
N29.HOG0000014	OG0000001	n97																																										FEF30_RS03125	FEF31_RS02490	
N29.HOG0000015	OG0000002	n16																																										FEF30_RS02580	FEF31_RS01945	
N29.HOG0000016	OG0000002	n38																																										FEF30_RS02575	FEF31_RS01940	
N29.HOG0000017	OG0000002	n64																																										FEF30_RS04340	FEF31_RS04505	
N29.HOG0000018	OG0000002	n95																																										FEF30_RS04295	FEF31_RS04455	
N29.HOG0000019	OG0000003	n30																																										FEF30_RS02165	FEF31_RS01515	
N29.HOG0000020	OG0000003	n37																																										FEF30_RS04200	FEF31_RS04365	
N29.HOG0000021	OG0000003	n85																																										FEF30_RS04345	FEF31_RS04510	
N29.HOG0000022	OG0000003	n118																																											FEF31_RS01590	
N29.HOG0000023	OG0000004	n5																																										FEF30_RS03540	FEF31_RS03760	
N29.HOG0000024	OG0000004	n51																																										FEF30_RS03550	FEF31_RS03775	
N29.HOG0000025	OG0000005	n1																																										FEF30_RS00415	FEF31_RS03370	
N29.HOG0000026	OG0000005	n32																																										FEF30_RS00435	FEF31_RS04665	
N29.HOG0000027	OG0000005	n52																																										FEF30_RS04180	FEF31_RS04660	
N29.HOG0000028	OG0000005	n92																																										FEF30_RS00425	FEF31_RS03380	
N29.HOG0000029	OG0000005	n113																																										FEF30_RS04185	FEF31_RS04670	
N29.HOG0000030	OG0000006	n11																																										FEF30_RS02880	FEF31_RS02230	
N29.HOG0000031	OG0000006	n87																																										FEF30_RS02730	FEF31_RS02090	
N29.HOG0000032	OG0000006	n104																																										FEF30_RS02700	FEF31_RS02060	
N29.HOG0000033	OG0000007	n13																																										FEF30_RS02555	FEF31_RS01925	
N29.HOG0000034	OG0000007	n32																																										FEF30_RS02545	FEF31_RS01915	
N29.HOG0000035	OG0000007	n45																																										FEF30_RS02540	FEF31_RS01910	
N29.HOG0000036	OG0000008	n2																																										FEF30_RS02685	FEF31_RS02050	
N29.HOG0000037	OG0000008	n35																																										FEF30_RS01955	FEF31_RS01300	
N29.HOG0000038	OG0000008	n68																																										FEF30_RS02885	FEF31_RS02250	
N29.HOG0000039	OG0000009	n2																																										FEF30_RS00980	FEF31_RS00325	
N29.HOG0000040	OG0000009	n25																																										FEF30_RS01500	FEF31_RS00845	
N29.HOG0000041	OG0000009	n38																																										FEF30_RS00990	FEF31_RS00335	
N29.HOG0000042	OG0000010	n3																																										FEF30_RS02240	FEF31_RS01600	
N29.HOG0000043	OG0000010	n45																																										FEF30_RS01880	FEF31_RS01225	
N29.HOG0000044	OG0000010	n46																																										FEF30_RS04280	FEF31_RS04440	
N29.HOG0000045	OG0000011	n10																																										FEF30_RS02330	FEF31_RS01695	
N29.HOG0000046	OG0000011	n51																																										FEF30_RS02325	FEF31_RS01690	
N29.HOG0000047	OG0000012	n19																																										FEF30_RS03655	FEF31_RS02235	
N29.HOG0000048	OG0000013	n1																																										FEF30_RS02775	FEF31_RS02135	
N29.HOG0000049	OG0000013	n47																																										FEF30_RS00500	FEF31_RS03455	
N29.HOG0000050	OG0000014	n10																																										FEF30_RS00910	FEF31_RS00255	
N29.HOG0000051	OG0000014	n30																																										FEF30_RS01400	FEF31_RS00745	
N29.HOG0000052	OG0000014	n57																																										FEF30_RS04210	FEF31_RS04375	
N29.HOG0000053	OG0000015	n22																																										FEF30_RS01950	FEF31_RS01295	
N29.HOG0000054	OG0000015	n24																																										FEF30_RS02045	FEF31_RS01395	
N29.HOG0000055	OG0000016	n1																																										FEF30_RS03220	FEF31_RS02580	
N29.HOG0000056	OG0000016	n36																																										FEF30_RS00485	FEF31_RS03440	
N29.HOG0000057	OG0000017	n1																																										FEF30_RS00470	FEF31_RS03425	
N29.HOG0000058	OG0000017	n16																																										FEF30_RS03230	FEF31_RS02590	
N29.HOG0000059	OG0000018	n16																																										FEF30_RS04255	FEF31_RS04420	
N29.HOG0000060	OG0000018	n33																																										FEF30_RS02065	FEF31_RS01415	
N29.HOG0000061	OG0000018	n34																																										FEF30_RS02070	FEF31_RS01420	
N29.HOG0000062	OG0000019	n11																																										FEF30_RS03670	FEF31_RS04805	
N29.HOG0000063	OG0000020	n1																																										FEF30_RS00265	FEF31_RS03220	
N29.HOG0000064	OG0000020	n60																																										FEF30_RS03755	FEF31_RS04270	
N29.HOG0000065	OG0000021	n11																																										FEF30_RS02170	FEF31_RS01520	
N29.HOG0000066	OG0000021	n24																																										FEF30_RS00820	FEF31_RS00170	
N29.HOG0000067	OG0000022	n1																																										FEF30_RS01975	FEF31_RS01320	
N29.HOG0000068	OG0000022	n33																																										FEF30_RS04290	FEF31_RS04450	
N29.HOG0000069	OG0000023	n21																																										FEF30_RS01630	FEF31_RS00975	
N29.HOG0000070	OG0000023	n37																																										FEF30_RS02055	FEF31_RS01405	
N29.HOG0000071	OG0000024	n8																																										FEF30_RS03120	FEF31_RS02485	
N29.HOG0000072	OG0000024	n33																																										FEF30_RS01585	FEF31_RS00930	
N29.HOG0000073	OG0000025	n1																																										FEF30_RS04285	FEF31_RS04445	
