Orthogroup	MHP_MHP682_genes	MHP_LH_genes
OG0000000	DR097_RS02690	KUD10_RS02260
OG0000000	DR097_RS04740	KUD10_RS02255, KUD10_RS02165, KUD10_RS02380, KUD10_RS02385
OG0000001	DR097_RS04145	KUD10_RS02875
OG0000002	DR097_RS02700	KUD10_RS02270
OG0000002	DR097_RS02695	KUD10_RS02265
OG0000002	DR097_RS04855	KUD10_RS02210
OG0000002	DR097_RS04675	KUD10_RS01790
OG0000003	DR097_RS04955	KUD10_RS00500
OG0000003	DR097_RS04840	KUD10_RS02250
OG0000003	DR097_RS03830	KUD10_RS01900
OG0000004	DR097_RS01330	KUD10_RS03265
OG0000004	DR097_RS01325	KUD10_RS03275
OG0000005	DR097_RS02455	KUD10_RS00100
OG0000005	DR097_RS04720	KUD10_RS00120
OG0000005	DR097_RS02445	KUD10_RS00105
OG0000005	DR097_RS02440	KUD10_RS00110
OG0000005	DR097_RS04715	KUD10_RS00125
OG0000006	DR097_RS04435	KUD10_RS02585
OG0000007	DR097_RS03450	KUD10_RS02245
OG0000008	DR097_RS03625	KUD10_RS02590
OG0000009	DR097_RS02470	KUD10_RS00085
OG0000009	DR097_RS00430	KUD10_RS01265
OG0000009	DR097_RS01140	KUD10_RS00675
OG0000010	DR097_RS02510	KUD10_RS01910
OG0000010	DR097_RS02450	KUD10_RS00095
OG0000011	DR097_RS00820	KUD10_RS02000
OG0000011	DR097_RS00825	KUD10_RS01995
OG0000013	DR097_RS02175	KUD10_RS02465
OG0000013	DR097_RS03895	KUD10_RS00185
OG0000014	DR097_RS03370	KUD10_RS00610
OG0000016	DR097_RS01165	KUD10_RS02915
OG0000016	DR097_RS00270	KUD10_RS00170
OG0000017	DR097_RS00285	KUD10_RS00155
OG0000017	DR097_RS01175	KUD10_RS02925
OG0000019	DR097_RS03615	KUD10_RS03100, KUD10_RS03080, KUD10_RS03110, KUD10_RS03090
OG0000020	DR097_RS04835	KUD10_RS03620
OG0000020	DR097_RS04830	KUD10_RS03625
OG0000021	DR097_RS03390	KUD10_RS01825
OG0000022	DR097_RS01895	KUD10_RS01720
OG0000022	DR097_RS04680	KUD10_RS01775
OG0000024	DR097_RS01795	KUD10_RS02825
OG0000024	DR097_RS00345	KUD10_RS01345
OG0000025	DR097_RS04685	KUD10_RS01725
OG0000025	DR097_RS01845	KUD10_RS01770
OG0000026	DR097_RS01665	KUD10_RS01435
OG0000026	DR097_RS01865	KUD10_RS01750
OG0000027	DR097_RS02965	KUD10_RS03410
OG0000027	DR097_RS04560	KUD10_RS03425
OG0000028	DR097_RS04690	KUD10_RS02500
OG0000029	DR097_RS02335	KUD10_RS01075
OG0000030	DR097_RS04775	KUD10_RS03400
OG0000030	DR097_RS04565	KUD10_RS03420
OG0000031	DR097_RS02075	KUD10_RS01150
OG0000031	DR097_RS03120	KUD10_RS01665
OG0000032	DR097_RS04795	KUD10_RS01640
OG0000034	DR097_RS03640	KUD10_RS02225
OG0000034	DR097_RS04475	KUD10_RS02230
OG0000035	DR097_RS04085	KUD10_RS03250
OG0000035	DR097_RS01335	KUD10_RS03255
OG0000036	DR097_RS02435	KUD10_RS00115
OG0000036	DR097_RS02415	KUD10_RS00130
OG0000037	DR097_RS04800	KUD10_RS01650
OG0000037	DR097_RS03100	KUD10_RS01645
OG0000039	DR097_RS04950	KUD10_RS01675
OG0000040	DR097_RS03560	KUD10_RS03345
OG0000042	DR097_RS01265	KUD10_RS03010
OG0000043	DR097_RS00855	KUD10_RS01965
OG0000045	DR097_RS03525	KUD10_RS01680
OG0000046	DR097_RS04785	KUD10_RS03355
OG0000047	DR097_RS02010	KUD10_RS01210
OG0000048	DR097_RS02830	KUD10_RS02150
OG0000049	DR097_RS01470	KUD10_RS03120
OG0000050	DR097_RS01960	KUD10_RS02530
OG0000051	DR097_RS01545	KUD10_RS02740
OG0000052	DR097_RS02480	KUD10_RS00075
OG0000053	DR097_RS04845	KUD10_RS01520
OG0000054	DR097_RS01935	KUD10_RS02555
OG0000055	DR097_RS00305	KUD10_RS00135
OG0000056	DR097_RS00545	KUD10_RS03605, KUD10_RS03600
OG0000057	DR097_RS01250	KUD10_RS02995
OG0000058	DR097_RS02085	KUD10_RS01145
OG0000059	DR097_RS02070	KUD10_RS01165
OG0000061	DR097_RS02500	KUD10_RS01920
OG0000062	DR097_RS02590	KUD10_RS03655
OG0000063	DR097_RS04735	KUD10_RS03650
OG0000064	DR097_RS02605	KUD10_RS03640
OG0000065	DR097_RS02745	KUD10_RS02315
OG0000066	DR097_RS01675	KUD10_RS01425
OG0000067	DR097_RS02405	KUD10_RS00530
