Orthogroup	MHP_UFV01_protein	MHP_7448_protein
OG0000000	WP_243216186.1	WP_020835754.1
OG0000000	WP_160587900.1	WP_011290191.1
OG0000002	WP_243215939.1	WP_228366120.1
OG0000002	WP_243216215.1	WP_228366099.1
OG0000003	WP_052269173.1	WP_052269173.1
OG0000004	WP_243216199.1	WP_011290229.1
OG0000004	WP_243216238.1	WP_228366102.1
OG0000005	WP_308705306.1	WP_148174330.1
OG0000006	WP_308705305.1	WP_011290011.1
OG0000006	WP_243216008.1	WP_011290070.1
OG0000008	WP_233688544.1	WP_020835887.1
OG0000008	WP_243216334.1	WP_020835883.1
OG0000009	WP_243216220.1	WP_044272522.1
OG0000010	WP_243216277.1	WP_020835822.1
OG0000010	WP_243216042.1	WP_228366130.1
OG0000011	WP_243216351.1	WP_011290357.1
OG0000012	WP_243216099.1	WP_228366093.1
OG0000012	WP_135618763.1	WP_135618763.1
OG0000013	WP_228366101.1	WP_228366101.1
OG0000013	WP_243216228.1	WP_011290274.1
OG0000014	WP_228366104.1	WP_228366104.1
OG0000014	WP_243216044.1	WP_187145661.1
OG0000016	WP_243216218.1	WP_044272519.1
OG0000017	WP_179695901.1	WP_044272631.1
OG0000018	WP_243216302.1	WP_044272729.1
OG0000019	WP_243215926.1	WP_011289943.1
OG0000019	WP_011289946.1	WP_011289946.1
OG0000020	WP_243216349.1	WP_011284103.1
OG0000021	WP_020835556.1	WP_020835556.1
OG0000022	WP_243216212.1	WP_081420852.1
OG0000023	WP_044272644.1	WP_044272644.1
OG0000024	WP_011206100.1	WP_011290018.1
OG0000024	WP_243215989.1	WP_011290021.1
OG0000025	WP_243216072.1, WP_243216073.1	WP_020835667.1
OG0000026	WP_044272534.1	WP_044272534.1
OG0000028	WP_014579781.1, WP_014579585.1	WP_041361759.1
OG0000029	WP_179221095.1	WP_011290139.1
OG0000030	WP_243216261.1	WP_011290299.1
OG0000031	WP_011205867.1	WP_011205867.1
OG0000032	WP_243215967.1, WP_243216117.1	WP_044272304.1
OG0000033	WP_081430780.1, WP_011206179.1	WP_225973034.1
OG0000034	WP_243216226.1	WP_044272538.1
OG0000035	WP_243216087.1	WP_044272427.1
OG0000036	WP_041361671.1	WP_041361671.1
OG0000037	WP_243216105.1, WP_243216103.1	WP_044272499.1
OG0000038	WP_243215987.1	WP_011290019.1
OG0000039	WP_011206214.1	WP_011290200.1
OG0000040	WP_243216165.1	WP_011206223.1
OG0000041	WP_279288053.1	WP_011290438.1
OG0000042	WP_243215895.1	WP_044272675.1
OG0000043	WP_243215892.1	WP_011290432.1
OG0000044	WP_243216098.1	WP_020835682.1
OG0000045	WP_160601112.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_225972996.1
OG0000048	WP_014579936.1	WP_044272567.1
OG0000049	WP_011284269.1	WP_011206373.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_044272532.1	WP_044272532.1
OG0000052	WP_243216224.1	WP_044272529.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_020835862.1	WP_020835862.1
OG0000055	WP_011206429.1	WP_011206429.1
OG0000056	WP_044272640.1	WP_044272640.1
OG0000057	WP_011206089.1	WP_011290028.1
OG0000058	WP_011283954.1	WP_011290048.1
OG0000059	WP_014579624.1	WP_228366126.1
OG0000060	WP_020835589.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_243216013.1	WP_020835608.1
OG0000063	WP_014579535.1	WP_014579535.1
OG0000064	WP_243216353.1, WP_243215934.1	WP_020835502.1
OG0000065	WP_243215955.1	WP_014579568.1
OG0000066	WP_243215965.1	WP_011289996.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_243215866.1	WP_020835906.1
OG0000069	WP_179221160.1	WP_044272542.1
OG0000070	WP_233688475.1	WP_011206305.1
OG0000071	WP_243216282.1	WP_044272563.1
OG0000072	WP_243215853.1	WP_044272653.1
OG0000073	WP_179695988.1	WP_011206314.1
OG0000074	WP_011290343.1	WP_011290343.1
OG0000075	WP_243216040.1	WP_011290098.1
OG0000076	WP_243215998.1	WP_228366125.1
OG0000077	WP_243215952.1	WP_011289985.1
OG0000078	WP_243215860.1	WP_228366115.1
OG0000079	WP_243216159.1	WP_044272470.1
OG0000080	WP_243216161.1	WP_011290201.1
OG0000081	WP_014579823.1	WP_014579823.1
