Orthogroup	MHP_LH_genes	MHP_116_genes
OG0000000	KUD10_RS02260	ABJ972_RS02145
OG0000000	KUD10_RS02185	ABJ972_RS02085
OG0000000	KUD10_RS02195, KUD10_RS02170	ABJ972_RS02100
OG0000000	KUD10_RS02165	ABJ972_RS02080
OG0000000	KUD10_RS02380	ABJ972_RS02265
OG0000000	KUD10_RS02385	ABJ972_RS02270
OG0000000	KUD10_RS01780, KUD10_RS01785	ABJ972_RS01695
OG0000001	KUD10_RS01355	ABJ972_RS01270
OG0000001	KUD10_RS01350	ABJ972_RS01265
OG0000001	KUD10_RS02830	ABJ972_RS02675
OG0000002	KUD10_RS02270	ABJ972_RS02150
OG0000002	KUD10_RS02210	ABJ972_RS02105
OG0000002	KUD10_RS01790	ABJ972_RS01715
OG0000003	KUD10_RS01900	ABJ972_RS01815
OG0000004	KUD10_RS03265	ABJ972_RS03105
OG0000004	KUD10_RS03275	ABJ972_RS03120
OG0000004	KUD10_RS03105	ABJ972_RS02945
OG0000005	KUD10_RS00100	ABJ972_RS00100
OG0000005	KUD10_RS00105	ABJ972_RS00105
OG0000005	KUD10_RS00110, KUD10_RS00125	ABJ972_RS00110
OG0000006	KUD10_RS02585	ABJ972_RS02440
OG0000007	KUD10_RS02245	ABJ972_RS02125
OG0000008	KUD10_RS02375	ABJ972_RS02260
OG0000008	KUD10_RS01700	ABJ972_RS01615
OG0000008	KUD10_RS02590	ABJ972_RS02445
OG0000009	KUD10_RS00085	ABJ972_RS00085
OG0000009	KUD10_RS01265	ABJ972_RS01180
OG0000009	KUD10_RS00675	ABJ972_RS00990
OG0000010	KUD10_RS01910	ABJ972_RS01825
OG0000010	KUD10_RS00095	ABJ972_RS00095
OG0000011	KUD10_RS02000	ABJ972_RS01915
OG0000011	KUD10_RS01995	ABJ972_RS01910
OG0000013	KUD10_RS02465	ABJ972_RS02350
OG0000013	KUD10_RS00185	ABJ972_RS00170
OG0000014	KUD10_RS01080	ABJ972_RS01075
OG0000014	KUD10_RS00610	ABJ972_RS01065
OG0000016	KUD10_RS02915	ABJ972_RS02765
OG0000016	KUD10_RS00170	ABJ972_RS00155
OG0000017	KUD10_RS00155	ABJ972_RS00140
OG0000017	KUD10_RS02925	ABJ972_RS02775
OG0000018	KUD10_RS01395, KUD10_RS01195	ABJ972_RS01310
OG0000019	KUD10_RS03080	ABJ972_RS02935
OG0000019	KUD10_RS03110, KUD10_RS03090	ABJ972_RS02950
OG0000020	KUD10_RS03620	ABJ972_RS03450
OG0000020	KUD10_RS03625	ABJ972_RS03455
OG0000021	KUD10_RS01825	ABJ972_RS01720
OG0000022	KUD10_RS01720	ABJ972_RS01635
OG0000022	KUD10_RS01775	ABJ972_RS01690
OG0000023	KUD10_RS01390	ABJ972_RS01305
OG0000024	KUD10_RS02825	ABJ972_RS02670
OG0000024	KUD10_RS01345	ABJ972_RS01260
OG0000025	KUD10_RS01725	ABJ972_RS01640
OG0000025	KUD10_RS01770	ABJ972_RS01685
OG0000026	KUD10_RS01435	ABJ972_RS01350
OG0000026	KUD10_RS01750	ABJ972_RS01665
OG0000027	KUD10_RS03410	ABJ972_RS03260
OG0000029	KUD10_RS01075	ABJ972_RS00585
OG0000029	KUD10_RS00620	ABJ972_RS01060
OG0000030	KUD10_RS03400	ABJ972_RS03245
OG0000031	KUD10_RS01665	ABJ972_RS01580
OG0000032	KUD10_RS01640	ABJ972_RS01555
OG0000033	KUD10_RS02490	ABJ972_RS02355
OG0000035	KUD10_RS03270	ABJ972_RS03115
OG0000036	KUD10_RS00130	ABJ972_RS00115
OG0000037	KUD10_RS01650	ABJ972_RS01560
OG0000039	KUD10_RS01675	ABJ972_RS01595
OG0000040	KUD10_RS03345	ABJ972_RS03190
OG0000042	KUD10_RS03010	ABJ972_RS02860
OG0000043	KUD10_RS01965	ABJ972_RS01880
OG0000045	KUD10_RS01680	ABJ972_RS01600
OG0000046	KUD10_RS03355	ABJ972_RS03200
OG0000048	KUD10_RS02150	ABJ972_RS02065
OG0000049	KUD10_RS03120	ABJ972_RS02960
OG0000050	KUD10_RS02530	ABJ972_RS02390
OG0000051	KUD10_RS02740	ABJ972_RS02590
OG0000052	KUD10_RS00075	ABJ972_RS00075
OG0000053	KUD10_RS01520	ABJ972_RS01435
OG0000054	KUD10_RS02555	ABJ972_RS02415
OG0000055	KUD10_RS00135	ABJ972_RS00120
OG0000056	KUD10_RS03605, KUD10_RS03600	ABJ972_RS03435
OG0000057	KUD10_RS02995	ABJ972_RS02845
OG0000060	KUD10_RS00080	ABJ972_RS00080
OG0000061	KUD10_RS01920	ABJ972_RS01835
OG0000062	KUD10_RS03655	ABJ972_RS03485, ABJ972_RS03515
OG0000063	KUD10_RS03650	ABJ972_RS03510, ABJ972_RS03480
OG0000064	KUD10_RS03640	ABJ972_RS03470
OG0000065	KUD10_RS02315	ABJ972_RS02200
OG0000066	KUD10_RS01425	ABJ972_RS01340
OG0000067	KUD10_RS00530	ABJ972_RS00510
OG0000068	KUD10_RS00655	ABJ972_RS01025
OG0000069	KUD10_RS02890	ABJ972_RS02740
OG0000070	KUD10_RS02560	ABJ972_RS02420
OG0000071	KUD10_RS03335	ABJ972_RS03180
OG0000072	KUD10_RS03340	ABJ972_RS03185
OG0000073	KUD10_RS00700	ABJ972_RS00965
OG0000074	KUD10_RS00895	ABJ972_RS00765
OG0000075	KUD10_RS00340	ABJ972_RS00325
OG0000076	KUD10_RS00355	ABJ972_RS00340
OG0000077	KUD10_RS00440	ABJ972_RS00425
OG0000078	KUD10_RS01740	ABJ972_RS01655
OG0000079	KUD10_RS02640	ABJ972_RS02495
OG0000080	KUD10_RS02690	ABJ972_RS02540
OG0000081	KUD10_RS00335	ABJ972_RS00320
OG0000082	KUD10_RS02460	ABJ972_RS02345
OG0000083	KUD10_RS02070	ABJ972_RS01985
OG0000084	KUD10_RS02100	ABJ972_RS02015
OG0000085	KUD10_RS02105	ABJ972_RS02020
OG0000086	KUD10_RS02115	ABJ972_RS02030
OG0000087	KUD10_RS02130	ABJ972_RS02045
OG0000088	KUD10_RS02135	ABJ972_RS02050
OG0000089	KUD10_RS02145	ABJ972_RS02060
OG0000090	KUD10_RS00070	ABJ972_RS00070
OG0000091	KUD10_RS00055	ABJ972_RS00055
OG0000092	KUD10_RS00040	ABJ972_RS00040
OG0000093	KUD10_RS00035	ABJ972_RS00035
