Orthogroup	MHP_MHP709_protein	MHP_232_protein
OG0000000	WP_146379632.1	WP_044284797.1
OG0000000	WP_160587900.1	WP_011206202.1
OG0000001	WP_160587869.1	WP_044284791.1
OG0000002	WP_308507056.1	WP_011205876.1
OG0000002	WP_258555342.1	WP_011206279.1
OG0000004	WP_308507071.1	WP_011206295.1
OG0000006	WP_160587966.1	WP_011206109.1
OG0000006	WP_160587971.1	WP_011206019.1
OG0000008	WP_020835887.1	WP_011206450.1
OG0000009	WP_160588329.1	WP_011206281.1
OG0000010	WP_258555237.1	WP_011206342.1
OG0000013	WP_225972988.1	WP_011206294.1
OG0000014	WP_228366104.1	WP_232039548.1
OG0000014	WP_225973029.1	WP_011205979.1
OG0000015	WP_020835661.1	WP_044284786.1
OG0000016	WP_160588215.1	WP_011206280.1
OG0000017	WP_160588344.1	WP_011206449.1
OG0000017	WP_160588066.1	WP_011206447.1
OG0000018	WP_160588323.1	WP_044284805.1
OG0000019	WP_160588334.1	WP_011205862.1
OG0000019	WP_160588338.1	WP_011205865.1
OG0000020	WP_160587805.1	WP_011205920.1
OG0000022	WP_258555344.1, WP_258555343.1	WP_011206278.1
OG0000023	WP_160588136.1	WP_011206462.1
OG0000024	WP_011290021.1	WP_011206098.1
OG0000025	WP_225973032.1	WP_011206147.1
OG0000026	WP_160588301.1	WP_011206286.1
OG0000028	WP_044284635.1	WP_011206173.1
OG0000029	WP_160588346.1	WP_232039515.1
OG0000030	WP_160587825.1	WP_011206324.1
OG0000031	WP_146379455.1	WP_011205867.1
OG0000032	WP_160588009.1	WP_011206171.1
OG0000033	WP_011206179.1	WP_011206179.1
OG0000034	WP_160588303.1	WP_011206291.1
OG0000035	WP_160588203.1	WP_011206157.1
OG0000036	WP_041361671.1	WP_011206290.1
OG0000039	WP_160587914.1	WP_011206214.1
OG0000040	WP_011206223.1	WP_011206223.1
OG0000041	WP_220191087.1	WP_011206517.1
OG0000042	WP_160588163.1	WP_011206514.1
OG0000043	WP_160585575.1	WP_011206511.1
OG0000044	WP_160588193.1	WP_011206167.1
OG0000045	WP_011290219.1	WP_011206245.1
OG0000046	WP_160587949.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_173670097.1
OG0000048	WP_160587850.1	WP_011206374.1
OG0000049	WP_011284269.1	WP_011206373.1
OG0000050	WP_146379657.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_081430781.1
OG0000052	WP_160588299.1	WP_011206284.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_160588047.1	WP_011206420.1
OG0000055	WP_160588054.1	WP_011206429.1
