Orthogroup	MHP_NCTC10127_genes	MHP_UFV01_genes
OG0000000	EXC50_RS01055	FEF30_RS02570
OG0000000	EXC50_RS01165	FEF30_RS02690
OG0000000	EXC50_RS01170	FEF30_RS02695
OG0000001	EXC50_RS02805, EXC50_RS02810	FEF30_RS01595
OG0000001	EXC50_RS01640	FEF30_RS03180
OG0000001	EXC50_RS04045	FEF30_RS03130
OG0000001	EXC50_RS01590	FEF30_RS03125
OG0000002	EXC50_RS04010	FEF30_RS02580
OG0000002	EXC50_RS00680	FEF30_RS04295
OG0000004	EXC50_RS02030	FEF30_RS03540
OG0000004	EXC50_RS02050	FEF30_RS03550
OG0000005	EXC50_RS00100	FEF30_RS00415
OG0000005	EXC50_RS00120	FEF30_RS00435
OG0000005	EXC50_RS00105	FEF30_RS04180
OG0000005	EXC50_RS00110	FEF30_RS00425
OG0000005	EXC50_RS00125	FEF30_RS04185
OG0000006	EXC50_RS04025	FEF30_RS02880
OG0000006	EXC50_RS01210	FEF30_RS02730
OG0000008	EXC50_RS01160, EXC50_RS04015	FEF30_RS02685
OG0000008	EXC50_RS00595	FEF30_RS01955
OG0000008	EXC50_RS04030	FEF30_RS02885
OG0000009	EXC50_RS03420	FEF30_RS00980
OG0000009	EXC50_RS04115	FEF30_RS01500
OG0000009	EXC50_RS03405	FEF30_RS00990
OG0000010	EXC50_RS00795	FEF30_RS02240
OG0000010	EXC50_RS02530	FEF30_RS04280
OG0000011	EXC50_RS00895	FEF30_RS02330
OG0000011	EXC50_RS00890	FEF30_RS02325
OG0000012	EXC50_RS01855	FEF30_RS03655
OG0000013	EXC50_RS01255	FEF30_RS02775
OG0000013	EXC50_RS03965	FEF30_RS00500
OG0000014	EXC50_RS04120	FEF30_RS00910
OG0000014	EXC50_RS03000	FEF30_RS01400
OG0000014	EXC50_RS03480	FEF30_RS04210
OG0000016	EXC50_RS01680	FEF30_RS03220
OG0000016	EXC50_RS00170	FEF30_RS00485
OG0000017	EXC50_RS00155	FEF30_RS00470
OG0000017	EXC50_RS01690	FEF30_RS03230
OG0000019	EXC50_RS04065	FEF30_RS03670
OG0000020	EXC50_RS02390	FEF30_RS00265
OG0000020	EXC50_RS02395	FEF30_RS03755
OG0000021	EXC50_RS00715	FEF30_RS02170
OG0000022	EXC50_RS00615	FEF30_RS01975
OG0000022	EXC50_RS00670	FEF30_RS04290
OG0000024	EXC50_RS01585	FEF30_RS03120
OG0000024	EXC50_RS02815	FEF30_RS01585
OG0000025	EXC50_RS00620	FEF30_RS04285
OG0000025	EXC50_RS00665	FEF30_RS02025
OG0000026	EXC50_RS02725	FEF30_RS01680
OG0000026	EXC50_RS00645	FEF30_RS02005
OG0000027	EXC50_RS02185	FEF30_RS00060
OG0000027	EXC50_RS02200	FEF30_RS04125
OG0000028	EXC50_RS01265	FEF30_RS02785, FEF30_RS02790
OG0000029	EXC50_RS03005	FEF30_RS01390
OG0000029	EXC50_RS03475	FEF30_RS00925
OG0000030	EXC50_RS02175	FEF30_RS04110
OG0000030	EXC50_RS02195	FEF30_RS04120
OG0000032	EXC50_RS04070	FEF30_RS00065
OG0000033	EXC50_RS01260	FEF30_RS02780
OG0000035	EXC50_RS02045	FEF30_RS03545
OG0000036	EXC50_RS00115	FEF30_RS00430
OG0000036	EXC50_RS00130	FEF30_RS00445
OG0000038	EXC50_RS00705	FEF30_RS02160
OG0000039	EXC50_RS03975, EXC50_RS00560	FEF30_RS01930
OG0000040	EXC50_RS02120	FEF30_RS03620
OG0000041	EXC50_RS03415	FEF30_RS00985
OG0000042	EXC50_RS01780	FEF30_RS03315
OG0000043	EXC50_RS00860	FEF30_RS02295, FEF30_RS02105
OG0000044	EXC50_RS04255	FEF30_RS04460
OG0000044	EXC50_RS00745	FEF30_RS02200
OG0000045	EXC50_RS00570	FEF30_RS01935, FEF30_RS01940
OG0000046	EXC50_RS02130	FEF30_RS04495
OG0000048	EXC50_RS01040	FEF30_RS02480
OG0000049	EXC50_RS01890	FEF30_RS03400
OG0000050	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	FEF30_RS02820
OG0000051	EXC50_RS01500	FEF30_RS03030
OG0000052	EXC50_RS00075	FEF30_RS00405
OG0000053	EXC50_RS02640	FEF30_RS04260
OG0000054	EXC50_RS04250	FEF30_RS02845
OG0000055	EXC50_RS00135	FEF30_RS00450
