Orthogroup	MHP_F72C_proteins	MHP_232_proteins
OG0000000	WP_318026087.1	WP_202943179.1
OG0000000	WP_225973037.1	WP_011206233.1
OG0000000	WP_225973050.1	WP_129640575.1
OG0000000	WP_225972977.1	WP_011206262.1
OG0000000	WP_146379582.1	WP_323749055.1
OG0000001	WP_225972995.1	WP_228365393.1
OG0000001	WP_225972991.1	WP_011206342.1
OG0000002	WP_225972974.1	WP_011206236.1
OG0000002	WP_146379587.1	WP_158209055.1
OG0000002	WP_146379583.1	WP_011206167.1
OG0000003	WP_192894277.1	WP_187145846.1
OG0000004	WP_020835887.1	WP_011206450.1
OG0000004	WP_225973000.1, WP_225972999.1	WP_011206415.1
OG0000005	WP_146379449.1	WP_011205860.1
OG0000005	WP_146379452.1	WP_011205864.1
OG0000005	WP_146379450.1	WP_011205861.1
OG0000005	WP_146379451.1	WP_011205862.1
OG0000005	WP_146379453.1	WP_011205865.1
OG0000006	WP_225972988.1	WP_011206294.1
OG0000006	WP_258555362.1	WP_011206269.1
OG0000008	WP_011290229.1	WP_232039538.1, WP_011206260.1
OG0000008	WP_225973033.1	WP_011206151.1
OG0000008	WP_225972989.1	WP_011206295.1
OG0000009	WP_146379448.1	WP_011205856.1
OG0000009	WP_146379497.1	WP_011206098.1
OG0000010	WP_146379615.1	WP_011206187.1
OG0000011	WP_146379608.1	WP_011206202.1
OG0000011	WP_225972964.1	WP_011206201.1
OG0000012	WP_146379527.1, WP_011284103.1, WP_146379586.1, WP_146379713.1, WP_146379492.1, WP_158632000.1	WP_011205920.1
OG0000013	WP_225972984.1	WP_011206279.1
OG0000013	WP_225973006.1	WP_011205876.1
OG0000014	WP_146379526.1	WP_011206019.1
OG0000016	WP_146379690.1	WP_011206378.1
OG0000016	WP_146379459.1	WP_011205873.1
OG0000017	WP_020835500.1	WP_011205870.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000019	WP_146379709.1	WP_011206411.1
OG0000020	WP_146379767.1	WP_011206516.1
OG0000020	WP_192894283.1	WP_011206517.1
