FEF30_RS00010 WP_011206465.1
FEF30_RS00015 WP_011290399.1
FEF30_RS00020 WP_146379742.1
FEF30_RS00025 WP_160585238.1
FEF30_RS00030 WP_011206469.1
FEF30_RS04100 WP_243215852.1
FEF30_RS00040 WP_243215853.1
FEF30_RS04105 WP_243215854.1
FEF30_RS04110 WP_243215857.1
FEF30_RS04115 WP_243215859.1
FEF30_RS00060 WP_243215859.1
FEF30_RS00065 WP_243215860.1
FEF30_RS04120 WP_243215862.1
FEF30_RS04125 WP_179221251.1
FEF30_RS00080 WP_243215866.1
FEF30_RS00085 WP_243215868.1
FEF30_RS04130 WP_243215870.1
FEF30_RS00095 WP_011206484.1
FEF30_RS00100 WP_243215873.1
FEF30_RS04135 WP_243215874.1
FEF30_RS00110 WP_011206487.1
FEF30_RS04140 WP_011284361.1
FEF30_RS00125 WP_041361706.1
FEF30_RS00130 WP_081430772.1
FEF30_RS00135 WP_044284728.1
FEF30_RS00140 WP_243215875.1
FEF30_RS00145 WP_243215876.1
FEF30_RS00150 WP_011206493.1
FEF30_RS00155 WP_011206494.1
FEF30_RS00160 WP_243215877.1
FEF30_RS00165 WP_243215878.1
FEF30_RS04145 WP_238374142.1
FEF30_RS00175 WP_243215879.1
FEF30_RS00180 WP_243215880.1
FEF30_RS04150 WP_243215882.1
FEF30_RS00195 WP_011206502.1
FEF30_RS00200 WP_243215885.1
FEF30_RS00205 WP_135619152.1
FEF30_RS04155 WP_243215887.1
FEF30_RS00215 WP_243215889.1
FEF30_RS00220 WP_011284377.1
FEF30_RS00225 WP_044889046.1
FEF30_RS00230 WP_243215890.1
FEF30_RS00235 WP_243215891.1
FEF30_RS00240 WP_243215892.1
FEF30_RS00245 WP_243215893.1
FEF30_RS00250 WP_243215894.1
FEF30_RS04160 WP_243215895.1
FEF30_RS00260 WP_243215896.1
FEF30_RS00265 WP_243215897.1
FEF30_RS03755 WP_279288053.1
FEF30_RS00280 WP_160615736.1
FEF30_RS00285 WP_011206520.1
FEF30_RS04165 WP_011206521.1
FEF30_RS00295 WP_094521530.1
FEF30_RS00300 WP_243215898.1
FEF30_RS00305 WP_243215899.1
FEF30_RS00310 WP_243215900.1
FEF30_RS00315 WP_243215901.1
FEF30_RS00320 WP_243215902.1
FEF30_RS00325 WP_243215903.1
FEF30_RS00330 WP_243215905.1
FEF30_RS00335 WP_243215907.1
FEF30_RS00340 WP_243215909.1
FEF30_RS00345 WP_243215911.1
FEF30_RS00350 WP_135618444.1
FEF30_RS04170 WP_243215913.1
FEF30_RS00360 WP_233688588.1
FEF30_RS00365 WP_243215915.1
FEF30_RS00370 WP_243215917.1
FEF30_RS04175 WP_160588116.1
FEF30_RS00380 WP_243215919.1
FEF30_RS00385 WP_243215921.1
FEF30_RS00390 WP_011283833.1
FEF30_RS00395 WP_011283834.1
FEF30_RS00400 WP_011283835.1
FEF30_RS00405 WP_094521536.1
FEF30_RS00415 WP_233688595.1
FEF30_RS04180 WP_243215923.1
FEF30_RS00425 WP_243215926.1
FEF30_RS00430 WP_011205863.1
FEF30_RS00435 WP_243215929.1
FEF30_RS04185 WP_011289946.1
FEF30_RS00445 WP_243215930.1
FEF30_RS00450 WP_011205867.1
FEF30_RS00455 WP_232039502.1
FEF30_RS00460 WP_243215931.1
FEF30_RS00465 WP_243215932.1
FEF30_RS00470 WP_243215933.1
FEF30_RS00475 WP_014579535.1
FEF30_RS00480 WP_243215934.1
FEF30_RS00485 WP_243215935.1
FEF30_RS00490 WP_243215936.1
FEF30_RS00495 WP_243215937.1
FEF30_RS00500 WP_243215939.1
FEF30_RS00505 WP_243215940.1
FEF30_RS00510 WP_011205878.1
FEF30_RS04190 WP_233688609.1
FEF30_RS00520 WP_011205880.1
FEF30_RS00525 WP_014579544.1
FEF30_RS00530 WP_160600661.1
FEF30_RS00535 WP_011205883.1
FEF30_RS00540 WP_011283860.1
FEF30_RS00545 WP_044284571.1
FEF30_RS00550 WP_014579548.1
FEF30_RS00555 WP_044284572.1
FEF30_RS00560 WP_011283865.1
FEF30_RS00565 WP_233688611.1
FEF30_RS00570 WP_233688612.1
FEF30_RS00575 WP_243215941.1
FEF30_RS00580 WP_243215942.1
FEF30_RS00585 WP_011205894.1
FEF30_RS00590 WP_228365406.1
FEF30_RS00595 WP_011283871.1
FEF30_RS00600 WP_193325077.1
FEF30_RS00605 WP_011283873.1
FEF30_RS00610 WP_011289977.1
FEF30_RS00615 WP_243215943.1
FEF30_RS00620 WP_243215944.1
FEF30_RS00625 WP_243215945.1
FEF30_RS00630 WP_243215947.1
FEF30_RS00635 WP_243215948.1
FEF30_RS00640 WP_160600685.1
FEF30_RS04195 WP_243215950.1
FEF30_RS00650 WP_243215952.1
FEF30_RS00655 WP_243215955.1
FEF30_RS00660 WP_135618519.1
FEF30_RS00665 WP_044284771.1
FEF30_RS00670 WP_243215957.1
FEF30_RS00675 WP_011283885.1
FEF30_RS00680 WP_243215959.1
FEF30_RS00685 WP_014579572.1
FEF30_RS00690 WP_011205916.1
FEF30_RS00695 WP_160600697.1
FEF30_RS00700 WP_243215961.1
FEF30_RS00705 WP_011205921.1
FEF30_RS00710 WP_011205922.1
FEF30_RS00715 WP_011205923.1
FEF30_RS00720 WP_011283891.1
FEF30_RS00725 WP_014579576.1
FEF30_RS00730 WP_014579577.1
FEF30_RS00735 WP_011289993.1
FEF30_RS00740 WP_243215963.1
FEF30_RS00745 WP_011206135.1
FEF30_RS00750 WP_011206134.1
FEF30_RS00755 WP_243215965.1
FEF30_RS00805 WP_233688626.1
FEF30_RS00810 WP_243215967.1
FEF30_RS04200 WP_243215969.1
FEF30_RS00820 WP_014579585.1
FEF30_RS00825 WP_041361727.1
FEF30_RS00830 WP_243215971.1
FEF30_RS00835 WP_243215973.1
FEF30_RS00840 WP_014579589.1
FEF30_RS00845 WP_020835541.1
FEF30_RS00850 WP_011290004.1
FEF30_RS00860 WP_011206120.1
FEF30_RS00865 WP_011206119.1
FEF30_RS00870 WP_011206118.1
FEF30_RS00875 WP_243215975.1
FEF30_RS04205 WP_243215976.1
FEF30_RS00885 WP_243215977.1
FEF30_RS00890 WP_243215978.1
FEF30_RS00895 WP_011206113.1
FEF30_RS00905 WP_011206113.1
FEF30_RS00910 WP_243215979.1
FEF30_RS00915 WP_179221017.1
FEF30_RS04210 WP_308705305.1
FEF30_RS00925 WP_243215981.1
FEF30_RS00930 WP_243215983.1
FEF30_RS00935 WP_135618563.1
FEF30_RS00950 WP_237697228.1
FEF30_RS00955 WP_052259108.1
FEF30_RS00960 WP_011206103.1
FEF30_RS00965 WP_011206102.1
FEF30_RS00970 WP_243215985.1
FEF30_RS00980 WP_011206100.1
FEF30_RS00985 WP_243215987.1
FEF30_RS03840 WP_279288000.1
FEF30_RS00990 WP_243215989.1
FEF30_RS00995 WP_243215991.1
FEF30_RS01000 WP_243215993.1
FEF30_RS01005 WP_011283924.1
FEF30_RS01010 WP_243215994.1
FEF30_RS01015 WP_011206093.1
FEF30_RS01020 WP_011206092.1
FEF30_RS01025 WP_228729168.1
FEF30_RS01030 WP_011206090.1
FEF30_RS01035 WP_011206089.1
FEF30_RS01040 WP_011290029.1
FEF30_RS01045 WP_243215996.1
FEF30_RS01050 WP_011206086.1
FEF30_RS01055 WP_020835574.1
FEF30_RS01065 WP_020835575.1
FEF30_RS01070 WP_020835576.1
FEF30_RS01075 WP_011283934.1
FEF30_RS04215 WP_243215998.1
FEF30_RS01090 WP_011290034.1
FEF30_RS01095 WP_135618573.1
FEF30_RS01100 WP_243215999.1
FEF30_RS01105 WP_243216000.1
FEF30_RS01110 WP_011206076.1
FEF30_RS01115 WP_160600882.1
FEF30_RS01125 WP_160600884.1
FEF30_RS01130 WP_011283943.1
FEF30_RS01135 WP_011283944.1
FEF30_RS01140 WP_014579633.1
FEF30_RS01145 WP_243216001.1
FEF30_RS01150 WP_243216002.1
FEF30_RS01155 WP_011206068.1
FEF30_RS01160 WP_011206067.1
FEF30_RS01165 WP_011206066.1
FEF30_RS01170 WP_011206065.1
FEF30_RS04220 WP_011283950.1
FEF30_RS01180 WP_011283951.1
FEF30_RS01185 WP_011206062.1
FEF30_RS01190 WP_011206061.1
FEF30_RS01195 WP_011206060.1
FEF30_RS04225 WP_011283954.1
FEF30_RS01205 WP_088764595.1
FEF30_RS04230 WP_014579624.1
FEF30_RS01215 WP_011206056.1
FEF30_RS01220 WP_243216003.1
FEF30_RS01225 WP_243216004.1
FEF30_RS01230 WP_094521595.1
FEF30_RS01235 WP_243216005.1
FEF30_RS01240 WP_011290053.1
FEF30_RS01245 WP_011290054.1
FEF30_RS01250 WP_011206049.1
FEF30_RS01255 WP_011206048.1
FEF30_RS01260 WP_011283963.1
FEF30_RS01265 WP_011206047.1
FEF30_RS01270 WP_020835589.1
FEF30_RS01275 WP_014579616.1
FEF30_RS01280 WP_011206044.1
FEF30_RS01285 WP_020835590.1
FEF30_RS01290 WP_011290058.1
FEF30_RS01295 WP_011206041.1
FEF30_RS01300 WP_020835592.1
FEF30_RS01305 WP_011206039.1
FEF30_RS01310 WP_011206038.1
FEF30_RS01315 WP_041361589.1
FEF30_RS01320 WP_011206036.1
FEF30_RS01325 WP_011206035.1
FEF30_RS01330 WP_014579611.1
FEF30_RS01335 WP_020835596.1
FEF30_RS01340 WP_011206032.1
FEF30_RS01345 WP_011290064.1
FEF30_RS04410 WP_160608021.1
FEF30_RS01355 WP_011206028.1
FEF30_RS01360 WP_014579605.1
FEF30_RS01365 WP_243216006.1
FEF30_RS01370 WP_011206025.1
FEF30_RS01375 WP_146379524.1
FEF30_RS01380 WP_014579601.1
FEF30_RS01385 WP_011283978.1
FEF30_RS01390 WP_243216007.1
FEF30_RS01395 WP_243216008.1
FEF30_RS01400 WP_243216008.1
FEF30_RS01405 WP_011290071.1
FEF30_RS01410 WP_243216010.1
FEF30_RS01415 WP_011206016.1
FEF30_RS01420 WP_243216012.1
FEF30_RS01425 WP_011206014.1
FEF30_RS01430 WP_233688674.1
FEF30_RS01435 WP_243216013.1
FEF30_RS01440 WP_044284822.1
FEF30_RS01445 WP_020835610.1
FEF30_RS01450 WP_243216014.1
FEF30_RS01455 WP_011283989.1
FEF30_RS01460 WP_243216016.1
FEF30_RS01465 WP_011283991.1
FEF30_RS01470 WP_011206005.1
FEF30_RS01475 WP_243216018.1
FEF30_RS01480 WP_233688689.1
FEF30_RS01485 WP_243216021.1
FEF30_RS04235 WP_243216023.1
FEF30_RS01495 WP_243216025.1
FEF30_RS01500 WP_232039583.1
FEF30_RS01505 WP_243216026.1
FEF30_RS01510 WP_243216028.1
FEF30_RS01515 WP_011283999.1
FEF30_RS01520 WP_014579695.1
FEF30_RS01525 WP_158209054.1
FEF30_RS01530 WP_011205992.1
FEF30_RS01535 WP_243216030.1
FEF30_RS01540 WP_160584731.1
FEF30_RS01545 WP_243216031.1
FEF30_RS01550 WP_243216033.1
FEF30_RS04240 WP_014579701.1
FEF30_RS01560 WP_243216034.1
FEF30_RS04245 WP_014579703.1
FEF30_RS04250 WP_243216036.1
FEF30_RS01575 WP_011205983.1
FEF30_RS01580 WP_243216038.1
FEF30_RS01585 WP_243216040.1
FEF30_RS01590 WP_243216042.1
FEF30_RS01595 WP_243216044.1
FEF30_RS01600 WP_094521768.1
FEF30_RS01605 WP_179221065.1
FEF30_RS01610 WP_243216047.1
FEF30_RS01615 WP_243216048.1
FEF30_RS01620 WP_011284018.1
FEF30_RS01625 WP_011205973.1
FEF30_RS01630 WP_243216049.1
FEF30_RS04255 WP_233688705.1
FEF30_RS01640 WP_243216050.1
FEF30_RS01645 WP_243216051.1
FEF30_RS01650 WP_228729171.1
FEF30_RS01655 WP_179696055.1
FEF30_RS01660 WP_011205966.1
FEF30_RS01665 WP_243216052.1
FEF30_RS01670 WP_243216052.1
FEF30_RS01675 WP_011284027.1
FEF30_RS01680 WP_044284614.1
FEF30_RS01685 WP_011205962.1
FEF30_RS01690 WP_044284615.1
FEF30_RS01695 WP_020835642.1
FEF30_RS01700 WP_011284032.1
FEF30_RS01705 WP_011205958.1
FEF30_RS01710 WP_233688710.1
FEF30_RS01715 WP_011205956.1
FEF30_RS01720 WP_243216053.1
FEF30_RS01725 WP_243216054.1
FEF30_RS01730 WP_011205953.1
FEF30_RS01735 WP_011205952.1
FEF30_RS01740 WP_160607802.1
FEF30_RS01745 WP_011205950.1
FEF30_RS01750 WP_243216055.1
FEF30_RS01755 WP_011290122.1
FEF30_RS01760 WP_269076322.1
FEF30_RS04260 WP_243216057.1
FEF30_RS01770 WP_243216059.1
FEF30_RS01775 WP_014579732.1
FEF30_RS01780 WP_243216060.1
FEF30_RS01785 WP_011284046.1
FEF30_RS04265 WP_160588225.1
FEF30_RS01820 WP_014579735.1
FEF30_RS01825 WP_135618712.1
FEF30_RS04270 WP_135618714.1
FEF30_RS01835 WP_243216061.1
FEF30_RS04275 WP_020835656.1
FEF30_RS01845 WP_011290131.1
FEF30_RS01850 WP_020835657.1
FEF30_RS01855 WP_243216062.1
FEF30_RS01860 WP_160601243.1
FEF30_RS01865 WP_011205932.1
FEF30_RS01870 WP_243216064.1
FEF30_RS04280 WP_243216066.1
FEF30_RS01880 WP_243216067.1
FEF30_RS01885 WP_243216068.1
FEF30_RS01890 WP_243216069.1
FEF30_RS01895 WP_243216070.1
FEF30_RS01900 WP_044284624.1
FEF30_RS03950 WP_269076328.1
FEF30_RS01905 WP_269076328.1
FEF30_RS01910 WP_243216071.1
FEF30_RS01915 WP_011206141.1
FEF30_RS01920 WP_011290137.1
FEF30_RS01925 WP_160601269.1
FEF30_RS01930 WP_179221095.1
FEF30_RS01935 WP_243216072.1
FEF30_RS01940 WP_243216073.1
FEF30_RS01945 WP_243216074.1
FEF30_RS01950 WP_135618763.1
FEF30_RS01955 WP_243216076.1
FEF30_RS01960 WP_243216079.1
FEF30_RS01965 WP_011290145.1
FEF30_RS01970 WP_011290145.1
FEF30_RS01975 WP_243216081.1
FEF30_RS04285 WP_243216083.1
FEF30_RS01985 WP_243216085.1
FEF30_RS04460 WP_081430780.1
FEF30_RS01995 WP_243216087.1
FEF30_RS02000 WP_243216090.1
FEF30_RS02005 WP_243216092.1
FEF30_RS02010 WP_243216093.1
FEF30_RS02015 WP_011206161.1
FEF30_RS02020 WP_243216094.1
FEF30_RS02025 WP_243216095.1
FEF30_RS04290 WP_243216096.1
FEF30_RS02035 WP_243216097.1
FEF30_RS04295 WP_243216098.1
FEF30_RS02045 WP_243216099.1
FEF30_RS02050 WP_243216100.1
FEF30_RS02055 WP_243216102.1
FEF30_RS02060 WP_011290233.1
FEF30_RS02065 WP_243216103.1
FEF30_RS02070 WP_243216105.1
FEF30_RS02075 WP_243216106.1
FEF30_RS02080 WP_014579686.1
FEF30_RS02085 WP_020835556.1
FEF30_RS02090 WP_014579683.1
FEF30_RS02095 WP_243216107.1
FEF30_RS02100 WP_011290238.1
FEF30_RS02105 WP_243216108.1
FEF30_RS02110 WP_243216109.1
FEF30_RS04300 WP_243216111.1
FEF30_RS02120 WP_243216113.1
FEF30_RS02125 WP_041361554.1
FEF30_RS02130 WP_020835551.1
FEF30_RS02135 WP_243216114.1
FEF30_RS02140 WP_243216115.1
FEF30_RS02145 WP_243216116.1
FEF30_RS02150 WP_011206170.1
FEF30_RS02155 WP_232039520.1
FEF30_RS02160 WP_243216117.1
FEF30_RS02165 WP_233688742.1
FEF30_RS02170 WP_014579781.1
FEF30_RS02175 WP_011206174.1
FEF30_RS02180 WP_233688744.1
FEF30_RS02185 WP_014579783.1
FEF30_RS02190 WP_011206177.1
FEF30_RS02195 WP_243216118.1
FEF30_RS02200 WP_011206179.1
FEF30_RS02205 WP_014579786.1
FEF30_RS02210 WP_243216119.1
FEF30_RS02215 WP_011284100.1
FEF30_RS02220 WP_243216120.1
FEF30_RS02225 WP_243216121.1
FEF30_RS02230 WP_243216124.1
FEF30_RS02235 WP_243216125.1
FEF30_RS02240 WP_243216127.1
FEF30_RS02245 WP_243216130.1
FEF30_RS02250 WP_243216133.1
FEF30_RS02260 WP_243216135.1
FEF30_RS02265 WP_243216139.1
FEF30_RS04465 WP_011284111.1
FEF30_RS02275 WP_243216141.1
FEF30_RS03980 WP_258555395.1
FEF30_RS03985 WP_279288020.1
FEF30_RS04310 WP_243216143.1
FEF30_RS02295 WP_243216144.1
FEF30_RS02300 WP_243216145.1
FEF30_RS02305 WP_243216146.1
FEF30_RS02310 WP_243216147.1
FEF30_RS02315 WP_243216148.1
FEF30_RS02320 WP_011206200.1
FEF30_RS02325 WP_243216150.1
FEF30_RS02330 WP_160587900.1
FEF30_RS02335 WP_094521675.1
FEF30_RS02340 WP_011290193.1
FEF30_RS02345 WP_243216151.1
FEF30_RS02350 WP_160600914.1
FEF30_RS02355 WP_011206207.1
FEF30_RS02360 WP_233688406.1
FEF30_RS02365 WP_243216153.1
FEF30_RS04315 WP_243216155.1
FEF30_RS02375 WP_014579818.1
FEF30_RS04320 WP_243216157.1
FEF30_RS04325 WP_243216159.1
FEF30_RS04330 WP_011206214.1
FEF30_RS02395 WP_243216161.1
FEF30_RS02400 WP_014579823.1
FEF30_RS02405 WP_014579824.1
FEF30_RS02410 WP_011206218.1
FEF30_RS04335 WP_243216163.1
FEF30_RS02420 WP_243216231.1
FEF30_RS02425 WP_020835728.1
FEF30_RS02430 WP_011284142.1
FEF30_RS02435 WP_243216165.1
FEF30_RS02440 WP_146379594.1
FEF30_RS02445 WP_243216167.1
FEF30_RS02450 WP_220190703.1
FEF30_RS02455 WP_011206227.1
FEF30_RS02460 WP_044272477.1
FEF30_RS02465 WP_044272480.1
FEF30_RS02470 WP_011290211.1
FEF30_RS02475 WP_011206231.1
FEF30_RS02480 WP_243216169.1
FEF30_RS02495 WP_094521686.1
FEF30_RS02500 WP_243216232.1
FEF30_RS02505 WP_243216171.1
FEF30_RS04340 WP_243216173.1
FEF30_RS02515 WP_002557988.1
