query	grouping_confidence	location_confidence	orientation_confidence
NZ_QQRJ01000007.1	1.0	0.038315710428766137	1.0
NZ_QQRJ01000036.1	1.0	1.0	1.0
NZ_QQRJ01000023.1	1.0	0.006767447266401218	0.981994459833795
NZ_QQRJ01000037.1	1.0	1.0	1.0
NZ_QQRJ01000040.1	1.0	1.0	1.0
NZ_QQRJ01000004.1	1.0	1.0	1.0
NZ_QQRJ01000047.1	1.0	1.0	1.0
NZ_QQRJ01000025.1	1.0	1.0	1.0
NZ_QQRJ01000018.1	1.0	1.0	1.0
NZ_QQRJ01000015.1	1.0	1.0	1.0
NZ_QQRJ01000006.1	1.0	1.0	1.0
NZ_QQRJ01000003.1	1.0	0.481432904336421	0.7619493566198827
NZ_QQRJ01000042.1	1.0	0.004881112094311078	0.8732943469785575
NZ_QQRJ01000014.1	1.0	1.0	1.0
NZ_QQRJ01000013.1	1.0	1.0	1.0
NZ_QQRJ01000045.1	1.0	1.0	1.0
NZ_QQRJ01000024.1	1.0	0.18714409806003282	0.9932955131511089
NZ_QQRJ01000027.1	1.0	1.0	1.0
NZ_QQRJ01000011.1	1.0	0.21604096972700615	0.9694768368062193
NZ_QQRJ01000034.1	1.0	0.02198694162979877	0.7350912778904666
NZ_QQRJ01000044.1	1.0	1.0	1.0
NZ_QQRJ01000002.1	1.0	1.0	1.0
NZ_QQRJ01000016.1	1.0	1.0	1.0
NZ_QQRJ01000032.1	1.0	0.7690977226866532	0.9778860569715142
NZ_QQRJ01000012.1	1.0	1.0	1.0
NZ_QQRJ01000021.1	1.0	1.0	1.0
NZ_QQRJ01000017.1	1.0	1.0	1.0
NZ_QQRJ01000051.1	1.0	1.0	1.0
NZ_QQRJ01000038.1	1.0	1.0	1.0
NZ_QQRJ01000019.1	1.0	1.0	1.0
NZ_QQRJ01000001.1	1.0	1.0	1.0
NZ_QQRJ01000020.1	1.0	1.0	1.0
NZ_QQRJ01000029.1	1.0	1.0	1.0
NZ_QQRJ01000058.1	1.0	1.0	1.0
NZ_QQRJ01000005.1	1.0	1.0	1.0
NZ_QQRJ01000026.1	1.0	1.0	1.0
NZ_QQRJ01000050.1	1.0	1.0	1.0
NZ_QQRJ01000033.1	1.0	0.010088110326658795	1.0
NZ_QQRJ01000008.1	1.0	1.0	1.0
NZ_QQRJ01000010.1	1.0	1.0	1.0
NZ_QQRJ01000009.1	1.0	1.0	1.0
