Orthogroup	MHP_UFV02_genes	MHP_4284_genes
OG0000000	FEF31_RS01935	ABLE99_RS02150
OG0000000	FEF31_RS01875	ABLE99_RS02215
OG0000000	FEF31_RS01380, FEF31_RS01385	ABLE99_RS01670
OG0000001	FEF31_RS00940	ABLE99_RS01250
OG0000001	FEF31_RS02540	ABLE99_RS02690
OG0000001	FEF31_RS02490	ABLE99_RS02640
OG0000002	FEF31_RS01945	ABLE99_RS02040
OG0000002	FEF31_RS04505	ABLE99_RS02210
OG0000002	FEF31_RS04455	ABLE99_RS01675
OG0000003	FEF31_RS01515	ABLE99_RS01690
OG0000003	FEF31_RS04510	ABLE99_RS02155
OG0000003	FEF31_RS01590	ABLE99_RS01760
OG0000004	FEF31_RS03760	ABLE99_RS03080
OG0000004	FEF31_RS03775	ABLE99_RS03095
OG0000005	FEF31_RS03370	ABLE99_RS00100
OG0000005	FEF31_RS04665	ABLE99_RS00120
OG0000005	FEF31_RS04660	ABLE99_RS00105
OG0000005	FEF31_RS03380	ABLE99_RS00110
OG0000005	FEF31_RS04670	ABLE99_RS00125
OG0000006	FEF31_RS02060	ABLE99_RS02230
OG0000007	FEF31_RS01925	ABLE99_RS02160
OG0000007	FEF31_RS01915	ABLE99_RS02165
OG0000007	FEF31_RS01910	ABLE99_RS02170
OG0000008	FEF31_RS02050	ABLE99_RS02145
OG0000008	FEF31_RS01300	ABLE99_RS01590
OG0000008	FEF31_RS02250	ABLE99_RS02405
OG0000009	FEF31_RS00335	ABLE99_RS00995
OG0000010	FEF31_RS01600	ABLE99_RS01770
OG0000011	FEF31_RS01695	ABLE99_RS01865
OG0000011	FEF31_RS01690	ABLE99_RS01860
OG0000012	FEF31_RS02235	ABLE99_RS02305
OG0000013	FEF31_RS02135	ABLE99_RS02310
OG0000014	FEF31_RS00255	ABLE99_RS00590
OG0000014	FEF31_RS04375	ABLE99_RS01060
OG0000016	FEF31_RS02580	ABLE99_RS02735
OG0000016	FEF31_RS03440	ABLE99_RS00170
OG0000017	FEF31_RS03425	ABLE99_RS00155
OG0000017	FEF31_RS02590	ABLE99_RS02745
OG0000020	FEF31_RS03220	ABLE99_RS03410
OG0000020	FEF31_RS04270	ABLE99_RS03415
OG0000021	FEF31_RS01520	ABLE99_RS01695
OG0000022	FEF31_RS01320	ABLE99_RS01610
OG0000022	FEF31_RS04450	ABLE99_RS01665
OG0000023	FEF31_RS00975, FEF31_RS01405	ABLE99_RS01285
OG0000024	FEF31_RS02485	ABLE99_RS02635
OG0000024	FEF31_RS00930	ABLE99_RS01245
OG0000025	FEF31_RS04445	ABLE99_RS01615
OG0000025	FEF31_RS01370	ABLE99_RS01660
OG0000026	FEF31_RS01025	ABLE99_RS01330
OG0000026	FEF31_RS01350	ABLE99_RS01640
OG0000027	FEF31_RS03015	ABLE99_RS03220
OG0000029	FEF31_RS00735	ABLE99_RS00595
OG0000030	FEF31_RS04590	ABLE99_RS03215
OG0000034	FEF31_RS01895	ABLE99_RS02185
OG0000035	FEF31_RS03765	ABLE99_RS03090
OG0000036	FEF31_RS03385	ABLE99_RS00115
OG0000036	FEF31_RS03400	ABLE99_RS00130
OG0000038	FEF31_RS01510	ABLE99_RS01685
OG0000039	FEF31_RS01275	ABLE99_RS01570, ABLE99_RS01565
OG0000040	FEF31_RS03890	ABLE99_RS03165
OG0000042	FEF31_RS02675	ABLE99_RS02830
OG0000043	FEF31_RS01660, FEF31_RS01455	ABLE99_RS01830
OG0000044	FEF31_RS04775	ABLE99_RS01625
OG0000044	FEF31_RS01545	ABLE99_RS01720
OG0000045	FEF31_RS01280, FEF31_RS01285	ABLE99_RS01575
OG0000048	FEF31_RS01845	ABLE99_RS02015
OG0000049	FEF31_RS03620	ABLE99_RS02940
OG0000050	FEF31_RS02180	ABLE99_RS02350
OG0000051	FEF31_RS02395	ABLE99_RS02550
OG0000052	FEF31_RS03360	ABLE99_RS00075
OG0000053	FEF31_RS04425	ABLE99_RS01415
OG0000054	FEF31_RS02205	ABLE99_RS02375
OG0000055	FEF31_RS03405	ABLE99_RS00135
OG0000056	FEF31_RS03205	ABLE99_RS03395
OG0000057	FEF31_RS02660	ABLE99_RS02815
OG0000060	FEF31_RS00850	ABLE99_RS01160
OG0000061	FEF31_RS01245	ABLE99_RS01780
OG0000062	FEF31_RS03250	ABLE99_RS03445
OG0000063	FEF31_RS04645	ABLE99_RS03440
OG0000064	FEF31_RS03235	ABLE99_RS03430
OG0000065	FEF31_RS01990	ABLE99_RS02085
OG0000066	FEF31_RS01015	ABLE99_RS01320
OG0000067	FEF31_RS00185	ABLE99_RS00520
OG0000068	FEF31_RS00305	ABLE99_RS01015
OG0000069	FEF31_RS02555	ABLE99_RS02710
OG0000070	FEF31_RS02210	ABLE99_RS02380
OG0000071	FEF31_RS03835	ABLE99_RS03155
OG0000072	FEF31_RS04700	ABLE99_RS03160
OG0000073	FEF31_RS00360	ABLE99_RS00970
OG0000074	FEF31_RS04395	ABLE99_RS00775
OG0000075	FEF31_RS00005	ABLE99_RS00340
OG0000076	FEF31_RS00020	ABLE99_RS00355
OG0000077	FEF31_RS00105	ABLE99_RS00440
OG0000078	FEF31_RS01340	ABLE99_RS01630
OG0000079	FEF31_RS02300	ABLE99_RS02455
OG0000080	FEF31_RS02345	ABLE99_RS02500
OG0000081	FEF31_RS03610	ABLE99_RS00335
OG0000082	FEF31_RS02130	ABLE99_RS02300
OG0000083	FEF31_RS01765	ABLE99_RS01935
OG0000084	FEF31_RS01795	ABLE99_RS01965
OG0000085	FEF31_RS01800	ABLE99_RS01970
OG0000086	FEF31_RS01810	ABLE99_RS01980
OG0000087	FEF31_RS01825	ABLE99_RS01995
OG0000088	FEF31_RS01830	ABLE99_RS02000
OG0000089	FEF31_RS01840	ABLE99_RS02010
OG0000090	FEF31_RS03355	ABLE99_RS00070
OG0000091	FEF31_RS03340	ABLE99_RS00055
OG0000092	FEF31_RS03325	ABLE99_RS00040
OG0000093	FEF31_RS03320	ABLE99_RS00035
OG0000094	FEF31_RS03315	ABLE99_RS00030
OG0000095	FEF31_RS03290	ABLE99_RS00005
OG0000096	FEF31_RS03285	ABLE99_RS03480
OG0000097	FEF31_RS03265	ABLE99_RS03460
OG0000098	FEF31_RS03255	ABLE99_RS03450
OG0000099	FEF31_RS04640	ABLE99_RS03400
OG0000100	FEF31_RS03195	ABLE99_RS03385
OG0000101	FEF31_RS03190	ABLE99_RS03380
OG0000102	FEF31_RS01365	ABLE99_RS01655
OG0000103	FEF31_RS01955	ABLE99_RS02050
OG0000104	FEF31_RS01960	ABLE99_RS02055
OG0000105	FEF31_RS01975	ABLE99_RS02070
OG0000106	FEF31_RS01985	ABLE99_RS02080
OG0000107	FEF31_RS01995	ABLE99_RS02090
OG0000108	FEF31_RS02000	ABLE99_RS02095
OG0000109	FEF31_RS02005	ABLE99_RS02100
OG0000110	FEF31_RS02120	ABLE99_RS02290
OG0000111	FEF31_RS02115	ABLE99_RS02285
OG0000112	FEF31_RS02105	ABLE99_RS02275
OG0000113	FEF31_RS02085	ABLE99_RS02255
OG0000114	FEF31_RS02075	ABLE99_RS02245
OG0000115	FEF31_RS02065	ABLE99_RS02235
OG0000116	FEF31_RS00955	ABLE99_RS01265
OG0000117	FEF31_RS00960	ABLE99_RS01270
OG0000118	FEF31_RS00995	ABLE99_RS01305
OG0000119	FEF31_RS01000	ABLE99_RS01310
OG0000120	FEF31_RS01020	ABLE99_RS01325
OG0000121	FEF31_RS01045	ABLE99_RS01350
OG0000122	FEF31_RS01050	ABLE99_RS01355
OG0000123	FEF31_RS01070	ABLE99_RS01375
OG0000124	FEF31_RS01075	ABLE99_RS01380
OG0000125	FEF31_RS01080	ABLE99_RS01385
OG0000126	FEF31_RS01090	ABLE99_RS01395
OG0000127	FEF31_RS01100	ABLE99_RS01405
OG0000128	FEF31_RS01115	ABLE99_RS01420
OG0000129	FEF31_RS01120	ABLE99_RS01425
OG0000130	FEF31_RS01130	ABLE99_RS01435
OG0000131	FEF31_RS01160	ABLE99_RS01465
OG0000132	FEF31_RS04430	ABLE99_RS01480
OG0000133	FEF31_RS00190	ABLE99_RS00525
OG0000134	FEF31_RS00195	ABLE99_RS00530
OG0000135	FEF31_RS00210	ABLE99_RS00545
OG0000136	FEF31_RS00215	ABLE99_RS00550
OG0000137	FEF31_RS00245	ABLE99_RS00580
OG0000138	FEF31_RS00280	ABLE99_RS01040
OG0000139	FEF31_RS00310	ABLE99_RS01010
OG0000140	FEF31_RS00315	ABLE99_RS01005
OG0000141	FEF31_RS02670	ABLE99_RS02825
OG0000142	FEF31_RS04555	ABLE99_RS02820
OG0000143	FEF31_RS02645	ABLE99_RS02800
OG0000144	FEF31_RS02635	ABLE99_RS02790
OG0000145	FEF31_RS02625	ABLE99_RS02780
OG0000146	FEF31_RS02615	ABLE99_RS02770
OG0000147	FEF31_RS02610	ABLE99_RS02765
OG0000148	FEF31_RS02595	ABLE99_RS02750
OG0000149	FEF31_RS02585	ABLE99_RS02740
OG0000150	FEF31_RS02570	ABLE99_RS02725
OG0000151	FEF31_RS02525	ABLE99_RS02675
OG0000152	FEF31_RS02520	ABLE99_RS02670
OG0000153	FEF31_RS02515	ABLE99_RS02665
OG0000154	FEF31_RS02505	ABLE99_RS02655
OG0000155	FEF31_RS02465	ABLE99_RS02615
OG0000156	FEF31_RS02455	ABLE99_RS02610
OG0000157	FEF31_RS04545	ABLE99_RS02600
OG0000158	FEF31_RS04540	ABLE99_RS02590
OG0000159	FEF31_RS02195	ABLE99_RS02365
OG0000160	FEF31_RS02190	ABLE99_RS02360
OG0000161	FEF31_RS02185	ABLE99_RS02355
OG0000162	FEF31_RS02175	ABLE99_RS02345
OG0000163	FEF31_RS02170	ABLE99_RS02340
OG0000164	FEF31_RS01270	ABLE99_RS01560
OG0000165	FEF31_RS01685	ABLE99_RS01855
OG0000166	FEF31_RS01705	ABLE99_RS01875
OG0000167	FEF31_RS01720	ABLE99_RS01890
OG0000168	FEF31_RS01725	ABLE99_RS01895
OG0000169	FEF31_RS03615	ABLE99_RS02935
OG0000170	FEF31_RS04785, FEF31_RS04795	ABLE99_RS02950
OG0000171	FEF31_RS03640	ABLE99_RS02960
OG0000172	FEF31_RS03645	ABLE99_RS02965
OG0000173	FEF31_RS03650	ABLE99_RS02970
OG0000174	FEF31_RS03655	ABLE99_RS02975
OG0000175	FEF31_RS03670	ABLE99_RS02990
OG0000176	FEF31_RS03715	ABLE99_RS03040
OG0000177	FEF31_RS03720	ABLE99_RS03045
OG0000178	FEF31_RS03725	ABLE99_RS03050
OG0000179	FEF31_RS03735	ABLE99_RS03060
OG0000180	FEF31_RS03740	ABLE99_RS03065
OG0000181	FEF31_RS04690	ABLE99_RS03105
OG0000182	FEF31_RS03795	ABLE99_RS03115
OG0000183	FEF31_RS03830	ABLE99_RS03150
OG0000184	FEF31_RS02980	ABLE99_RS03175
OG0000185	FEF31_RS02965	ABLE99_RS03190
OG0000186	FEF31_RS04435	ABLE99_RS01490
OG0000187	FEF31_RS01200	ABLE99_RS01505
OG0000188	FEF31_RS01210	ABLE99_RS01515
OG0000189	FEF31_RS04520	ABLE99_RS02135
OG0000190	FEF31_RS02035	ABLE99_RS02130
OG0000191	FEF31_RS02015	ABLE99_RS02110
OG0000192	FEF31_RS00875	ABLE99_RS01185
OG0000193	FEF31_RS00860	ABLE99_RS01170
OG0000194	FEF31_RS00345	ABLE99_RS00985
OG0000195	FEF31_RS00350	ABLE99_RS00980
OG0000196	FEF31_RS00370	ABLE99_RS00960
OG0000197	FEF31_RS00375	ABLE99_RS00955
OG0000198	FEF31_RS00390	ABLE99_RS00940
OG0000199	FEF31_RS00395	ABLE99_RS00935
OG0000200	FEF31_RS00410	ABLE99_RS00920
OG0000201	FEF31_RS00420	ABLE99_RS00910
OG0000202	FEF31_RS00475	ABLE99_RS00855
OG0000203	FEF31_RS00480	ABLE99_RS00850
OG0000204	FEF31_RS00485	ABLE99_RS00845
OG0000205	FEF31_RS00490	ABLE99_RS00840
OG0000206	FEF31_RS00510	ABLE99_RS00820
OG0000207	FEF31_RS00525	ABLE99_RS00805
OG0000208	FEF31_RS00530	ABLE99_RS00800
OG0000209	FEF31_RS00535	ABLE99_RS00795
OG0000210	FEF31_RS00580	ABLE99_RS00750
OG0000211	FEF31_RS00590	ABLE99_RS00740
OG0000212	FEF31_RS00600	ABLE99_RS00730
OG0000213	FEF31_RS00605	ABLE99_RS00725
OG0000214	FEF31_RS00610	ABLE99_RS00720
OG0000215	FEF31_RS00615	ABLE99_RS00715
OG0000216	FEF31_RS00620	ABLE99_RS00710
OG0000217	FEF31_RS00625	ABLE99_RS00705
OG0000218	FEF31_RS00635	ABLE99_RS00695
OG0000219	FEF31_RS00640	ABLE99_RS00690
OG0000220	FEF31_RS00645	ABLE99_RS00685
OG0000221	FEF31_RS00650	ABLE99_RS00680
OG0000222	FEF31_RS00655	ABLE99_RS00675
OG0000223	FEF31_RS00660	ABLE99_RS00670
OG0000224	FEF31_RS00670	ABLE99_RS00660
OG0000225	FEF31_RS00680	ABLE99_RS00650
