Orthogroup	MHP_1257_genes	MFC_MF18_genes
OG0000000	ABKJ22_RS02210	DR082_RS03155
OG0000000	ABKJ22_RS01715	DR082_RS03460, DR082_RS03455
OG0000001	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR082_RS00825, DR082_RS00820
OG0000002	ABKJ22_RS02250	DR082_RS02920
OG0000002	ABKJ22_RS01720	DR082_RS03830
OG0000003	ABKJ22_RS02215	DR082_RS03925
OG0000004	ABKJ22_RS02940	DR082_RS01625
OG0000007	ABKJ22_RS02220	DR082_RS02890
OG0000007	ABKJ22_RS02225	DR082_RS02895
OG0000007	ABKJ22_RS02230	DR082_RS03930
OG0000011	ABKJ22_RS01925	DR082_RS03895, DR082_RS03545
OG0000011	ABKJ22_RS01920	DR082_RS02625
OG0000013	ABKJ22_RS02355	DR082_RS01090, DR082_RS01085
OG0000013	ABKJ22_RS00180	DR082_RS03095
OG0000014	ABKJ22_RS00595, ABKJ22_RS01105, ABKJ22_RS01095	DR082_RS03685
OG0000016	ABKJ22_RS02785	DR082_RS00770
OG0000017	ABKJ22_RS00150	DR082_RS00175
OG0000017	ABKJ22_RS02795	DR082_RS00760
OG0000019	ABKJ22_RS02945	DR082_RS03120
OG0000020	ABKJ22_RS03435	DR082_RS03840
OG0000020	ABKJ22_RS03440	DR082_RS03845
OG0000022	ABKJ22_RS01710	DR082_RS03835
OG0000023	ABKJ22_RS01335	DR082_RS02000
OG0000024	ABKJ22_RS02680, ABKJ22_RS01290	DR082_RS00830
OG0000025	ABKJ22_RS01705	DR082_RS02390
OG0000026	ABKJ22_RS01380, ABKJ22_RS01685	DR082_RS02045
OG0000027	ABKJ22_RS03225	DR082_RS02575
OG0000027	ABKJ22_RS03240	DR082_RS03875
OG0000029	ABKJ22_RS00600, ABKJ22_RS01090	DR082_RS00605
OG0000030	ABKJ22_RS03215, ABKJ22_RS03235	DR082_RS03880
OG0000031	ABKJ22_RS01605	DR082_RS01195
OG0000032	ABKJ22_RS01585, ABKJ22_RS03230	DR082_RS02570
OG0000039	ABKJ22_RS01615	DR082_RS00665
OG0000040	ABKJ22_RS03165	DR082_RS01855, DR082_RS00885
OG0000042	ABKJ22_RS02880	DR082_RS00660, DR082_RS00805
OG0000043	ABKJ22_RS01890	DR082_RS02595
OG0000045	ABKJ22_RS01620	DR082_RS03225, DR082_RS03230
OG0000048	ABKJ22_RS02075	DR082_RS03010, DR082_RS02750
OG0000049	ABKJ22_RS02955	DR082_RS01640, DR082_RS03345
OG0000050	ABKJ22_RS02395	DR082_RS01160
OG0000051	ABKJ22_RS02600	DR082_RS01520
OG0000052	ABKJ22_RS00075	DR082_RS03660
OG0000053	ABKJ22_RS01465	DR082_RS03920
OG0000054	ABKJ22_RS02420	DR082_RS01135
OG0000055	ABKJ22_RS00130	DR082_RS03970
OG0000056	ABKJ22_RS03415	DR082_RS02415
OG0000057	ABKJ22_RS02865	DR082_RS00685
OG0000062	ABKJ22_RS03470	DR082_RS00025
OG0000063	ABKJ22_RS03465	DR082_RS00020
OG0000064	ABKJ22_RS03455	DR082_RS00010
OG0000065	ABKJ22_RS02160	DR082_RS01905
OG0000066	ABKJ22_RS01370	DR082_RS02035
OG0000068	ABKJ22_RS01055	DR082_RS00640
OG0000069	ABKJ22_RS02760	DR082_RS00795
OG0000070	ABKJ22_RS02425	DR082_RS01115
OG0000071	ABKJ22_RS03155	DR082_RS01840
OG0000072	ABKJ22_RS03160	DR082_RS03775
OG0000073	ABKJ22_RS00995	DR082_RS02205
OG0000074	ABKJ22_RS00800	DR082_RS03730
OG0000075	ABKJ22_RS00335	DR082_RS00360
OG0000076	ABKJ22_RS00350	DR082_RS00375
OG0000077	ABKJ22_RS00445	DR082_RS00460
OG0000078	ABKJ22_RS01675	DR082_RS00920
OG0000079	ABKJ22_RS02505	DR082_RS01035
OG0000080	ABKJ22_RS02550	DR082_RS03280
OG0000081	ABKJ22_RS00330	DR082_RS00355
OG0000082	ABKJ22_RS02350	DR082_RS01095
OG0000083	ABKJ22_RS01995	DR082_RS02990
OG0000084	ABKJ22_RS02025	DR082_RS02700
OG0000085	ABKJ22_RS02030	DR082_RS03060, DR082_RS02705
OG0000086	ABKJ22_RS02040	DR082_RS03910
OG0000087	ABKJ22_RS02055	DR082_RS02730
OG0000088	ABKJ22_RS02060	DR082_RS02735
OG0000089	ABKJ22_RS02070	DR082_RS02745
OG0000090	ABKJ22_RS00070	DR082_RS00130
